"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/13/2019","Sony Open in Hawaii","1","1.375","83.33","66.67","33.33","100.00","29' 6""","44' 1""","37' 8""","47' 9""","25' 8""","-","34' 7""","-","51' 4""","8' 7""","12' 2""","22' 11""","16' 6""","20' 9""","21' 7""","34' 8""","49' 0""","-","15' 10""","-","67' 1""","44' 1""","-","50' 0""","27' 3""","45' 2""","42' 4""","-","-","-","-","-","-"
"1/6/2019","Sentry T of C","T19","-.065","70.83","43.48","50.00","50.00","33' 0""","23' 7""","22' 2""","24' 11""","33' 7""","124' 4""","-","55' 10""","43' 6""","11' 2""","17' 6""","34' 10""","24' 0""","20' 9""","25' 9""","32' 4""","50' 9""","-","-","-","-","21' 1""","40' 8""","-","31' 6""","27' 11""","21' 0""","20' 0""","13' 2""","40' 8""","-","1","6"
"11/25/2018","(*) ISPS Handa World Cup","T16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","1","-","79.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-"
"11/4/2018","Shriners Hospitals","T57","1.178","81.94","75.00","25.00","58.33","35' 1""","48' 7""","41' 0""","57' 8""","29' 10""","83' 3""","53' 11""","71' 8""","39' 7""","9' 11""","24' 7""","19' 1""","20' 2""","15' 7""","23' 1""","39' 2""","53' 7""","-","-","-","56' 7""","48' 7""","-","56' 7""","61' 8""","49' 9""","34' 5""","13' 4""","13' 4""","-","-","-","-"
"9/3/2018","Dell Technologies Champ","T43","-.032","69.44","43.75","14.29","71.43","38' 4""","34' 1""","41' 1""","28' 11""","33' 10""","139' 6""","58' 5""","71' 4""","47' 3""","13' 1""","16' 3""","25' 3""","22' 6""","21' 11""","24' 10""","29' 3""","59' 10""","-","-","-","-","34' 1""","-","-","26' 11""","39' 6""","-","-","-","-","-","1","11"
"8/26/2018","THE NORTHERN TRUST","T60","-.506","59.72","25.00",".00","75.00","37' 2""","55' 10""","57' 7""","54' 1""","29' 5""","-","-","48' 2""","46' 6""","61' 1""","14' 0""","3' 10""","17' 8""","19' 6""","23' 6""","33' 1""","46' 8""","-","-","68' 3""","-","60' 8""","26' 8""","68' 3""","70' 4""","69' 4""","-","20' 10""","15' 1""","26' 8""","-","2","13"
"8/12/2018","PGA Championship","CUT","-.716","69.44","60.00",".00","33.33","36' 8""","70' 6""","87' 4""","67' 2""","28' 4""","49' 6""","-","36' 5""","39' 0""","38' 7""","-","20' 0""","24' 8""","19' 9""","30' 2""","19' 10""","39' 9""","-","-","-","124' 1""","80' 6""","20' 6""","124' 1""","87' 4""","115' 8""","37' 10""","20' 6""","-","20' 6""","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T14",".960","68.06","37.50",".00","33.33","31' 0""","41' 7""","27' 3""","56' 0""","27' 0""","-","-","53' 7""","45' 11""","58' 1""","15' 2""","14' 10""","22' 1""","15' 3""","15' 1""","25' 7""","49' 2""","-","-","85' 6""","-","41' 7""","-","85' 6""","46' 10""","57' 5""","25' 1""","22' 2""","22' 2""","-","-","2","6"
"7/29/2018","RBC Canadian Open","CUT","-.914","61.11","37.50",".00","33.33","31' 3""","31' 3""","34' 10""","20' 7""","31' 1""","-","151' 3""","-","48' 6""","-","-","24' 1""","24' 1""","17' 5""","27' 11""","21' 6""","69' 0""","-","-","-","-","32' 3""","24' 4""","-","-","29' 11""","19' 1""","42' 7""","42' 7""","-","-","-","-"
