"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/13/2019","Sony Open in Hawaii","1",".337","83.33","6' 9""","75.00","-",".00","-","66.67","71.43","100.00"
"1/6/2019","Sentry T of C","T19",".261","-","-","76.19","100.00","50.00","50.00","100.00","81.82","100.00"
"11/25/2018","(*) ISPS Handa World Cup","T16","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","1","-","-","-","80.00","-","83.33","-","-","-","-"
"11/4/2018","Shriners Hospitals","T57","-.563","33.33","11' 4""","46.15","-","100.00","-","50.00","37.50","100.00"
"9/3/2018","Dell Technologies Champ","T43",".206","75.00","6' 9""","63.64","50.00","60.00","66.67",".00","72.73","100.00"
"8/26/2018","THE NORTHERN TRUST","T60",".349","71.43","8' 2""","68.97","100.00","70.00","75.00","70.00","54.55","100.00"
"8/12/2018","PGA Championship","CUT",".222","66.67","4' 3""","45.45","100.00",".00","40.00","50.00","50.00","-"
"8/5/2018","WGC-Bridgestone Invit'l","T14",".471",".00","14' 2""","73.91","100.00","80.00","80.00","50.00","71.43","85.71"
"7/29/2018","RBC Canadian Open","CUT",".535","83.33","5' 10""","85.71","100.00","100.00","50.00","50.00","100.00","100.00"
"7/22/2018","The Open Championship","T9","-","60.00","-","65.52","-","-","-","-","-","-"
"6/17/2018","U.S. Open","CUT","-.123","33.33","10' 1""","41.18","100.00","50.00",".00","33.33","83.33","-"
"6/3/2018","the Memorial Tournament","T13",".631","63.64","7' 10""","69.57","75.00","60.00","66.67","55.56","71.43","100.00"
"5/27/2018","Fort Worth Invitational","T32",".290","57.14","8' 0""","57.89","-","80.00","33.33","50.00","83.33","75.00"
"5/20/2018","AT&T Byron Nelson","CUT","1.027","-","-","66.67","-","75.00","33.33","66.67","83.33","-"
"5/13/2018","THE PLAYERS Championship","T17",".384","62.50","7' 1""","50.00","100.00","40.00","20.00",".00","77.78","100.00"
"4/29/2018","Zurich Classic of New Orl","T28","-","-","-","-","-","-","-","-","-","-"
