"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/13/2019","Sony Open in Hawaii","1","2.502",".790","311.8","292.8","339","71.43","14' 8""","7.14","12.50","17","109.66","28"
"1/6/2019","Sentry T of C","T19","-.343","-.539","265.3","283.4","366","83.33","18' 0""","6.67","5.00","34","107.43","11"
"11/25/2018","(*) ISPS Handa World Cup","T16","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","1","-","-","289.9","-","296","80.36","-","-","-","31","-","-"
"11/4/2018","Shriners Hospitals","T57","1.107",".492","299.6","293.4","339","73.21","22' 2""","10.71","10.71","72","106.97","70"
"9/3/2018","Dell Technologies Champ","T43","-.738","-.912","282.0","279.1","324","60.71","21' 4""","16.07","8.93","127","107.36","54"
"8/26/2018","THE NORTHERN TRUST","T60","-1.026","-.869","261.0","269.3","298","60.71","27' 8""","20.00","12.73","122","106.58","34"
"8/12/2018","PGA Championship","CUT","-.468",".025","281.8","282.2","301","60.71","15' 9""","7.14","21.43","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T14","1.233","-.198","304.9","294.1","369","55.36","23' 5""","20.00","21.82","82","107.89","55"
"7/29/2018","RBC Canadian Open","CUT","-.773","-.394","293.3","295.3","336","60.71","14' 8""","25.93","7.41","1,998","106.62","1,998"
"7/22/2018","The Open Championship","T9","-","-","288.0","-","339","58.33","-","-","-","100","-","-"
"6/17/2018","U.S. Open","CUT","-.576",".006","295.8","287.9","341","75.00","-","14.29","3.57","1,998","-","-"
"6/3/2018","the Memorial Tournament","T13","1.575","-.209","277.0","277.5","318","76.79","17' 3""","12.50","8.93","82","107.51","3"
"5/27/2018","Fort Worth Invitational","T32","1.017",".067","301.4","284.2","332","67.86","28' 10""","12.50","5.36","36","107.71","39"
"5/20/2018","AT&T Byron Nelson","CUT","-.335","-.340","292.8","292.9","326","78.57","9' 4""",".00",".00","1,998","108.63","1,998"
"5/13/2018","THE PLAYERS Championship","T17","1.454","-.027","284.9","282.7","321","67.86","23' 2""","8.93","10.71","78","108.38","43"
"4/29/2018","Zurich Classic of New Orl","T28","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T51",".283","-.200","297.0","285.2","320","57.14","22' 5""","14.55","12.73","86","106.50","5"
"4/15/2018","RBC Heritage","T23","1.590",".146","271.8","271.7","307","71.43","26' 2""","1.79","16.07","72","107.18","117"
"4/8/2018","Masters Tournament","T28","-","-","283.3","-","311","71.43","-","-","-","58","-","-"
"4/1/2018","Houston Open","T8",".579",".093","279.6","274.3","310","64.29","27' 10""","12.73","12.73","107","109.48","51"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","T40","-.139",".101","297.3","273.5","332","53.85","18' 8""","23.08","17.31","73","110.24","3"
"3/4/2018","WGC-Mexico Championship","T58","-.807","-.383","308.9","302.8","353","53.57","27' 0""","25.45","16.36","59","107.14","49"
"2/18/2018","Genesis Open","T26",".092",".049","282.4","284.2","327","60.71","17' 1""","21.43","16.07","83","109.29","11"
"2/11/2018","AT&T Pebble Beach","T62","-2.294","-.380","291.1","265.5","347","60.00","16' 2""","25.00","3.57","115","107.51","81"
"2/4/2018","Waste Management Phoenix","T5",".782",".083","305.0","297.9","340","53.57","23' 5""","26.79","5.36","73","109.23","68"
"12/10/2017","(*) QBE Shootout","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"12/3/2017","(*) Hero World Challenge","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"11/19/2017","The RSM Classic","T29",".052","-.583","275.5","274.6","314","78.57","14' 4""","4.76","4.76","86","109.12","40"
"10/29/2017","WGC-HSBC Champions","T31","-","-","-","-","310","55.36","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T10","-.171",".181","294.1","289.7","341","66.07","18' 2""","12.50","17.86","23","110.72","20"
"9/17/2017","BMW Championship","T5","1.266",".208","298.0","281.9","336","75.00","21' 5""","1.79","16.07","62","109.63","30"
"9/4/2017","Dell Technologies Champ","T56",".213",".049","282.1","279.0","316","64.29","20' 9""","12.73","10.91","104","109.37","25"
"8/27/2017","THE NORTHERN TRUST","T10",".997",".110","274.9","281.0","350","80.36","26' 8""","5.36","10.71","72","110.28","50"
"8/13/2017","PGA Championship","T9","1.956","-.010","282.3","286.2","316","67.86","10' 8""","8.93","10.71","84","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T17",".045","-.359","301.9","288.8","367","62.50","20' 5""","18.18","12.73","66","107.85","95"
"7/30/2017","RBC Canadian Open","T32",".245","-.224","290.0","286.1","341","67.86","21' 4""","10.71","10.71","69","107.36","107"
"7/23/2017","The Open Championship","2","-","-","291.1","-","323","46.43","-","-","-","96","-","-"
"6/18/2017","U.S. Open","T16",".805","-1.106","292.4","282.4","327","78.57","-","5.36","8.93","92","-","-"
"6/4/2017","the Memorial Tournament","T4","2.734",".266","288.1","289.5","351","60.71","18' 3""","16.07","12.50","101","107.65","3"
"5/28/2017","DEAN & DELUCA Invt'l","T12","1.702",".817","294.3","281.3","328","60.71","19' 3""","23.21","8.93","52","106.74","39"
"5/21/2017","AT&T Byron Nelson","T9","2.625","1.140","279.3","289.4","346","64.29","20' 4""","14.29","14.29","57","107.97","37"
"5/14/2017","THE PLAYERS Championship","82","-1.105","-.506","287.3","276.8","309","66.67","34' 7""","7.14","9.52","1,998","106.87","1,998"
"4/23/2017","Valero Texas Open","T40","1.101",".264","292.9","284.0","336","67.86","27' 11""","12.73","7.27","50","106.89","14"
"4/16/2017","RBC Heritage","T11","1.726","1.009","276.9","277.1","309","69.64","26' 7""","8.93","8.93","42","106.90","53"
"4/9/2017","Masters Tournament","T4","-","-","269.9","-","283","67.86","-","-","-","69","-","-"
"4/2/2017","Shell Houston Open","CUT","-1.614",".690","268.8","271.5","290","78.57","25' 7""","3.57","7.14","1,998","107.42","1,998"
"3/26/2017","WGC-Dell Tech Match Play","T30","-","-","-","-","-","-","-","-","-","-","-","-"
"3/12/2017","Valspar Championship","T22",".116",".287","281.1","272.0","323","61.54","22' 2""","13.46","15.38","91","111.09","63"
"3/5/2017","WGC-Mexico Championship","T20","-.340",".368","289.3","294.3","362","71.43","21' 5""","5.45","18.18","61","109.14","84"
"2/19/2017","Genesis Open","T22","1.313",".200","272.5","279.7","348","57.14","20' 9""","14.29","17.86","83","109.87","21"
"2/12/2017","AT&T Pebble Beach","CUT","1.890",".035","264.3","262.3","303","65.85","39' 1""","21.43","7.14","1,998","-","-"
"2/5/2017","Waste Management Phoenix","T9","1.295",".134","298.3","300.7","328","60.71","27' 2""","5.45","10.91","76","108.61","49"
"12/10/2016","(*) Franklin Templeton","T1","-","-","-","-","-","-","-","-","-","-","-","-"
"12/4/2016","(*) Hero World Challenge","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"11/20/2016","The RSM Classic","CUT","-3.106","-1.291","279.5","279.5","303","75.00","22' 3""",".00","7.69","1,998","108.68","1,998"
"10/30/2016","WGC-HSBC Champions","T21","-","-","-","-","300","62.50","-","-","-","-","-","-"
"10/16/2016","Safeway Open","CUT",".983",".108","283.8","280.2","307","53.57","35' 5""","32.14","14.29","1,998","107.46","1,998"
"10/2/2016","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","T15",".601",".507","282.6","288.3","347","71.43","24' 0""","5.36","16.07","30","111.38","13"
"9/11/2016","BMW Championship","T4",".947",".215","289.8","278.9","315","76.79","25' 8""","12.50","5.36","53","108.00","30"
"9/5/2016","Deutsche Bank Champ","T46",".571",".271","283.5","276.2","327","66.07","15' 2""","12.50","10.71","92","106.69","21"
"8/28/2016","The Barclays","T64","-.634",".296","283.0","283.6","317","66.07","17' 0""","12.50","16.07","81","108.92","70"
"8/14/2016","(*) Olympic Men's Golf","3","-","-","-","-","-","-","-","-","-","-","-","-"
"8/7/2016","Travelers Championship","T17",".839",".228","290.8","285.4","316","62.50","17' 11""","16.07","12.50","79","108.80","74"
"7/31/2016","PGA Championship","CUT","-2.815","-.124","288.3","279.7","321","50.00","23' 6""","17.86","25.00","1,998","-","-"
"7/24/2016","RBC Canadian Open","T9","1.791",".342","316.5","305.6","354","57.14","23' 6""","19.64","12.50","35","109.00","70"
"7/17/2016","The Open Championship","T46","-","-","269.3","-","294","64.29","-","-","-","98","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T3","2.145","-.003","310.1","296.6","342","57.14","18' 1""","19.64","14.29","40","111.67","81"
"6/19/2016","U.S. Open","T46","-","-","284.0","-","324","66.07","-","-","-","51","-","-"
"6/5/2016","the Memorial Tournament","T4",".566",".561","287.4","284.6","342","73.21","17' 0""","8.93","14.29","62","110.41","9"
"5/29/2016","DEAN & DELUCA Invt'l","T6",".778",".981","290.1","276.6","319","66.07","20' 3""","10.71","16.07","46","108.73","47"
"5/22/2016","AT&T Byron Nelson","3","2.084",".856","273.5","279.2","324","73.21","30' 3""","10.91","12.73","69","109.01","5"
"5/15/2016","THE PLAYERS Championship","T3","2.574",".780","291.1","285.5","324","73.21","19' 2""","7.14","14.29","46","108.17","16"
"4/24/2016","Valero Texas Open","T42","1.917",".276","279.3","280.6","314","67.86","28' 10""","8.93","8.93","71","109.44","92"
"4/17/2016","RBC Heritage","T9","1.736",".617","276.6","276.0","326","53.57","17' 8""","7.27","27.27","99","107.75","24"
"4/10/2016","Masters Tournament","T24","-","-","270.1","-","293","82.14","-","-","-","53","-","-"
"3/27/2016","WGC-Dell Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","CUT","-.978","-.731","280.0","274.0","315","71.43","30' 8""","10.71","7.14","1,998","107.93","1,998"
"3/13/2016","Valspar Championship","T11","2.202",".546","288.9","278.1","351","65.38","29' 3""","9.80","13.73","51","108.97","8"
"3/6/2016","WGC-Cadillac Championship","T28",".343",".319","286.1","281.5","337","55.36","25' 6""","12.50","19.64","79","108.05","75"
"2/21/2016","Northern Trust Open","T8","1.152",".245","280.1","278.1","317","69.64","16' 2""","10.91","9.09","55","110.15","134"
"1/24/2016","CareerBuilder Challenge","T49","-.368",".010","286.9","274.7","309","55.36","20' 6""","25.00","25.00","113","109.20","59"
"1/17/2016","Sony Open in Hawaii","T13",".423",".417","295.4","292.8","332","55.36","13' 11""","16.07","16.07","87","109.45","74"
"12/12/2015","(*) Franklin Templeton","T2","-","-","-","-","-","-","-","-","-","-","-","-"
"12/6/2015","(*) Hero World Challenge","14","-","-","-","-","-","-","-","-","-","-","-","-"
"11/22/2015","The RSM Classic","T25",".002","-.022","282.1","274.2","314","75.00","18' 1""","14.29","4.76","63","107.10","22"
"11/15/2015","OHL Classic at Mayakoba","T68","-","-","278.3","-","288","62.50","-","-","-","83","-","-"
"10/11/2015","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/27/2015","TOUR Championship","T10",".175","-.203","271.1","276.2","314","58.93","25' 7""","21.43","17.86","39","110.63","7"
"9/20/2015","BMW Championship","T41","-.538","-.089","283.3","274.3","332","60.71","23' 4""","8.93","19.64","79","108.28","11"
"9/7/2015","Deutsche Bank Champ","T9","1.991",".608","303.5","288.2","338","73.21","16' 8""","10.71","7.14","28","109.19","16"
"8/30/2015","The Barclays","T39","1.312",".230","301.6","284.4","365","60.71","23' 8""","20.00","10.91","60","111.61","55"
"8/16/2015","PGA Championship","T7","3.410",".893","287.4","287.6","319","71.43","22' 6""","14.29","12.50","63","-","-"
"8/9/2015","WGC-Bridgestone Invit'l","T25","2.110",".488","318.8","304.1","352","62.50","28' 5""","24.07","5.56","33","111.41","47"
"7/26/2015","RBC Canadian Open","T7","2.375","1.215","310.1","300.0","367","64.29","30' 8""","21.43","12.50","20","111.78","35"
"7/19/2015","The Open Championship","T58","-","-","292.6","-","319","76.56","-","-","-","70","-","-"
"6/21/2015","U.S. Open","T12","-","-","302.8","-","325","75.00","-","-","-","78","-","-"
"6/7/2015","the Memorial Tournament","T26",".043","-.449","283.4","282.9","341","57.14","14' 9""","16.07","10.71","114","110.37","25"
"5/31/2015","AT&T Byron Nelson","T39","1.848",".521","280.3","279.8","308","58.49","13' 5""","42.86","7.14","99","109.21","104"
"5/10/2015","THE PLAYERS Championship","CUT",".164","1.129","286.3","281.9","307","67.86","20' 10""","10.71","7.14","1,998","109.85","1,998"
"5/3/2015","WGC-Cadillac Match Play","T34","-","-","-","-","-","-","-","-","-","-","-","-"
"4/19/2015","RBC Heritage","5",".975",".664","287.0","273.9","330","64.29","19' 10""","12.50","14.29","55","111.19","17"
"4/12/2015","Masters Tournament","T46","-","-","277.6","-","294","66.07","-","-","-","79","-","-"
"4/5/2015","Shell Houston Open","70","-1.026","-.287","282.1","281.1","335","58.93","24' 4""","12.73","9.09","103","112.01","47"
"3/29/2015","Valero Texas Open","T15","1.167","-.485","285.8","284.1","328","51.79","31' 6""","16.36","7.27","93","110.67","45"
"3/15/2015","Valspar Championship","T33","-.461",".025","266.4","271.0","307","69.23","28' 4""","19.23","5.77","67","110.45","70"
"3/8/2015","WGC-Cadillac Championship","T23","-.378","-.660","284.9","278.0","324","50.00","31' 4""","10.91","7.27","99","108.70","32"
