"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/13/2019","Sony Open in Hawaii","1","1.760","35.1","1.617","1.556","45.83","1.39","28.00","27.00","25.00","30.00","30.00","100.00","100.00","100.00","75.00","100.00",".00",".00","100.00","80.00","92.65","63.64","14.29",".00","4.55","27' 3""","1' 9""","77' 0""","41.67"
"1/6/2019","Sentry T of C","T19","-.233","37.0","1.863","1.653","33.33","4.17","29.75","31.00","29.00","30.00","29.00","100.00","80.00","83.33","66.67","50.00","66.67","100.00","50.00","68.75","89.04","25.00",".00",".00","5.00","40' 8""","2' 3""","67' 3""","27.45"
"11/25/2018","(*) ISPS Handa World Cup","T16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","1","-","-","1.702","1.542","41.67","1.39","27.75","28.00","25.00","28.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","42.11"
"11/4/2018","Shriners Hospitals","T57","-1.383","134.9","1.814","1.750","30.56","5.56","31.50","30.00","32.00","34.00","30.00","100.00","85.71","75.00","100.00",".00",".00","33.33","25.00","41.67","78.57","10.00","12.50","28.57","11.76","36' 10""","2' 2""","75' 2""","30.51"
"9/3/2018","Dell Technologies Champ","T43",".835","76.5","1.760","1.625","40.28","5.56","29.25","29.00","29.00","27.00","32.00","100.00","90.91","100.00","50.00","57.14","60.00","50.00","100.00","65.00","86.96","35.29","50.00","14.29","13.64","54' 1""","2' 6""","105' 2""","34.00"
"8/26/2018","THE NORTHERN TRUST","T60",".669","72.7","1.767","1.556","41.67","2.78","28.00","28.00","31.00","25.00","28.00","100.00","80.00","100.00","100.00","50.00","66.67","100.00","66.67","78.57","91.18","50.00","17.65",".00",".00","19' 1""","2' 2""","75' 5""","25.58"
"8/12/2018","PGA Championship","CUT",".454","-","1.800","1.722","30.56","2.78","31.00","32.00","30.00","-","-","100.00","100.00",".00","75.00","-",".00","75.00",".00","50.00","83.78","40.00","66.67",".00","10.00","26' 3""","2' 1""","81' 8""","24.00"
"8/5/2018","WGC-Bridgestone Invit'l","T14",".172","82.8","1.776","1.569","40.28","2.78","28.25","30.00","29.00","26.00","28.00","100.00","85.71","100.00","100.00","60.00","33.33","50.00","100.00","69.23","90.00","29.41","14.29",".00","5.88","34' 0""","2' 3""","70' 7""","26.53"
"7/29/2018","RBC Canadian Open","CUT",".876","-","1.773","1.528","50.00","2.78","27.50","26.00","29.00","-","-","100.00","100.00","60.00","100.00",".00","-","100.00",".00","57.14","88.24","80.00","16.67","25.00",".00","22' 7""","1' 11""","79' 2""","27.27"
"7/22/2018","The Open Championship","T9","-","-","1.814","1.569","37.50",".00","28.25","30.00","28.00","24.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","27.91"
"6/17/2018","U.S. Open","CUT","-.389","-","1.895","1.722","30.56","2.78","31.00","30.00","32.00","-","-","95.24","100.00","80.00","100.00","100.00","50.00",".00","100.00","76.92","87.80",".00",".00",".00",".00","10' 0""","2' 6""","59' 7""","10.53"
"6/3/2018","the Memorial Tournament","T13",".291","51.0","1.694","1.569","43.06",".00","28.25","30.00","26.00","29.00","28.00","100.00","100.00","100.00","100.00","75.00","25.00","16.67","50.00","75.00","85.71","37.50","27.27",".00",".00","17' 5""","1' 9""","67' 3""","34.69"
"5/27/2018","Fort Worth Invitational","T32","-.137","98.7","1.755","1.653","38.89","4.17","29.75","28.00","31.00","30.00","30.00","97.87","100.00","50.00","100.00","60.00",".00","-",".00","45.45","88.57","23.08","42.86","30.00","5.26","60' 0""","2' 2""","87' 6""","33.96"
"5/20/2018","AT&T Byron Nelson","CUT","-.789","-","1.958","1.667","25.00","2.78","30.00","31.00","29.00","-","-","100.00","100.00","100.00","-","100.00",".00","33.33","50.00","80.00","89.47",".00",".00",".00",".00","9' 2""","2' 2""","45' 8""","16.67"
"5/13/2018","THE PLAYERS Championship","T17",".321","60.9","1.685","1.625","36.11","1.39","29.25","26.00","31.00","29.00","31.00","100.00","100.00","100.00","75.00","66.67","80.00","40.00",".00","82.35","89.33","20.00","11.11",".00","5.26","35' 9""","2' 0""","67' 1""","33.96"
"4/29/2018","Zurich Classic of New Orl","T28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","T51","-.124","79.9","1.822","1.569","45.83","2.78","28.25","29.00","26.00","30.00","28.00","100.00","88.89","75.00","100.00","75.00","75.00","33.33",".00","84.21","87.34","25.00","11.11",".00","7.14","40' 2""","2' 3""","67' 2""","20.00"
"4/15/2018","RBC Heritage","T23","-.260","98.2","1.681","1.542","47.22","1.39","27.75","27.00","25.00","30.00","29.00","100.00","100.00","75.00","80.00",".00",".00","33.33","33.33","53.85","86.84","30.77","10.00","50.00",".00","22' 1""","1' 9""","61' 11""","34.04"
"4/8/2018","Masters Tournament","T28","-","-","1.805","1.569","45.83","5.56","28.25","27.00","30.00","28.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.59"
"4/1/2018","Houston Open","T8","1.317","60.9","1.691","1.583","43.06","1.39","28.50","28.00","27.00","28.00","31.00","100.00","85.71","100.00","75.00","100.00","83.33","50.00","50.00","88.24","92.86","37.50","11.11","25.00","8.70","63' 10""","2' 3""","91' 6""","34.55"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","T40",".852","81.8","1.891","1.639","43.06","6.94","29.50","30.00","33.00","27.00","28.00","100.00","100.00","80.00","50.00","75.00","66.67","50.00",".00","68.75","88.73","50.00","33.33","25.00","4.00","26' 2""","2' 10""","80' 11""","23.91"
"3/4/2018","WGC-Mexico Championship","T58","-1.846","83.3","1.863","1.764","25.00","1.39","31.75","32.00","32.00","31.00","32.00","100.00","81.82","100.00","50.00",".00","25.00",".00",".00","43.75","81.40",".00","10.00",".00","7.14","36' 4""","2' 0""","53' 0""","17.65"
"2/18/2018","Genesis Open","T26",".989","53.3","1.825","1.528","45.83","1.39","27.50","30.00","28.00","26.00","26.00","100.00","100.00","100.00","100.00","75.00","66.67","100.00",".00","81.25","93.06","28.57","15.38",".00",".00","19' 8""","2' 3""","67' 0""","25.00"
"2/11/2018","AT&T Pebble Beach","T62",".474","70.1","1.591","1.542","50.00","2.78","27.75","25.00","31.00","29.00","26.00","100.00","50.00","50.00","100.00",".00","50.00","-","33.33","58.33","78.38","45.45",".00","-","100.00","34' 5""","1' 11""","104' 11""","40.91"
"2/4/2018","Waste Management Phoenix","T5","1.980","31.3","1.635","1.528","50.00","2.78","27.50","30.00","28.00","25.00","27.00","100.00","100.00","100.00","100.00","100.00","75.00","50.00","75.00","93.75","94.03","45.45","37.50",".00","4.55","50' 0""","2' 8""","94' 10""","42.31"
"12/10/2017","(*) QBE Shootout","T9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/3/2017","(*) Hero World Challenge","T9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/19/2017","The RSM Classic","T29",".369","75.1","1.727","1.625","38.89","1.39","29.25","32.00","27.00","31.00","27.00","100.00","90.91","66.67","100.00","100.00",".00","66.67","100.00","71.43","92.00","36.36","22.22","12.50","8.33","34' 3""","2' 5""","91' 9""","29.09"
