"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"10/28/2018","WGC-HSBC Champions","T54","-","48.61","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/19/2018","Wyndham Championship","T36","-.691","79.17","75.00","33.33","50.00","30' 11""","39' 8""","34' 0""","45' 4""","28' 4""","-","-","81' 7""","44' 9""","-","23' 6""","16' 11""","19' 9""","21' 11""","26' 2""","27' 2""","52' 11""","-","-","-","72' 5""","39' 8""","-","72' 5""","43' 3""","39' 9""","47' 0""","21' 7""","21' 7""","-","-","-","-"
"8/12/2018","PGA Championship","CUT",".558","63.89","40.00",".00",".00","31' 2""","46' 11""","38' 11""","55' 0""","25' 11""","-","-","32' 8""","39' 10""","52' 1""","21' 11""","10' 6""","19' 4""","11' 1""","31' 4""","16' 11""","38' 11""","-","-","-","-","53' 10""","26' 1""","-","75' 6""","-","34' 5""","38' 11""","51' 8""","-","26' 1""","1","17"
"8/5/2018","WGC-Bridgestone Invit'l","T48",".268","61.11","50.00","25.00","50.00","31' 10""","37' 11""","39' 6""","35' 11""","29' 1""","-","-","54' 8""","30' 9""","23' 4""","22' 10""","22' 8""","22' 9""","21' 1""","22' 11""","30' 8""","41' 9""","-","-","63' 8""","-","36' 11""","61' 0""","63' 8""","60' 7""","31' 7""","25' 1""","26' 4""","14' 10""","61' 0""","-","-","-"
"7/22/2018","The Open Championship","CUT","-","58.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T12","1.734","66.67","44.44","75.00","100.00","39' 0""","57' 8""","45' 0""","70' 5""","38' 0""","61' 5""","39' 6""","31' 10""","32' 11""","-","-","33' 4""","33' 4""","26' 0""","31' 0""","53' 11""","39' 1""","-","-","-","80' 3""","65' 8""","17' 10""","80' 3""","-","55' 11""","56' 0""","-","-","-","-","-","-"
"5/13/2018","THE PLAYERS Championship","T46",".408","76.39","70.00",".00","57.14","40' 3""","48' 5""","45' 7""","51' 3""","37' 2""","64' 10""","50' 8""","78' 1""","45' 2""","17' 3""","22' 5""","21' 2""","20' 9""","22' 0""","31' 4""","32' 8""","64' 3""","-","63' 7""","47' 10""","69' 2""","45' 9""","66' 9""","60' 2""","12' 11""","-","42' 9""","50' 3""","42' 1""","-","66' 9""","-","-"
"4/15/2018","RBC Heritage","T14",".439","65.28","60.00","11.11","88.89","34' 10""","50' 6""","40' 5""","56' 4""","31' 3""","-","80' 9""","50' 6""","36' 4""","-","11' 9""","24' 11""","19' 8""","21' 10""","28' 0""","37' 7""","48' 9""","91' 1""","48' 6""","-","113' 2""","48' 10""","67' 4""","75' 4""","31' 5""","33' 2""","23' 2""","67' 4""","-","67' 4""","-","-","-"
"4/8/2018","Masters Tournament","T38","-","61.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT","-1.479","52.78","25.00","50.00","50.00","32' 10""","25' 7""","25' 7""","-","29' 9""","-","52' 9""","64' 2""","31' 0""","11' 1""","-","13' 11""","12' 0""","36' 8""","24' 0""","32' 8""","36' 6""","-","-","-","-","18' 4""","29' 3""","-","-","-","-","18' 4""","18' 4""","-","-","2","18"
"3/11/2018","Valspar Championship","CUT","-.067","50.00","37.50",".00","33.33","44' 5""","51' 2""","18' 2""","57' 9""","43' 1""","-","114' 11""","13' 9""","43' 11""","31' 7""","-","-","31' 7""","41' 0""","40' 7""","35' 7""","62' 7""","-","60' 10""","-","-","58' 9""","13' 0""","60' 10""","58' 3""","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T30","-1.574","65.28","39.13","11.11","55.56","40' 1""","52' 11""","46' 6""","57' 5""","35' 6""","-","45' 10""","58' 1""","36' 6""","-","21' 9""","35' 4""","31' 1""","19' 6""","33' 1""","39' 2""","44' 8""","98' 4""","95' 10""","-","78' 3""","69' 4""","29' 11""","87' 8""","-","75' 4""","31' 2""","29' 7""","28' 0""","35' 6""","21' 6""","-","-"
"10/29/2017","WGC-HSBC Champions","T9","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/13/2017","PGA Championship","CUT","-1.540","52.78","22.22",".00","50.00","42' 9""","37' 2""","52' 2""","22' 2""","44' 0""","-","65' 9""","84' 0""","46' 3""","32' 3""","20' 2""","21' 8""","26' 7""","25' 0""","39' 3""","36' 10""","59' 8""","-","-","-","73' 1""","40' 3""","34' 2""","73' 1""","-","33' 10""","-","29' 1""","13' 9""","19' 0""","41' 9""","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T50","-.288","65.28","37.50","33.33","33.33","36' 5""","42' 10""","45' 0""","38' 3""","31' 4""","-","70' 7""","73' 11""","45' 2""","13' 9""","10' 4""","21' 11""","14' 9""","28' 1""","22' 11""","23' 7""","54' 2""","-","-","130' 6""","45' 4""","42' 7""","49' 2""","87' 11""","50' 3""","41' 0""","37' 3""","25' 10""","18' 1""","-","49' 2""","-","-"
"7/23/2017","The Open Championship","T44","-","62.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/18/2017","U.S. Open","T35","1.120","65.28","14.29",".00","100.00","42' 11""","62' 4""","89' 7""","58' 11""","39' 2""","133' 2""","55' 8""","56' 8""","39' 5""","-","29' 10""","35' 5""","33' 4""","24' 6""","26' 4""","33' 1""","52' 6""","-","-","106' 6""","74' 4""","67' 2""","23' 6""","90' 5""","-","60' 1""","71' 2""","28' 10""","34' 1""","23' 6""","-","-","-"
"5/14/2017","THE PLAYERS Championship","CUT","-2.010","52.78","55.56","20.00","100.00","51' 10""","93' 11""","130' 3""","75' 9""","37' 7""","21' 0""","-","73' 11""","37' 2""","11' 0""","41' 5""","35' 0""","32' 1""","18' 10""","23' 8""","28' 1""","55' 10""","-","-","-","107' 7""","118' 11""","43' 11""","107' 7""","-","-","-","87' 1""","130' 3""","-","43' 11""","1","4"
"4/16/2017","RBC Heritage","CUT","-1.663","61.11","71.43",".00","40.00","38' 0""","56' 1""","84' 2""","44' 11""","25' 6""","-","-","59' 4""","46' 10""","-","-","21' 3""","21' 3""","12' 6""","21' 9""","18' 1""","56' 2""","-","-","121' 1""","86' 7""","57' 7""","47' 2""","103' 10""","33' 10""","33' 10""","36' 4""","47' 2""","-","-","47' 2""","-","-"
"4/9/2017","Masters Tournament","32","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T13",".220","58.33","58.82","10.00","70.00","43' 4""","60' 8""","61' 2""","59' 10""","38' 9""","89' 6""","62' 11""","52' 2""","37' 9""","-","32' 7""","25' 4""","27' 5""","24' 8""","34' 6""","40' 5""","48' 8""","-","-","95' 5""","-","64' 0""","37' 8""","95' 5""","65' 1""","46' 1""","-","37' 8""","-","-","37' 8""","-","-"
