"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"10/28/2018","WGC-HSBC Champions","T54","-","100.00","-","43.24","-","-","-","-","-","-"
"8/19/2018","Wyndham Championship","T36","-.569",".00","-","60.00","66.67","66.67","50.00","50.00","40.00","100.00"
"8/12/2018","PGA Championship","CUT","-.252","100.00","19' 3""","53.85","100.00","33.33","40.00","33.33","75.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T48","-.387",".00","11' 7""","53.57","100.00","46.15",".00","25.00","60.00","80.00"
"7/22/2018","The Open Championship","CUT","-","40.00","-","46.67","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T12",".518","100.00","9' 11""","45.83","-","20.00","28.57","50.00","55.56","-"
"5/13/2018","THE PLAYERS Championship","T46","-.222","46.15","11' 3""","52.94","-","25.00",".00","60.00","60.00","-"
"4/15/2018","RBC Heritage","T14",".689","60.00","5' 3""","68.00","100.00","71.43",".00","80.00","53.85","100.00"
"4/8/2018","Masters Tournament","T38","-","33.33","-","50.00","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT",".430","66.67","5' 4""","58.82","-","66.67","50.00",".00","83.33","100.00"
"3/11/2018","Valspar Championship","CUT","-.717",".00","13' 1""","61.11","100.00","57.14",".00","50.00","72.73","66.67"
"3/4/2018","WGC-Mexico Championship","T30",".186","66.67","9' 0""","68.00","-","64.71","33.33","71.43","71.43","75.00"
"10/29/2017","WGC-HSBC Champions","T9","-","85.71","-","65.38","-","-","-","-","-","-"
"8/13/2017","PGA Championship","CUT",".892","75.00","5' 6""","70.59","100.00","88.89",".00","50.00","88.89","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","T50",".063","71.43","6' 2""","52.00","100.00","46.15","40.00","33.33","62.50","80.00"
"7/23/2017","The Open Championship","T44","-","85.71","-","59.26","-","-","-","-","-","-"
"6/18/2017","U.S. Open","T35",".101",".00","9' 5""","40.00",".00",".00","33.33","33.33","30.00","100.00"
"5/14/2017","THE PLAYERS Championship","CUT","-.086","80.00","7' 10""","52.94","-","42.86","33.33","100.00","71.43","100.00"
"4/16/2017","RBC Heritage","CUT",".470","100.00","3' 0""","50.00","-","50.00",".00","66.67","60.00","100.00"
"4/9/2017","Masters Tournament","32","-","33.33","-","50.00","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T13",".425","73.33","9' 5""","66.67","100.00","33.33","50.00","57.14","66.67","100.00"
"3/5/2017","WGC-Mexico Championship","T16","-.142","20.00","12' 4""","40.00","50.00","50.00",".00","40.00",".00","75.00"
"2/26/2017","The Honda Classic","68","-.197","70.00","4' 9""","56.41","100.00","52.63","33.33","71.43","60.00","83.33"
"10/30/2016","WGC-HSBC Champions","T16","-","100.00","-","64.29","-","-","-","-","-","-"
"10/2/2016","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","T49","-.355","75.00","6' 10""","59.09","-","50.00","60.00","28.57","83.33","75.00"
"7/24/2016","RBC Canadian Open","CUT","-.169","50.00","9' 4""","50.00","50.00","50.00","33.33","33.33","50.00","75.00"
"7/17/2016","The Open Championship","CUT","-","25.00","-","40.00","-","-","-","-","-","-"
"6/19/2016","U.S. Open","T54","-","42.86","-","40.63","-","-","-","-","-","-"
"5/15/2016","THE PLAYERS Championship","CUT",".596","25.00","12' 7""","58.33","100.00","60.00","-","100.00","20.00","100.00"
"4/17/2016","RBC Heritage","CUT",".660","50.00","10' 7""","50.00","100.00",".00",".00","100.00","62.50","100.00"
"4/10/2016","Masters Tournament","T7","-","40.00","-","55.56","-","-","-","-","-","-"
"3/27/2016","WGC-Dell Match Play","T38","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","T27",".306","63.64","5' 10""","79.31","100.00","90.00",".00","100.00","71.43","100.00"
"3/6/2016","WGC-Cadillac Championship","T35","1.097","54.55","7' 9""","42.31","100.00","42.86","25.00","20.00","71.43","100.00"
"2/28/2016","The Honda Classic","CUT","1.818","66.67","5' 4""","43.75","-","50.00","16.67","75.00","50.00","100.00"
"11/8/2015","WGC-HSBC Champions","T7","-","75.00","-","53.85","-","-","-","-","-","-"
"6/15/2014","U.S. Open","T48","-","42.86","-","42.31","-","-","-","-","-","-"
"4/20/2014","RBC Heritage","T23",".122","66.67","3' 2""","84.38","100.00","86.67","25.00","100.00","85.71","100.00"
"4/13/2014","Masters Tournament","CUT","-","100.00","-","64.71","-","-","-","-","-","-"
"3/23/2014","Arnold Palmer Invt'l","CUT","-2.239","33.33","25' 3""","46.67",".00","50.00","42.86","33.33","50.00","100.00"
"7/21/2013","The Open Championship","T44","-","50.00","-","44.44","-","-","-","-","-","-"
