"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"10/28/2018","WGC-HSBC Champions","T54","-","-","-","-","298","51.79","-","-","-","-","-","-"
"8/19/2018","Wyndham Championship","T36","-1.075",".185","303.9","288.9","351","67.86","18' 8""","14.29","12.50","80","111.41","69"
"8/12/2018","PGA Championship","CUT","-.459","-.765","288.8","284.6","306","71.43","35' 3""","3.57","7.14","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T48",".017",".136","306.0","301.5","402","48.21","20' 4""","27.78","18.52","94","112.73","119"
"7/22/2018","The Open Championship","CUT","-","-","293.0","-","335","56.67","-","-","-","1,998","-","-"
"6/17/2018","U.S. Open","T12","2.169","-.082","294.4","282.3","356","83.93","-","8.93","7.14","53","-","-"
"5/13/2018","THE PLAYERS Championship","T46",".100","-.085","288.1","278.4","322","67.86","27' 4""","5.36","7.14","68","110.29","54"
"4/15/2018","RBC Heritage","T14","1.537",".409","279.4","272.0","328","67.86","22' 4""","7.14","12.50","53","111.39","105"
"4/8/2018","Masters Tournament","T38","-","-","280.5","-","314","82.14","-","-","-","52","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT","-2.914","-1.866","247.8","266.1","311","67.86","39' 9""",".00","3.70","1,998","110.97","1,998"
"3/11/2018","Valspar Championship","CUT","-.210",".574","288.5","265.9","313","65.38","17' 6""","7.69","19.23","1,998","108.92","1,998"
"3/4/2018","WGC-Mexico Championship","T30","-1.177",".211","297.6","297.5","351","66.07","31' 4""","14.29","16.07","61","109.70","31"
"10/29/2017","WGC-HSBC Champions","T9","-","-","-","-","297","75.00","-","-","-","-","-","-"
"8/13/2017","PGA Championship","CUT","-.950","-.302","295.5","288.1","309","60.71","23' 8""","10.71","7.14","1,998","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T50","-.950","-.724","288.0","291.0","376","42.86","25' 10""","34.55","12.73","126","113.77","82"
"7/23/2017","The Open Championship","T44","-","-","283.0","-","332","53.57","-","-","-","83","-","-"
"6/18/2017","U.S. Open","T35","-.095","-1.316","283.6","277.1","357","82.14","-","1.79","8.93","86","-","-"
"5/14/2017","THE PLAYERS Championship","CUT","-2.299","-.203","299.5","275.0","319","60.71","26' 1""","3.57","7.14","1,998","115.77","1,998"
"4/16/2017","RBC Heritage","CUT","-1.413","-.220","283.0","267.3","306","57.14","22' 3""","3.57","25.00","1,998","115.19","1,998"
"4/9/2017","Masters Tournament","32","-","-","281.6","-","315","69.64","-","-","-","44","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T13",".097","-.548","282.8","275.3","323","62.50","26' 9""","12.50","12.50","104","118.10","107"
"3/5/2017","WGC-Mexico Championship","T16","1.042","-.187","265.4","275.0","363","80.36","35' 8""","9.09","9.09","77","114.54","31"
"2/26/2017","The Honda Classic","68","-2.869","-1.350","297.3","272.3","356","51.79","36' 0""","22.22","11.11","84","115.93","79"
"10/30/2016","WGC-HSBC Champions","T16","-","-","-","-","316","58.93","-","-","-","-","-","-"
"10/2/2016","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","T49","-.362",".221","286.0","267.1","327","75.00","23' 10""","5.36","14.29","61","-","-"
"7/24/2016","RBC Canadian Open","CUT",".475","-.398","277.5","292.0","346","53.57","30' 4""","10.71","28.57","1,998","114.85","1,998"
"7/17/2016","The Open Championship","CUT","-","-","275.3","-","325","82.14","-","-","-","1,998","-","-"
"6/19/2016","U.S. Open","T54","-","-","273.6","-","291","58.93","-","-","-","93","-","-"
"5/15/2016","THE PLAYERS Championship","CUT","-.026",".635","294.0","284.6","318","67.86","27' 3""","7.14","10.71","1,998","111.32","1,998"
"4/17/2016","RBC Heritage","CUT","-.351","-.969","244.0","255.2","307","67.86","40' 6""","3.57",".00","1,998","112.01","1,998"
"4/10/2016","Masters Tournament","T7","-","-","270.6","-","296","73.21","-","-","-","61","-","-"
"3/27/2016","WGC-Dell Match Play","T38","-","-","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","T27","-.268",".424","285.6","272.7","314","78.57","33' 1""","5.36","8.93","51","113.46","112"
"3/6/2016","WGC-Cadillac Championship","T35",".200","-.877","282.4","275.5","363","67.86","23' 5""","12.50",".00","65","112.60","87"
"2/28/2016","The Honda Classic","CUT","-.538","-1.305","287.0","265.4","304","53.57","31' 0""","14.29","17.86","1,998","111.07","1,998"
"11/8/2015","WGC-HSBC Champions","T7","-","-","-","-","288","69.64","-","-","-","-","-","-"
"6/15/2014","U.S. Open","T48","-","-","274.4","-","294","80.36","-","-","-","62","-","-"
"4/20/2014","RBC Heritage","T23","-.127",".039","283.6","262.2","318","66.07","18' 10""","7.27","10.91","49","112.67","72"
"4/13/2014","Masters Tournament","CUT","-","-","273.5","-","285","71.43","-","-","-","1,998","-","-"
"3/23/2014","Arnold Palmer Invt'l","CUT","-3.805","-1.466","279.8","264.8","314","57.14","13' 6""","14.29","17.86","1,998","109.42","-"
"7/21/2013","The Open Championship","T44","-","-","277.4","-","310","69.64","-","-","-","59","-","-"
