"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"10/28/2018","WGC-HSBC Champions","T54","-","-","1.571","1.472","51.39","1.39","26.50","23.00","27.00","26.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","45.71"
"8/19/2018","Wyndham Championship","T36","1.975","40.3","1.754","1.639","37.50","1.39","29.50","30.00","33.00","29.00","26.00","100.00","100.00","100.00","100.00","100.00","100.00","40.00","66.67","100.00","93.75","30.77","10.00","42.86","16.67","31' 5""","2' 5""","105' 6""","28.07"
"8/12/2018","PGA Championship","CUT","-.055","-","1.870","1.667","30.56","2.78","30.00","30.00","30.00","-","-","100.00","100.00","100.00","100.00",".00",".00","-","-","50.00","90.91","30.00","20.00",".00","10.00","33' 2""","1' 11""","72' 0""","17.39"
"8/5/2018","WGC-Bridgestone Invit'l","T48","-.612","86.2","1.750","1.569","44.44","1.39","28.25","26.00","28.00","27.00","32.00","100.00","90.00","100.00","100.00","16.67",".00","75.00","33.33","50.00","87.34","22.22",".00",".00","5.88","28' 9""","1' 10""","55' 8""","29.55"
"7/22/2018","The Open Championship","CUT","-","-","1.905","1.750","27.78","2.78","31.50","33.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.57"
"6/17/2018","U.S. Open","T12",".225","82.2","1.917","1.764","30.56","6.94","31.75","30.00","32.00","35.00","30.00","100.00","100.00","60.00","66.67","66.67","100.00","66.67","33.33","70.59","89.47","12.50","11.11","10.00","4.17","35' 7""","3' 3""","72' 4""","22.92"
"5/13/2018","THE PLAYERS Championship","T46",".425","88.2","1.745","1.639","40.28","6.94","29.50","31.00","31.00","28.00","28.00","100.00","100.00","66.67","62.50","66.67","80.00","66.67","75.00","68.00","86.30","28.57","14.29","12.50","12.50","46' 4""","2' 10""","97' 6""","34.55"
"4/15/2018","RBC Heritage","T14",".293","51.2","1.681","1.514","43.06",".00","27.25","27.00","28.00","30.00","24.00","100.00","100.00","75.00","100.00","62.50","50.00","100.00","33.33","68.42","89.33","22.22","33.33",".00",".00","15' 9""","1' 10""","58' 4""","30.43"
"4/8/2018","Masters Tournament","T38","-","-","1.750","1.611","41.67","2.78","29.00","30.00","30.00","28.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.09"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
