"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/20/2019","Desert Classic","T9","3.126","83.33","87.50","28.57","42.86","31' 7""","32' 11""","40' 6""","22' 2""","30' 11""","123' 9""","-","33' 11""","52' 8""","-","-","12' 11""","12' 11""","17' 7""","12' 9""","26' 7""","67' 8""","-","92' 7""","37' 7""","-","35' 1""","26' 4""","74' 3""","26' 5""","18' 8""","-","17' 11""","5' 4""","31' 0""","17' 0""","1","-"
"12/2/2018","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","2","1.177","87.50","87.50","26.67","66.67","32' 1""","53' 0""","79' 0""","38' 2""","24' 0""","16' 3""","126' 2""","50' 1""","35' 6""","18' 2""","13' 7""","14' 9""","15' 3""","19' 0""","14' 8""","32' 7""","48' 1""","-","57' 7""","31' 11""","33' 4""","48' 2""","74' 11""","45' 1""","53' 2""","-","40' 5""","74' 11""","-","94' 6""","55' 4""","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","59.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T17","-.262","69.44","62.50","9.09","72.73","35' 7""","52' 9""","55' 7""","50' 8""","29' 5""","-","87' 11""","18' 4""","49' 11""","11' 5""","15' 9""","24' 10""","19' 8""","27' 6""","27' 11""","31' 8""","51' 2""","111' 9""","71' 1""","51' 7""","91' 10""","52' 9""","-","81' 7""","66' 10""","21' 0""","39' 10""","23' 8""","23' 8""","-","-","2","83"
"9/23/2018","TOUR Championship","T21",".701","68.06","87.50","14.29","57.14","35' 5""","51' 0""","48' 3""","52' 8""","26' 2""","-","-","41' 8""","38' 11""","-","-","14' 2""","14' 2""","15' 10""","22' 5""","27' 11""","39' 7""","-","83' 10""","18' 0""","103' 9""","51' 0""","-","74' 8""","-","63' 0""","38' 8""","30' 2""","30' 2""","-","-","-","-"
"9/9/2018","BMW Championship","T55","-.164","83.33","77.78","14.29","28.57","31' 10""","51' 5""","56' 1""","39' 10""","27' 3""","-","73' 4""","48' 7""","41' 8""","9' 10""","13' 3""","18' 8""","16' 5""","24' 8""","20' 3""","29' 7""","47' 7""","80' 5""","103' 9""","94' 9""","29' 0""","57' 2""","30' 6""","80' 6""","68' 4""","-","33' 5""","30' 5""","30' 3""","26' 8""","38' 4""","-","-"
"9/3/2018","Dell Technologies Champ","T24","1.277","75.00","81.25","23.08","53.85","34' 3""","35' 3""","45' 4""","21' 2""","29' 11""","-","68' 3""","45' 2""","46' 11""","-","14' 6""","15' 3""","15' 2""","26' 9""","18' 6""","25' 7""","49' 5""","-","-","-","82' 9""","35' 3""","-","82' 9""","34' 1""","30' 3""","29' 1""","4' 0""","4' 0""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T8",".961","69.44","56.25","11.11","66.67","33' 4""","28' 8""","32' 1""","25' 9""","34' 3""","122' 0""","31' 10""","43' 10""","34' 1""","20' 4""","8' 0""","8' 4""","10' 8""","18' 3""","28' 0""","28' 4""","61' 10""","-","-","-","-","39' 1""","16' 7""","-","-","63' 1""","28' 4""","21' 3""","34' 2""","13' 7""","19' 6""","2","114"
"8/12/2018","PGA Championship","T27",".444","75.00","70.00","28.57","71.43","29' 4""","33' 11""","25' 9""","54' 6""","26' 11""","59' 2""","33' 10""","26' 4""","41' 11""","-","15' 6""","17' 10""","16' 8""","19' 6""","19' 5""","37' 9""","40' 8""","-","-","-","-","33' 11""","-","-","-","44' 10""","28' 9""","22' 9""","22' 9""","-","-","-","-"
