"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/20/2019","Desert Classic","T9",".737","40.00","14' 2""","58.33","-","62.50","50.00","-","100.00","100.00"
"12/2/2018","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","2",".112","14.29","12' 9""","44.44","-",".00","100.00","-","37.50","-"
"10/28/2018","WGC-HSBC Champions","T7","-","83.33","-","72.41","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T17",".690","44.44","5' 11""","68.18","100.00","87.50","33.33","100.00","66.67","83.33"
"9/23/2018","TOUR Championship","T21","-.368","50.00","9' 1""","52.17","-","50.00","28.57","50.00","55.56","80.00"
"9/9/2018","BMW Championship","T55","-.320",".00","-","66.67","100.00","50.00",".00",".00","75.00","100.00"
"9/3/2018","Dell Technologies Champ","T24","-.623","33.33","10' 4""","55.56","100.00","50.00",".00","50.00","80.00","55.56"
"8/26/2018","THE NORTHERN TRUST","T8",".527","75.00","7' 1""","68.18","100.00","62.50",".00","50.00","76.92","66.67"
"8/12/2018","PGA Championship","T27",".219","71.43","7' 0""","66.67","-","100.00","25.00","50.00","77.78","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T6","-.336","40.00","13' 2""","59.09","100.00","44.44","-","25.00","71.43","70.00"
"7/22/2018","The Open Championship","T12","-","50.00","-","52.38","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T15",".300","50.00","20' 0""","76.47","100.00","83.33",".00","75.00","83.33","100.00"
"6/17/2018","U.S. Open","T45",".397","55.56","9' 4""","37.04","-",".00","30.00","30.00","60.00","50.00"
"6/3/2018","the Memorial Tournament","4",".289","20.00","8' 6""","50.00","100.00","62.50",".00","50.00","50.00","71.43"
"5/27/2018","Fort Worth Invitational","CUT",".404","80.00","6' 9""","55.56","100.00","50.00",".00","100.00","77.78","66.67"
