"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/20/2019","Desert Classic","T9","3.445","-.419","306.1","285.7","324","60.71","19' 7""","25.00","17.86","46","-","-"
"12/2/2018","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","2","2.479","1.190","325.3","313.9","370","64.29","26' 10""","8.93","12.50","43","117.52","52"
"10/28/2018","WGC-HSBC Champions","T7","-","-","-","-","347","55.36","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T17","1.017",".590","321.3","301.9","389","57.14","27' 3""","18.18","14.55","30","116.06","70"
"9/23/2018","TOUR Championship","T21","-.346","-.679","307.4","300.4","345","50.00","25' 1""","14.29","19.64","29","117.29","32"
"9/9/2018","BMW Championship","T55",".295",".780","305.8","297.3","338","73.21","16' 2""","17.86","7.14","33","115.73","27"
"9/3/2018","Dell Technologies Champ","T24","1.524",".870","305.9","297.4","340","62.50","14' 6""","17.86","10.71","69","117.36","68"
"8/26/2018","THE NORTHERN TRUST","T8","2.284",".796","297.4","293.7","333","67.86","35' 6""","14.55","14.55","34","116.81","31"
"8/12/2018","PGA Championship","T27","1.324",".660","298.1","297.9","333","67.86","34' 2""","21.43","5.36","86","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T6",".881","1.251","324.8","311.0","390","60.71","16' 5""","23.64","14.55","30","115.17","45"
"7/22/2018","The Open Championship","T12","-","-","311.8","-","351","45.00","-","-","-","94","-","-"
"6/24/2018","Travelers Championship","T15","2.284","1.043","303.3","295.0","345","69.64","13' 8""","12.50","5.36","47","114.38","30"
"6/17/2018","U.S. Open","T45",".977",".385","295.0","298.4","363","62.50","-","14.29","14.29","112","-","-"
"6/3/2018","the Memorial Tournament","4","3.037",".197","291.5","290.6","331","73.21","28' 6""","10.91","10.91","63","114.79","31"
"5/27/2018","Fort Worth Invitational","CUT","-2.853","-.649","300.8","292.0","338","42.86","24' 1""","7.14","25.00","1,998","115.56","1,998"
"5/13/2018","THE PLAYERS Championship","T23","2.182",".547","297.6","291.9","335","60.71","33' 1""","3.57","23.21","74","113.05","32"
"4/29/2018","Zurich Classic of New Orl","T7","-","-","-","-","-","-","-","-","-","-","-","-"
"4/15/2018","RBC Heritage","T7","2.800","1.379","296.8","281.5","332","67.86","23' 10""","8.93","16.07","23","113.82","18"
"4/8/2018","Masters Tournament","CUT","-","-","296.5","-","313","64.29","-","-","-","1,998","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T30","-.298",".323","315.3","315.6","376","53.57","26' 3""","23.21","21.43","50","113.71","49"
"2/18/2018","Genesis Open","T4","1.864",".714","306.8","294.9","333","58.93","22' 4""","14.29","19.64","34","114.38","53"
"2/11/2018","AT&T Pebble Beach","T35",".922","-.122","301.9","277.9","350","72.73","34' 11""","3.70","7.41","40","112.95","59"
"1/28/2018","Farmers Insurance Open","T51","1.880",".716","301.5","300.5","359","60.71","20' 10""","11.90","19.05","39","113.36","29"
"1/7/2018","Sentry T of C","T15",".031",".753","276.6","305.0","412","58.33","10' 5""","20.00","20.00","44","112.25","14"
"11/5/2017","Shriners Hospitals","1","2.118","1.256","324.0","305.6","381","64.29","25' 0""","8.93","19.64","18","114.29","87"
"10/29/2017","WGC-HSBC Champions","T15","-","-","-","-","320","50.00","-","-","-","-","-","-"
