"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/20/2019","Desert Classic","T9","-1.872","128.6","1.683","1.583","43.06","4.17","28.50","28.00","29.00","26.00","31.00","100.00","80.00","50.00","66.67","100.00",".00",".00","50.00","50.00","79.55",".00","12.50","-",".00","17' 0""","1' 8""","51' 2""","38.33"
"12/2/2018","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","2",".746","73.4","1.667","1.625","38.89","1.39","29.25","33.00","31.00","28.00","25.00","100.00","100.00","75.00","75.00",".00","80.00","100.00","50.00","66.67","90.00","35.71","20.00","12.50","6.67","42' 9""","1' 10""","83' 4""","41.27"
"10/28/2018","WGC-HSBC Champions","T7","-","-","1.791","1.569","41.67","1.39","28.25","26.00","27.00","32.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.23"
"10/7/2018","Safeway Open","T17",".340","70.9","1.740","1.583","37.50","1.39","28.50","30.00","27.00","29.00","28.00","97.83","90.91","100.00","100.00","100.00","33.33",".00","33.33","77.78","90.00","20.00","12.50","33.33","6.67","36' 8""","1' 11""","71' 10""","26.53"
"9/23/2018","TOUR Championship","T21","-.287","30.3","1.776","1.625","38.89","1.39","29.25","31.00","28.00","30.00","28.00","100.00","100.00","66.67","100.00","50.00","50.00","100.00",".00","66.67","91.67","50.00",".00",".00","12.50","39' 4""","2' 2""","71' 4""","26.53"
"9/9/2018","BMW Championship","T55","-1.662","115.5","1.900","1.806","26.39","6.94","32.50","33.00","28.00","36.00","33.00","98.11","85.71","80.00","33.33",".00","60.00",".00","33.33","57.14","82.72","30.00","20.00",".00",".00","19' 4""","2' 1""","58' 9""","18.33"
"9/3/2018","Dell Technologies Champ","T24","-.677","93.3","1.759","1.653","36.11","1.39","29.75","32.00","29.00","29.00","29.00","100.00","93.33","75.00","100.00",".00","50.00","100.00","50.00","58.33","89.74","20.00",".00",".00",".00","11' 3""","2' 1""","52' 10""","31.48"
"8/26/2018","THE NORTHERN TRUST","T8","-.141","76.8","1.680","1.556","38.89",".00","28.00","29.00","26.00","30.00","27.00","100.00","75.00","100.00","100.00","66.67","50.00","100.00","-","72.73","92.96","11.11","11.11","25.00",".00","24' 0""","1' 6""","59' 11""","30.61"
"8/12/2018","PGA Championship","T27",".129","86.0","1.815","1.681","33.33","1.39","30.25","31.00","28.00","33.00","29.00","100.00","91.67","100.00","-",".00","33.33","100.00","75.00","72.73","92.75","35.29",".00",".00","10.53","36' 1""","2' 6""","76' 0""","22.22"
