"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/13/2019","Sony Open in Hawaii","T13",".229","66.67","88.89","50.00","75.00","34' 5""","50' 11""","58' 9""","41' 3""","28' 6""","-","-","-","49' 6""","-","14' 0""","15' 0""","14' 8""","24' 3""","23' 5""","44' 4""","49' 6""","-","-","105' 7""","45' 0""","52' 5""","26' 6""","75' 4""","46' 6""","39' 6""","53' 1""","26' 6""","-","-","26' 6""","-","-"
"1/6/2019","Sentry T of C","T25","-1.043","75.00","73.91","11.76","58.82","42' 10""","43' 6""","51' 7""","36' 6""","40' 8""","106' 10""","73' 7""","55' 1""","38' 4""","13' 10""","51' 11""","35' 1""","32' 6""","27' 3""","42' 10""","42' 8""","53' 5""","-","122' 9""","117' 11""","38' 7""","54' 6""","18' 9""","93' 1""","-","30' 2""","-","29' 1""","40' 2""","13' 10""","20' 3""","-","-"
"12/2/2018","(*) Hero World Challenge","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","70.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","28","-2.054","47.22","62.50","20.00","40.00","38' 9""","49' 0""","50' 0""","47' 4""","32' 0""","-","-","38' 1""","43' 7""","8' 1""","22' 1""","16' 0""","15' 9""","22' 0""","29' 8""","39' 7""","42' 4""","-","-","72' 8""","62' 7""","52' 1""","32' 8""","68' 4""","51' 6""","31' 6""","38' 0""","33' 9""","36' 9""","22' 2""","53' 10""","3","33"
"9/9/2018","BMW Championship","T19",".211","76.39","77.78",".00","42.86","32' 11""","37' 5""","50' 0""","27' 11""","32' 1""","-","90' 8""","47' 3""","42' 10""","29' 11""","10' 10""","24' 2""","20' 6""","22' 1""","17' 9""","35' 1""","55' 7""","-","-","55' 2""","-","38' 3""","34' 2""","55' 2""","57' 4""","41' 10""","8' 3""","34' 5""","34' 10""","16' 3""","70' 1""","-","-"
"9/3/2018","Dell Technologies Champ","T35","-.813","55.56","56.25","22.22","55.56","34' 2""","50' 2""","57' 2""","47' 1""","28' 8""","-","-","51' 7""","42' 5""","-","11' 7""","21' 3""","18' 3""","20' 2""","28' 10""","28' 7""","45' 9""","118' 1""","48' 4""","-","86' 6""","57' 3""","11' 5""","84' 4""","51' 6""","39' 8""","-","11' 5""","-","20' 2""","2' 8""","-","-"
"8/26/2018","THE NORTHERN TRUST","T25","-.236","65.28","56.25","22.22","77.78","35' 1""","43' 0""","46' 9""","39' 9""","32' 3""","92' 11""","16' 5""","10' 1""","36' 6""","11' 9""","21' 2""","6' 10""","17' 0""","27' 1""","25' 6""","33' 10""","49' 3""","-","-","-","68' 6""","46' 4""","21' 7""","68' 6""","46' 6""","39' 10""","56' 6""","25' 0""","23' 3""","-","26' 8""","2","10"
"8/12/2018","PGA Championship","CUT","-.185","66.67","80.00",".00","25.00","41' 2""","59' 6""","33' 2""","85' 9""","37' 1""","107' 10""","30' 4""","47' 1""","45' 3""","-","6' 6""","28' 1""","17' 3""","27' 3""","29' 3""","26' 4""","57' 8""","-","-","102' 11""","122' 7""","65' 6""","29' 4""","112' 9""","27' 0""","-","48' 1""","29' 4""","-","-","29' 4""","-","-"
