"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/13/2019","Sony Open in Hawaii","T13","-.024","100.00","7' 8""","83.33","100.00","50.00","66.67","75.00","90.91","83.33"
"1/6/2019","Sentry T of C","T25",".072","20.00","15' 3""","44.44","100.00","33.33","33.33","28.57","50.00","100.00"
"12/2/2018","(*) Hero World Challenge","11","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","37.50","-","42.86","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","28",".782","75.00","5' 5""","57.89","100.00","43.75","25.00","75.00","57.14","85.71"
"9/9/2018","BMW Championship","T19",".178","75.00","4' 0""","76.47","50.00","60.00","-","60.00","66.67","100.00"
"9/3/2018","Dell Technologies Champ","T35",".920","85.71","4' 3""","75.00","100.00","63.64","50.00","40.00","87.50","100.00"
"8/26/2018","THE NORTHERN TRUST","T25","1.105","60.00","6' 0""","60.00","100.00","50.00","100.00","25.00","50.00","87.50"
"8/12/2018","PGA Championship","CUT",".091","14.29","14' 7""","58.33","100.00","75.00","33.33",".00","60.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T28","-.378","33.33","13' 0""","63.64","100.00","60.87","16.67","71.43","54.55","100.00"
"7/22/2018","The Open Championship","T28","-","69.23","-","66.67","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT",".196",".00","9' 2""","45.45","-","33.33",".00",".00","66.67","100.00"
"6/17/2018","U.S. Open","4",".705","37.50","10' 7""","36.00",".00","20.00","14.29","27.27","80.00","50.00"
"6/3/2018","the Memorial Tournament","T29",".992","50.00","7' 1""","68.00","100.00","60.00",".00","50.00","90.00","75.00"
"5/13/2018","THE PLAYERS Championship","T41",".068","57.14","10' 0""","69.57","-","50.00",".00","60.00","84.62","100.00"
"5/6/2018","Wells Fargo Championship","8",".559","80.00","11' 10""","77.27","100.00","75.00","33.33","66.67","100.00","75.00"
"4/29/2018","Zurich Classic of New Orl","T7","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","1","-","50.00","-","62.50","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7",".907","61.54","9' 1""","60.71","66.67","40.00","50.00",".00","72.73","100.00"
"3/11/2018","Valspar Championship","T2",".575","66.67","7' 4""","70.83","100.00","54.55","33.33","50.00","69.23","100.00"
"3/4/2018","WGC-Mexico Championship","T37",".703","44.44","12' 3""","68.00","100.00","64.29",".00","66.67","71.43","100.00"
"2/25/2018","The Honda Classic","CUT",".737","50.00","7' 6""","57.14","-","70.00","50.00","50.00","66.67","100.00"
"2/11/2018","AT&T Pebble Beach","CUT","-1.311","66.67","11' 0""","61.90","100.00","50.00",".00","100.00","50.00","50.00"
"2/4/2018","Waste Management Phoenix","T17",".353","33.33","8' 1""","63.64","100.00","58.33","40.00","50.00","50.00","100.00"
"1/28/2018","Farmers Insurance Open","T23","1.035","58.33","6' 6""","61.90","-","50.00","66.67","50.00","57.14","50.00"
"1/21/2018","CareerBuilder Challenge","CUT",".623","60.00","-","68.42","100.00","63.64","100.00","-","66.67","75.00"
"12/3/2017","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","66.67","-","53.33","-","33.33","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T50","-","54.55","-","50.00","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","60.00","-","66.67","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T13",".610","100.00","3' 6""","78.13","100.00","73.33","40.00","83.33","80.00","100.00"
"9/17/2017","BMW Championship","65","-.119","27.27","8' 0""","60.61","66.67","75.00",".00","40.00","50.00","100.00"
"9/4/2017","Dell Technologies Champ","T6","1.325","66.67","7' 0""","82.61","-","80.00","40.00","100.00","85.71","100.00"
"8/27/2017","THE NORTHERN TRUST","T20",".742","54.55","8' 6""","60.00","100.00","42.86","33.33","40.00","63.64","72.73"
"8/13/2017","PGA Championship","T2",".904","83.33","5' 7""","65.52","100.00","60.00","16.67","50.00","90.91","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","T36","-.994","25.00","25' 10""","57.69","-","58.82","50.00","42.86","44.44","87.50"
"7/23/2017","The Open Championship","CUT","-","25.00","-","55.56","-","-","-","-","-","-"
"7/9/2017","The Greenbrier Classic","T20",".128","64.29","9' 6""","72.41","100.00","70.00","33.33","60.00","75.00","100.00"
"7/2/2017","Quicken Loans National","T17",".754","50.00","8' 4""","53.33","100.00","38.46","14.29","50.00","63.64","85.71"
"6/25/2017","Travelers Championship","T5",".073","25.00","10' 3""","68.42","100.00","42.86",".00",".00","80.00","100.00"
"6/18/2017","U.S. Open","T13","1.564","50.00","10' 3""","69.23","100.00",".00","40.00","50.00","85.71","100.00"
"6/4/2017","the Memorial Tournament","T57","-.981","30.77","7' 8""","62.96","100.00","70.00","50.00","66.67","50.00","88.89"
"5/21/2017","AT&T Byron Nelson","T20","1.255","77.78","6' 0""","73.53","100.00","87.50","50.00","85.71","71.43","100.00"
"5/14/2017","THE PLAYERS Championship","T22","-.261","45.45","13' 3""","39.13","-","16.67","25.00","25.00","50.00","66.67"
"5/7/2017","Wells Fargo Championship","T12",".690","33.33","15' 9""","72.41","100.00","60.00","66.67","66.67","70.00","100.00"
