"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/13/2019","Sony Open in Hawaii","T13",".593",".388","305.5","296.7","349","55.36","13' 7""","17.86","14.29","82","118.25","136"
"1/6/2019","Sentry T of C","T25","-.435",".536","282.4","298.9","395","75.00","18' 1""","10.00","10.00","32","116.36","39"
"12/2/2018","(*) Hero World Challenge","11","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","-","-","-","340","58.93","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","28","-2.562","-1.290","282.8","289.1","331","41.07","32' 0""","23.21","16.07","57","118.16","35"
"9/9/2018","BMW Championship","T19",".858",".469","297.8","294.2","345","73.21","21' 7""","8.93","14.29","46","115.66","117"
"9/3/2018","Dell Technologies Champ","T35","-.393","-.499","295.6","293.5","331","51.79","27' 8""","8.93","19.64","130","116.96","145"
"8/26/2018","THE NORTHERN TRUST","T25","1.655",".786","286.6","285.7","316","71.43","31' 1""","14.29","14.29","47","117.45","108"
"8/12/2018","PGA Championship","CUT",".749",".843","293.0","298.8","335","64.29","25' 5""","7.14","10.71","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T28","-.436",".044","324.8","305.6","374","50.00","35' 6""","11.11","31.48","52","118.32","71"
"7/22/2018","The Open Championship","T28","-","-","308.8","-","366","45.00","-","-","-","102","-","-"
"6/24/2018","Travelers Championship","CUT",".861",".048","281.3","284.6","323","60.71","20' 6""","14.29","3.57","1,998","116.02","1,998"
"6/17/2018","U.S. Open","4","2.694",".463","295.1","295.2","372","69.64","-","14.29","7.14","91","-","-"
"6/3/2018","the Memorial Tournament","T29","1.342",".037","292.3","286.5","323","58.93","25' 7""","12.50","19.64","98","117.53","112"
"5/13/2018","THE PLAYERS Championship","T41",".903",".157","285.9","285.6","325","60.71","31' 3""","10.71","8.93","107","118.25","139"
"5/6/2018","Wells Fargo Championship","8","1.277","-.319","312.3","304.4","341","46.43","23' 9""","18.18","16.36","91","119.48","87"
"4/29/2018","Zurich Classic of New Orl","T7","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","1","-","-","299.3","-","330","73.21","-","-","-","19","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T7",".979",".215","295.3","292.3","350","64.29","22' 6""","12.73","12.73","75","117.88","106"
"3/11/2018","Valspar Championship","T2","3.223",".541","299.6","286.3","343","55.77","30' 4""","11.76","25.49","58","119.31","149"
"3/4/2018","WGC-Mexico Championship","T37",".884",".109","302.8","304.6","373","55.36","30' 2""","23.64","18.18","71","118.35","108"
"2/25/2018","The Honda Classic","CUT","-1.175","-.069","297.5","271.1","339","53.57","28' 7""","17.86","21.43","1,998","116.39","1,998"
"2/11/2018","AT&T Pebble Beach","CUT","-2.409",".735","304.3","279.6","358","58.54","29' 7""","28.57",".00","1,998","113.47","1,998"
"2/4/2018","Waste Management Phoenix","T17",".606","-.249","301.8","298.1","333","50.00","25' 0""","21.43","16.07","94","115.64","88"
"1/28/2018","Farmers Insurance Open","T23","1.668","-.317","301.9","291.1","332","33.93","31' 9""","19.05","28.57","99","113.92","115"
"1/21/2018","CareerBuilder Challenge","CUT","1.740","-.060","299.0","283.0","328","45.24","34' 2""","21.43","35.71","1,998","116.48","1,998"
"12/3/2017","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"11/12/2017","OHL Classic at Mayakoba","CUT","-","-","286.0","-","315","50.00","-","-","-","1,998","-","-"
"10/29/2017","WGC-HSBC Champions","T50","-","-","-","-","301","37.50","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","-","-","-","-","55.36","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T13",".086","-.128","297.0","299.1","350","55.36","27' 7""","17.86","14.29","36","117.20","38"
"9/17/2017","BMW Championship","65","-1.534","-.548","304.0","290.6","342","53.57","27' 9""","12.50","10.71","93","117.33","126"
"9/4/2017","Dell Technologies Champ","T6","1.247","-.504","288.4","284.3","328","55.36","25' 5""","23.21","7.14","112","115.67","104"
"8/27/2017","THE NORTHERN TRUST","T20","1.215",".488","296.1","294.2","368","69.64","31' 11""","7.27","14.55","51","116.84","70"
"8/13/2017","PGA Championship","T2","2.442",".551","302.6","294.8","314","57.14","32' 9""","16.36","10.91","76","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T36","-.304",".250","314.4","302.2","403","35.71","25' 5""","30.36","25.00","106","115.03","75"
"7/23/2017","The Open Championship","CUT","-","-","285.3","-","325","28.57","-","-","-","1,998","-","-"
"7/9/2017","The Greenbrier Classic","T20","-.552","-.322","309.1","294.9","346","53.57","23' 2""","21.43","19.64","101","119.54","118"
"7/2/2017","Quicken Loans National","T17","1.094",".379","297.8","286.9","338","48.21","24' 4""","12.50","26.79","111","116.22","135"
"6/25/2017","Travelers Championship","T5","1.666","1.185","312.9","289.5","340","78.57","24' 11""","8.93","5.36","10","116.95","115"
"6/18/2017","U.S. Open","T13","1.247","-.170","301.5","296.9","342","73.21","-","7.14","10.71","98","-","-"
"6/4/2017","the Memorial Tournament","T57",".445",".928","293.8","296.4","354","66.07","30' 11""","7.27","14.55","61","116.96","89"
"5/21/2017","AT&T Byron Nelson","T20",".227","-1.187","287.8","291.7","355","42.86","40' 0""","25.45","16.36","102","117.00","107"
"5/14/2017","THE PLAYERS Championship","T22","1.197",".262","290.1","286.1","333","67.86","45' 0""","7.27","12.73","48","114.50","41"
"5/7/2017","Wells Fargo Championship","T12",".864","-.770","282.8","285.2","332","42.86","36' 1""","7.14","17.86","120","119.54","138"
"4/30/2017","Zurich Classic of New Orl","T14","-","-","-","-","-","-","-","-","-","-","-","-"
"4/23/2017","Valero Texas Open","CUT",".824","1.279","298.5","294.0","336","67.86","14' 4""","28.57",".00","1,998","118.49","1,998"
"4/9/2017","Masters Tournament","CUT","-","-","281.5","-","305","53.57","-","-","-","1,998","-","-"
"4/2/2017","Shell Houston Open","CUT","-.396","1.198","283.3","281.8","323","71.43","36' 6""","10.71","14.29","1,998","115.79","1,998"
