"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/13/2019","Sony Open in Hawaii","T13","1.419","50.2","1.729","1.542","47.22","1.39","27.75","29.00","28.00","27.00","27.00","100.00","90.91","75.00","50.00","100.00","100.00","50.00",".00","84.62","90.28","66.67",".00","50.00","8.70","30' 10""","1' 11""","86' 1""","35.42"
"1/6/2019","Sentry T of C","T25","-1.141","49.8","1.796","1.736","33.33","6.94","31.25","27.00","33.00","32.00","33.00","100.00","85.71","75.00","33.33",".00",".00",".00","50.00","44.44","82.50","21.43","25.00","28.57",".00","22' 8""","2' 3""","61' 3""","29.63"
"12/2/2018","(*) Hero World Challenge","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","-","1.706","1.625","37.50",".00","29.25","29.00","27.00","29.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.29"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","28","-.072","19.7","1.824","1.486","43.06",".00","26.75","27.00","26.00","29.00","25.00","100.00","100.00","80.00","87.50","25.00","100.00","50.00","100.00","73.68","89.04","40.00","22.22",".00",".00","15' 8""","2' 2""","63' 4""","20.59"
"9/9/2018","BMW Championship","T19",".026","52.2","1.709","1.597","41.67","1.39","28.75","29.00","28.00","26.00","32.00","100.00","100.00","100.00","71.43","50.00","66.67","50.00","33.33","77.78","90.28","30.77","28.57","16.67",".00","22' 2""","2' 5""","72' 1""","30.91"
"9/3/2018","Dell Technologies Champ","T35",".739","88.8","1.725","1.514","50.00","1.39","27.25","27.00","28.00","28.00","26.00","100.00","100.00","85.71","100.00","50.00","100.00",".00",".00","82.35","90.14","20.00",".00","28.57","25.00","28' 4""","2' 3""","88' 7""","35.00"
"8/26/2018","THE NORTHERN TRUST","T25","-.512","95.8","1.723","1.556","40.28","1.39","28.00","30.00","28.00","27.00","27.00","100.00","100.00","100.00","100.00","66.67","66.67","40.00",".00","87.50","87.01","14.29","20.00",".00",".00","16' 6""","2' 0""","56' 5""","34.04"
"8/12/2018","PGA Championship","CUT","-1.763","-","1.917","1.750","27.78","2.78","31.50","32.00","31.00","-","-","100.00","-",".00","100.00",".00",".00","-",".00","28.57","85.00","25.00",".00","16.67",".00","23' 7""","2' 6""","49' 3""","12.50"
