"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/13/2019","Sony Open in Hawaii","CUT",".484","63.89","100.00","20.00","60.00","32' 5""","35' 5""","32' 9""","36' 4""","27' 9""","-","-","69' 0""","44' 0""","-","24' 2""","3' 1""","13' 8""","21' 7""","20' 1""","33' 0""","56' 6""","-","-","-","-","35' 5""","-","-","35' 3""","35' 8""","-","-","-","-","-","1","7"
"1/6/2019","Sentry T of C","T16",".301","73.61","65.22","33.33","66.67","37' 0""","30' 2""","42' 5""","22' 0""","36' 7""","125' 0""","95' 7""","64' 5""","31' 9""","19' 10""","28' 11""","23' 3""","23' 11""","29' 8""","29' 11""","34' 10""","56' 0""","-","-","-","-","32' 5""","21' 1""","-","31' 8""","18' 4""","65' 9""","13' 7""","9' 10""","-","17' 4""","-","-"
"10/28/2018","WGC-HSBC Champions","T16","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","75.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","79.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11",".699","68.06","75.00","16.67","83.33","32' 0""","44' 0""","54' 5""","40' 6""","24' 4""","-","45' 6""","43' 5""","31' 11""","-","-","10' 0""","10' 0""","14' 6""","20' 8""","24' 3""","36' 8""","-","-","70' 10""","64' 10""","46' 5""","33' 5""","66' 10""","22' 10""","33' 4""","46' 0""","41' 9""","54' 3""","46' 4""","7' 8""","1","7"
"9/9/2018","BMW Championship","W/D","-1.374","72.22","71.43","20.00","40.00","32' 11""","41' 0""","36' 7""","44' 8""","28' 9""","79' 2""","-","30' 4""","39' 10""","10' 9""","20' 0""","19' 6""","19' 0""","25' 11""","29' 0""","32' 7""","40' 10""","-","-","67' 6""","41' 0""","47' 2""","24' 6""","54' 3""","64' 3""","30' 6""","24' 11""","23' 6""","20' 7""","25' 8""","22' 3""","-","-"
"9/3/2018","Dell Technologies Champ","T21",".751","66.67","75.00","25.00","66.67","35' 2""","43' 1""","48' 2""","34' 3""","30' 5""","-","51' 1""","48' 9""","30' 8""","-","26' 0""","39' 11""","36' 6""","18' 8""","26' 2""","30' 8""","38' 1""","-","47' 2""","112' 4""","81' 1""","43' 1""","-","80' 2""","71' 0""","26' 0""","14' 11""","17' 9""","17' 9""","-","-","2","8"
"8/26/2018","THE NORTHERN TRUST","T60",".259","70.83","50.00","37.50","50.00","33' 5""","54' 8""","51' 7""","56' 2""","27' 9""","82' 4""","15' 8""","43' 6""","39' 7""","10' 9""","16' 2""","16' 11""","14' 5""","20' 7""","19' 5""","31' 7""","48' 7""","-","130' 3""","-","76' 3""","59' 1""","32' 6""","103' 3""","30' 11""","49' 5""","-","40' 11""","56' 9""","25' 0""","-","1","9"
"8/12/2018","PGA Championship","CUT",".061","66.67","40.00",".00","50.00","31' 9""","38' 0""","44' 10""","31' 2""","31' 9""","74' 1""","110' 4""","17' 9""","32' 8""","3' 5""","29' 3""","-","20' 7""","16' 6""","22' 8""","36' 2""","47' 7""","-","-","-","-","47' 6""","9' 4""","-","47' 3""","28' 3""","56' 11""","19' 2""","38' 10""","-","9' 4""","-","-"
