"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/13/2019","Sony Open in Hawaii","CUT",".535","50.00","7' 5""","61.54","75.00","100.00",".00","-","62.50","75.00"
"1/6/2019","Sentry T of C","T16","-.186",".00","11' 1""","52.63","100.00","100.00","25.00","20.00","87.50","50.00"
"10/28/2018","WGC-HSBC Champions","T16","-","63.64","-","44.00","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","20.00","-","55.56","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","60.00","-","73.33","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11",".340","66.67","6' 1""","52.17","100.00","25.00","28.57",".00","71.43","83.33"
"9/9/2018","BMW Championship","W/D",".035","75.00","10' 1""","86.67","66.67","83.33",".00","100.00","88.89","100.00"
"9/3/2018","Dell Technologies Champ","T21",".440","20.00","15' 11""","66.67","100.00","69.23","25.00","50.00","62.50","90.00"
"8/26/2018","THE NORTHERN TRUST","T60","-.814","14.29","14' 6""","38.10","100.00","22.22","50.00","100.00","18.18","60.00"
"8/12/2018","PGA Championship","CUT","-1.246","33.33","17' 4""","16.67",".00","33.33",".00",".00",".00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.570","33.33","7' 5""","64.29","100.00","72.22",".00","40.00","75.00","100.00"
"7/22/2018","The Open Championship","T51","-","85.71","-","60.00","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T2","1.011","100.00","2' 2""","60.00","100.00",".00","40.00","100.00","60.00","66.67"
"6/17/2018","U.S. Open","T16",".369","63.64","12' 4""","50.00",".00",".00","46.15","33.33","57.14","100.00"
"5/6/2018","Wells Fargo Championship","T5","-.263","33.33","10' 0""","66.67","100.00","72.73","50.00","33.33","92.31","100.00"
"4/15/2018","RBC Heritage","CUT","-.314","100.00","7' 7""","41.18","50.00",".00",".00","25.00","80.00","40.00"
"4/8/2018","Masters Tournament","T15","-","14.29","-","62.96","-","-","-","-","-","-"
