"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/13/2019","Sony Open in Hawaii","CUT",".805","-.214","287.0","283.5","333","64.29","18' 6""","3.57","10.71","1,998","116.49","1,998"
"1/6/2019","Sentry T of C","T16",".102","-.013","277.5","295.1","396","78.33","16' 6""","6.67","10.00","32","115.08","45"
"10/28/2018","WGC-HSBC Champions","T16","-","-","-","-","325","62.50","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","-","-","-","-","75.00","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T13","-","-","-","-","-","75.00","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11",".837","-.202","304.4","294.8","343","58.93","23' 4""","5.36","23.21","20","117.40","47"
"9/9/2018","BMW Championship","W/D","-1.002",".337","306.0","300.8","349","66.67","23' 2""","11.90","11.90","1,998","117.85","1,998"
"9/3/2018","Dell Technologies Champ","T21","1.323",".132","304.5","290.1","332","62.50","31' 2""","10.91","7.27","77","118.00","53"
"8/26/2018","THE NORTHERN TRUST","T60","-.197",".359","285.1","290.1","337","69.64","24' 6""","9.09","10.91","62","116.52","124"
"8/12/2018","PGA Championship","CUT","-1.688","-.503","305.0","292.2","322","46.43","21' 4""","21.43","14.29","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.215","-.155","331.8","303.1","376","50.00","22' 3""","26.79","16.07","39","117.15","43"
"7/22/2018","The Open Championship","T51","-","-","313.5","-","338","68.33","-","-","-","21","-","-"
"6/24/2018","Travelers Championship","T2","1.731","-.373","296.9","281.3","337","71.43","28' 4""","12.50","8.93","48","116.53","82"
"6/17/2018","U.S. Open","T16","1.145","-.064","305.1","288.7","360","69.64","-","5.36","17.86","67","-","-"
"5/6/2018","Wells Fargo Championship","T5","1.178",".255","313.8","306.7","366","57.14","16' 8""","7.14","8.93","45","120.72","117"
"4/15/2018","RBC Heritage","CUT","-.894","-.219","293.5","278.5","355","60.71","19' 3""","7.41","7.41","1,998","114.47","1,998"
"4/8/2018","Masters Tournament","T15","-","-","281.8","-","319","50.00","-","-","-","99","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","1","2.349","-.045","301.6","280.1","347","46.15","27' 9""","17.31","21.15","85","117.72","122"
"3/4/2018","WGC-Mexico Championship","T12","1.264",".483","314.0","297.7","393","67.86","20' 9""","17.86","12.50","19","-","-"
"2/18/2018","Genesis Open","T49",".766",".964","308.6","297.2","334","62.50","19' 0""","17.86","7.14","23","116.42","108"
"2/11/2018","AT&T Pebble Beach","T8","4.125",".880","298.9","271.7","338","72.73","11' 9""","10.71","14.29","53","118.02","125"
"10/29/2017","WGC-HSBC Champions","T11","-","-","-","-","328","58.93","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T19","-","-","-","-","-","83.93","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T7","-","-","-","-","-","66.07","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","5","-.017",".432","299.5","297.4","343","62.50","32' 1""","14.29","16.07","24","115.52","32"
"9/17/2017","BMW Championship","T33","-.023",".381","310.1","290.8","355","62.50","28' 9""","10.71","8.93","48","118.54","102"
