"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/13/2019","Sony Open in Hawaii","CUT","-1.534","-","1.783","1.611","36.11","2.78","29.00","32.00","26.00","-","-","100.00","75.00","75.00","66.67","-","-","33.33","-","70.00","84.62",".00","25.00","25.00",".00","23' 10""","2' 4""","64' 6""","26.09"
"1/6/2019","Sentry T of C","T16",".073","31.4","1.736","1.653","36.11","1.39","29.75","33.00","29.00","26.00","31.00","100.00","100.00","42.86","50.00","33.33",".00","83.33","60.00","38.46","85.90","45.45",".00",".00",".00","14' 6""","2' 1""","65' 3""","37.74"
"10/28/2018","WGC-HSBC Champions","T16","-","-","1.681","1.611","34.72","1.39","29.00","31.00","26.00","28.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","38.30"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T18","-","-","1.778","1.667","36.11","5.56","30.00","28.00","33.00","28.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.19"
"10/14/2018","CIMB Classic","T13","-","-","1.719","1.625","36.11","1.39","29.25","29.00","26.00","31.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.93"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11","-.220","24.1","1.673","1.569","37.50",".00","28.25","30.00","26.00","27.00","30.00","100.00","100.00","100.00","75.00","50.00",".00","60.00","66.67","66.67","89.04","40.00",".00",".00","7.69","37' 1""","1' 9""","63' 10""","31.25"
"9/9/2018","BMW Championship","W/D","-.124","-","1.872","1.667","33.33",".00","30.00","31.00","31.00","28.00","-","100.00","85.71","100.00","100.00",".00","100.00","50.00","-","90.91","94.44","28.57","14.29",".00",".00","15' 1""","2' 2""","59' 1""","15.38"
"9/3/2018","Dell Technologies Champ","T21","-.226","61.4","1.729","1.528","41.67",".00","27.50","27.00","28.00","27.00","28.00","100.00","87.50","100.00","75.00","100.00","50.00",".00","33.33","81.25","90.54","25.00",".00","20.00",".00","20' 6""","2' 5""","56' 11""","33.33"
"8/26/2018","THE NORTHERN TRUST","T60","-.161","63.1","1.706","1.667","33.33","2.78","30.00","29.00","30.00","31.00","30.00","97.62","100.00","100.00","83.33","60.00","40.00","50.00","66.67","66.67","86.67","37.50","9.09",".00","9.52","32' 3""","2' 3""","77' 8""","37.25"
