"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/20/2019","Desert Classic","T2","1.855","81.94","50.00","25.00","50.00","24' 10""","31' 10""","19' 10""","39' 4""","21' 3""","-","-","10' 2""","38' 3""","-","9' 5""","19' 3""","16' 5""","14' 1""","21' 1""","24' 9""","32' 7""","-","87' 2""","-","-","42' 5""","15' 0""","87' 2""","-","29' 3""","35' 0""","13' 8""","7' 0""","5' 5""","17' 5""","2","12"
"11/23/2018","(*) Tiger vs. Phil","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T17","-.415","66.67","81.25","13.33","53.33","36' 1""","40' 7""","39' 11""","41' 0""","28' 6""","-","52' 0""","31' 0""","39' 4""","23' 9""","18' 5""","25' 9""","24' 2""","16' 3""","21' 3""","34' 4""","38' 4""","120' 0""","90' 4""","79' 1""","74' 7""","44' 0""","25' 11""","88' 7""","56' 0""","30' 1""","23' 6""","23' 6""","22' 1""","28' 10""","14' 2""","1","12"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","30","-1.744","56.94","75.00","16.67","50.00","40' 6""","45' 6""","39' 4""","76' 3""","32' 7""","-","60' 8""","59' 6""","34' 0""","-","16' 0""","20' 8""","20' 0""","21' 2""","25' 11""","38' 7""","46' 0""","-","-","106' 0""","51' 4""","52' 9""","26' 8""","78' 8""","67' 9""","-","45' 2""","33' 3""","49' 11""","27' 10""","25' 10""","2","26"
"9/9/2018","BMW Championship","T58",".143","69.44","88.89","11.11","55.56","37' 2""","34' 8""","40' 1""","23' 0""","33' 9""","166' 10""","58' 4""","57' 5""","36' 3""","7' 5""","25' 11""","17' 0""","16' 10""","23' 1""","26' 10""","32' 5""","51' 2""","-","-","136' 0""","26' 3""","37' 6""","28' 8""","81' 2""","-","51' 7""","44' 11""","23' 9""","19' 5""","28' 8""","-","-","-"
"9/3/2018","Dell Technologies Champ","T12",".443","62.50","62.50","10.00","70.00","34' 6""","30' 9""","31' 8""","29' 10""","29' 7""","-","56' 10""","64' 2""","34' 6""","6' 1""","31' 0""","9' 1""","17' 3""","13' 2""","16' 9""","37' 4""","44' 1""","-","-","-","-","31' 4""","24' 4""","-","33' 0""","40' 3""","18' 6""","15' 2""","15' 2""","-","-","1","5"
"8/26/2018","THE NORTHERN TRUST","T15",".638","75.00","43.75","14.29","42.86","32' 1""","37' 2""","42' 0""","32' 4""","25' 11""","72' 5""","76' 1""","33' 9""","27' 9""","-","13' 6""","16' 4""","14' 4""","16' 11""","21' 9""","30' 7""","46' 7""","-","-","-","23' 4""","39' 11""","15' 7""","23' 4""","55' 7""","36' 6""","29' 10""","31' 5""","39' 4""","-","15' 7""","1","8"
"8/12/2018","PGA Championship","CUT","-.317","66.67","40.00",".00","50.00","27' 6""","35' 4""","52' 8""","22' 5""","26' 1""","-","78' 4""","29' 8""","30' 9""","15' 3""","7' 9""","24' 11""","16' 1""","15' 4""","21' 8""","39' 5""","37' 3""","-","-","-","-","41' 0""","21' 3""","-","-","45' 2""","47' 9""","21' 5""","21' 9""","-","21' 3""","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T24","1.024","66.67","37.50","66.67","66.67","31' 1""","40' 7""","39' 4""","41' 8""","24' 6""","-","9' 7""","54' 10""","26' 1""","-","17' 2""","15' 7""","16' 4""","16' 8""","22' 10""","27' 10""","34' 4""","-","-","-","81' 0""","41' 11""","16' 5""","81' 0""","40' 1""","28' 6""","46' 6""","16' 5""","-","16' 5""","-","1","7"
