"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/20/2019","Desert Classic","T2",".786","75.00","8' 9""","84.62","-","83.33",".00","-","100.00","100.00"
"11/23/2018","(*) Tiger vs. Phil","1","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T17",".736","37.50","5' 6""","62.50","100.00","66.67",".00","33.33","70.00","87.50"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","30",".412","40.00","9' 3""","45.16","100.00","46.15","22.22","50.00","44.44","100.00"
"9/9/2018","BMW Championship","T58","-.436","60.00","6' 9""","63.64","50.00","50.00","33.33","80.00","60.00","75.00"
"9/3/2018","Dell Technologies Champ","T12",".733","100.00","3' 6""","62.96","-","68.75",".00","100.00","54.55","87.50"
"8/26/2018","THE NORTHERN TRUST","T15",".646","50.00","5' 5""","55.56","-","40.00","100.00",".00","50.00","75.00"
"8/12/2018","PGA Championship","CUT",".204",".00","13' 5""","50.00","100.00","66.67","40.00","-","33.33","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T24","-.212","75.00","5' 8""","62.50","100.00","54.55","33.33","40.00","71.43","77.78"
"7/22/2018","The Open Championship","T24","-","50.00","-","47.37","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T65","-.177","42.86","11' 8""","52.00","100.00","58.33","28.57","50.00","58.33","100.00"
"6/17/2018","U.S. Open","T48","-.277","44.44","10' 1""","25.93","100.00","50.00",".00","33.33","42.86","-"
"6/10/2018","FedEx St. Jude Classic","T12",".203","83.33","9' 0""","62.07","100.00","16.67","50.00","50.00","60.00","88.89"
"6/3/2018","the Memorial Tournament","T13",".441","60.00","6' 8""","54.55","100.00","63.64","50.00",".00","66.67","85.71"
"5/13/2018","THE PLAYERS Championship","CUT","-2.540","16.67","12' 2""","29.41","100.00",".00","20.00","25.00",".00","100.00"
"5/6/2018","Wells Fargo Championship","T5",".216","70.00","6' 4""","56.00","100.00","54.55",".00","20.00","69.23","100.00"
"4/8/2018","Masters Tournament","T36","-","66.67","-","55.17","-","-","-","-","-","-"
"4/1/2018","Houston Open","T24",".076","87.50","5' 11""","76.47","100.00","50.00","57.14","100.00","50.00","100.00"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","1",".222","100.00","5' 0""","81.82","100.00","76.47","25.00","100.00","90.91","100.00"
"2/18/2018","Genesis Open","T6",".532","33.33","16' 10""","72.41","100.00","63.64",".00","50.00","66.67","100.00"
"2/11/2018","AT&T Pebble Beach","T2",".751","62.50","6' 11""","80.95","100.00","70.00","-","66.67","100.00","100.00"
"2/4/2018","Waste Management Phoenix","T5",".002","70.00","8' 2""","87.50","100.00","100.00","80.00","100.00","80.00","100.00"
"1/28/2018","Farmers Insurance Open","T45","-.107","60.00","8' 9""","54.84","100.00","43.75","14.29","16.67","80.00","100.00"
"1/21/2018","CareerBuilder Challenge","CUT","-2.097","60.00","7' 4""","58.33","100.00","55.56","100.00","50.00","40.00","100.00"
"10/29/2017","WGC-HSBC Champions","T15","-","100.00","-","51.52","-","-","-","-","-","-"
"10/8/2017","Safeway Open","T3",".604","40.00","9' 1""","59.09","80.00","44.44",".00","33.33","53.85","100.00"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T20",".443","33.33","15' 1""","69.57","100.00","60.00",".00","50.00","72.73","87.50"
"9/4/2017","Dell Technologies Champ","T6",".865","33.33","3' 9""","80.00","100.00","90.91",".00","100.00","84.62","100.00"
"8/27/2017","THE NORTHERN TRUST","T54","-.542","66.67","8' 9""","55.56","100.00","37.50","25.00","60.00","72.73","100.00"
"8/13/2017","PGA Championship","CUT","-2.310","66.67","5' 9""","31.58","-","11.11","33.33",".00","50.00",".00"
"8/6/2017","WGC-Bridgestone Invit'l","T39",".163","40.00","10' 3""","62.50","100.00","75.00",".00","50.00","73.33","83.33"
"7/23/2017","The Open Championship","CUT","-","50.00","-","45.45","-","-","-","-","-","-"
"7/9/2017","The Greenbrier Classic","T20",".013","44.44","7' 0""","66.67","-","80.00","20.00","66.67","70.00","100.00"
"6/11/2017","FedEx St. Jude Classic","9",".233","100.00","13' 3""","64.00","75.00","50.00","16.67","100.00","77.78","83.33"
"6/4/2017","the Memorial Tournament","T22",".650","50.00","8' 1""","45.45","100.00","28.57",".00",".00","50.00","100.00"
"5/28/2017","DEAN & DELUCA Invt'l","T29",".141","66.67","6' 0""","58.33","-","44.44","50.00","71.43","45.45","100.00"
"5/14/2017","THE PLAYERS Championship","T41","-.605","50.00","13' 8""","51.85","100.00","66.67",".00","50.00","72.73","80.00"
"5/7/2017","Wells Fargo Championship","T18","-.660","44.44","6' 0""","52.63","-","28.57",".00","75.00","41.67","100.00"
"4/9/2017","Masters Tournament","T22","-","50.00","-","55.17","-","-","-","-","-","-"
"4/2/2017","Shell Houston Open","T55",".543","50.00","8' 6""","62.50","100.00","33.33","50.00","66.67","33.33","90.00"
"3/26/2017","WGC-Dell Tech Match Play","T5","-","-","-","-","-","-","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","T7",".953","80.00","4' 10""","70.97","100.00","70.59","22.22","60.00","100.00","100.00"
"2/19/2017","Genesis Open","T34","1.330","40.00","4' 4""","65.71","100.00","68.75","50.00","50.00","62.50","81.82"
"2/12/2017","AT&T Pebble Beach","65","1.170","100.00","2' 0""","51.85","100.00","38.46",".00","66.67","80.00","100.00"
"2/5/2017","Waste Management Phoenix","T16",".092","75.00","5' 6""","52.38","-","33.33","60.00","25.00","50.00","100.00"
"1/29/2017","Farmers Insurance Open","T14","-.022","37.50","7' 3""","60.71","100.00","58.33",".00","100.00","60.00","100.00"
"1/22/2017","CareerBuilder Challenge","T21",".639","42.86","-","73.33","100.00","78.57","66.67","100.00","33.33","100.00"
"10/16/2016","Safeway Open","T8",".386","66.67","5' 7""","66.67","-","70.00","33.33","100.00","75.00","100.00"
"10/2/2016","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","22",".236","80.00","11' 2""","64.29","100.00","66.67","30.00","75.00","88.89","80.00"
"9/11/2016","BMW Championship","T24",".889","66.67","7' 9""","59.09","100.00","69.23",".00","100.00","62.50","80.00"
"9/5/2016","Deutsche Bank Champ","CUT","-1.788","60.00","13' 5""","70.59","-","71.43",".00","100.00","100.00","50.00"
"8/28/2016","The Barclays","T13","-.688","60.00","7' 9""","65.00","100.00","60.00","50.00","33.33","85.71","100.00"
"7/31/2016","PGA Championship","T33",".331","50.00","7' 8""","57.89","100.00","50.00","20.00","100.00","60.00","100.00"
"7/17/2016","The Open Championship","2","-","100.00","-","84.21","-","-","-","-","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T27",".425","80.00","7' 1""","67.65","100.00","52.94","33.33","81.82","66.67","75.00"
"6/19/2016","U.S. Open","CUT","-","28.57","-","50.00","-","-","-","-","-","-"
"6/12/2016","FedEx St. Jude Classic","T2",".127","100.00","6' 5""","73.08","100.00","55.56","50.00","66.67","85.71","100.00"
"6/5/2016","the Memorial Tournament","T20","-.206","75.00","7' 7""","26.67","50.00","33.33","-",".00",".00","80.00"
"5/15/2016","THE PLAYERS Championship","CUT",".145","40.00","7' 5""","41.67","-",".00","16.67","100.00","33.33","100.00"
"5/8/2016","Wells Fargo Championship","T4",".320","66.67","13' 1""","75.00","100.00","62.50","50.00","100.00","80.00","100.00"
"4/24/2016","Valero Texas Open","CUT","-.203","25.00","7' 8""","66.67","85.71","40.00","33.33","100.00","70.00","75.00"
"4/10/2016","Masters Tournament","CUT","-","42.86","-","27.27","-","-","-","-","-","-"
"4/3/2016","Shell Houston Open","T13",".282","54.55","9' 1""","62.50","-","66.67","28.57","100.00","71.43","100.00"
"3/27/2016","WGC-Dell Match Play","T18","-","-","-","-","-","-","-","-","-","-"
"3/6/2016","WGC-Cadillac Championship","5","1.246","77.78","4' 4""","69.57","100.00","75.00","50.00","100.00","87.50","80.00"
"2/28/2016","The Honda Classic","T37","-.182","57.14","8' 2""","60.87","100.00","77.78","33.33","25.00","88.89","100.00"
"2/14/2016","AT&T Pebble Beach","2","1.401","60.00","8' 1""","75.86","80.00","71.43","100.00","50.00","77.78","100.00"
