"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/20/2019","Desert Classic","T2","3.472",".831","318.1","301.6","358","55.36","33' 7""","10.71","28.57","66","-","-"
"11/23/2018","(*) Tiger vs. Phil","1","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T17",".394",".073","312.4","294.8","397","41.07","36' 9""","25.45","29.09","94","122.37","100"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","30","-2.326","-.994","306.6","302.9","349","44.64","36' 6""","23.21","10.71","34","117.38","28"
"9/9/2018","BMW Championship","T58","-.288",".005","309.5","303.4","344","44.64","41' 4""","26.79","16.07","74","116.64","14"
"9/3/2018","Dell Technologies Champ","T12",".454","-.721","304.9","289.8","335","55.36","29' 1""","12.50","10.71","100","117.98","47"
"8/26/2018","THE NORTHERN TRUST","T15","1.253","-.031","296.9","295.4","336","48.21","40' 0""","22.22","18.52","87","118.49","29"
"8/12/2018","PGA Championship","CUT",".094",".207","289.5","289.1","321","64.29","36' 8""","14.29","17.86","1,998","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T24",".778","-.035","316.9","299.4","374","53.57","26' 3""","21.43","17.86","62","112.93","40"
"7/22/2018","The Open Championship","T24","-","-","302.3","-","356","51.67","-","-","-","106","-","-"
"7/8/2018","The Greenbrier","T65","-1.374","-.666","323.3","295.1","374","57.14","22' 2""","24.07","9.26","82","115.86","30"
"6/17/2018","U.S. Open","T48","1.031","-.809","292.5","281.6","329","80.36","-","1.79","10.71","73","-","-"
"6/10/2018","FedEx St. Jude Classic","T12","1.516",".322","298.8","291.8","344","55.36","33' 11""","20.00","16.36","60","116.99","63"
"6/3/2018","the Memorial Tournament","T13","1.192","-.226","283.4","286.9","324","60.71","28' 3""","16.07","8.93","112","117.20","115"
"5/13/2018","THE PLAYERS Championship","CUT","-5.494","-.734","274.3","276.1","322","46.43","21' 10""","7.14","10.71","1,998","116.21","1,998"
"5/6/2018","Wells Fargo Championship","T5","1.459",".931","306.5","305.1","366","66.07","23' 7""","16.07","5.36","52","116.80","100"
"4/8/2018","Masters Tournament","T36","-","-","283.3","-","311","50.00","-","-","-","94","-","-"
"4/1/2018","Houston Open","T24","-.520","-.911","298.4","286.9","343","50.00","49' 2""","14.55","20.00","86","117.69","29"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","1","1.498",".478","302.4","311.7","394","48.21","26' 5""","30.91","18.18","93","-","-"
"2/18/2018","Genesis Open","T6","2.553",".404","278.4","295.6","335","44.64","17' 2""","23.64","21.82","133","116.92","13"
"2/11/2018","AT&T Pebble Beach","T2","1.682",".524","301.8","276.3","336","67.27","35' 4""","10.71","3.57","61","-","-"
"2/4/2018","Waste Management Phoenix","T5","1.064","-.098","315.8","303.2","351","51.79","31' 8""","22.22","5.56","63","116.44","32"
"1/28/2018","Farmers Insurance Open","T45","-.625","-1.054","301.9","295.5","356","39.29","42' 0""","17.07","17.07","91","115.15","6"
"1/21/2018","CareerBuilder Challenge","CUT","-2.751","-1.435","301.8","283.0","316","57.14","24' 11""","42.86","14.29","1,998","115.50","1,998"
"10/29/2017","WGC-HSBC Champions","T15","-","-","-","-","318","57.14","-","-","-","-","-","-"
"10/8/2017","Safeway Open","T3","2.083","-.434","299.6","287.0","344","26.79","29' 7""","35.71","28.57","119","110.87","31"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T20",".467",".349","303.4","293.8","345","55.36","28' 9""","7.14","19.64","90","112.90","51"
"9/4/2017","Dell Technologies Champ","T6","1.893",".558","282.4","283.0","332","75.00","40' 8""","3.57","3.57","67","113.93","17"
"8/27/2017","THE NORTHERN TRUST","T54","-1.022",".001","285.0","287.1","344","62.50","36' 3""","12.96","16.67","102","112.24","56"
"8/13/2017","PGA Championship","CUT","-1.840",".165","288.8","289.6","310","60.71","48' 0""","10.71","10.71","1,998","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T39","-.011","-.119","307.8","298.0","372","42.86","25' 6""","37.50","16.07","104","112.38","35"
"7/23/2017","The Open Championship","CUT","-","-","270.5","-","311","39.29","-","-","-","1,998","-","-"
"7/9/2017","The Greenbrier Classic","T20",".966","-.162","307.4","296.3","344","64.29","28' 1""","19.64","5.36","79","114.35","2"
"6/11/2017","FedEx St. Jude Classic","9","1.739",".014","304.0","292.4","336","53.57","26' 3""","25.45","12.73","57","115.22","35"
"6/4/2017","the Memorial Tournament","T22","2.933",".247","284.8","285.0","358","62.50","29' 4""","21.82","5.45","101","114.97","99"
"5/28/2017","DEAN & DELUCA Invt'l","T29","1.641",".358","299.9","289.3","359","41.07","36' 2""","32.14","21.43","89","115.17","114"
"5/14/2017","THE PLAYERS Championship","T41",".007","-.264","296.3","282.6","347","53.57","26' 2""","5.36","16.07","66","113.51","3"
"5/7/2017","Wells Fargo Championship","T18",".663",".256","297.3","287.6","343","44.64","22' 0""","12.50","23.21","86","113.36","56"
"4/9/2017","Masters Tournament","T22","-","-","277.5","-","312","62.50","-","-","-","73","-","-"
"4/2/2017","Shell Houston Open","T55",".425","-.016","292.4","283.4","336","53.57","35' 11""","14.29","14.29","75","113.75","24"
"3/26/2017","WGC-Dell Tech Match Play","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","T7",".793","-.618","318.1","310.5","379","50.00","47' 6""","28.00","12.00","73","-","-"
"2/19/2017","Genesis Open","T34",".754",".291","291.3","280.4","330","48.21","26' 4""","26.79","16.07","82","112.70","57"
"2/12/2017","AT&T Pebble Beach","65","-2.352","-2.026","288.3","273.0","326","76.36","30' 8""","7.41","3.70","36","115.82","98"
"2/5/2017","Waste Management Phoenix","T16",".446","-.411","309.4","304.1","347","53.57","35' 8""","18.18","9.09","77","115.51","29"
"1/29/2017","Farmers Insurance Open","T14","1.616",".409","286.6","285.7","317","51.79","28' 11""","28.57","9.52","75","113.74","43"
"1/22/2017","CareerBuilder Challenge","T21",".213","-.722","277.8","275.9","309","55.36","50' 6""","21.43","7.14","126","115.07","25"
"10/16/2016","Safeway Open","T8","1.349","-.498","280.6","282.3","332","44.64","27' 6""","38.89","9.26","114","118.10","33"
"10/2/2016","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","22","-.330","-1.813","302.8","302.0","351","35.71","25' 11""","21.82","23.64","40","118.63","38"
"9/11/2016","BMW Championship","T24","1.271","-1.120","296.6","283.8","318","50.00","30' 4""","25.00","10.71","92","112.56","25"
"9/5/2016","Deutsche Bank Champ","CUT","-3.598","-.497","286.3","281.3","311","71.43","21' 8""","7.14","7.14","1,998","117.14","1,998"
"8/28/2016","The Barclays","T13",".347","-.311","304.4","292.9","334","48.21","34' 11""","17.86","10.71","85","114.16","11"
"7/31/2016","PGA Championship","T33","1.058","-.095","294.9","283.9","329","60.71","35' 5""","11.11","18.52","70","-","-"
"7/17/2016","The Open Championship","2","-","-","274.1","-","302","67.86","-","-","-","78","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T27",".571",".310","309.9","304.1","358","46.43","33' 6""","37.74","9.43","56","113.86","44"
"6/19/2016","U.S. Open","CUT","-","-","273.3","-","277","75.00","-","-","-","1,998","-","-"
"6/12/2016","FedEx St. Jude Classic","T2",".461",".744","293.9","289.9","325","48.21","31' 10""","27.78","12.96","81","117.74","116"
"6/5/2016","the Memorial Tournament","T20","2.154",".713","296.0","286.3","355","71.43","17' 0""","12.50","7.14","49","115.33","39"
"5/15/2016","THE PLAYERS Championship","CUT","-.998","-1.195","282.5","277.3","308","39.29","41' 0""","15.38","19.23","1,998","114.22","1,998"
