"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/20/2019","Desert Classic","T2","-1.003","110.8","1.627","1.514","45.83","2.78","27.25","21.00","29.00","26.00","33.00","100.00","100.00",".00","66.67",".00","-",".00",".00","44.44","80.56","30.00",".00","25.00","28.57","36' 1""","2' 3""","96' 9""","44.07"
"11/23/2018","(*) Tiger vs. Phil","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","T17",".963","65.6","1.646","1.514","47.22","1.39","27.25","25.00","29.00","29.00","26.00","100.00","100.00","66.67","83.33",".00","33.33","50.00","100.00","58.82","87.50","30.00","14.29","66.67","11.76","46' 10""","1' 10""","86' 9""","41.67"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","30","-1.308","39.4","1.878","1.694","27.78","2.78","30.50","29.00","32.00","30.00","31.00","100.00","100.00","100.00","75.00",".00","25.00","50.00",".00","63.16","84.21","20.00","15.38","40.00",".00","23' 7""","2' 5""","65' 10""","19.51"
"9/9/2018","BMW Championship","T58","-1.328","108.0","1.740","1.653","41.67","5.56","29.75","31.00","32.00","29.00","27.00","100.00","81.25","66.67","66.67","33.33","60.00","50.00","25.00","57.14","82.50","27.27","37.50",".00",".00","19' 8""","2' 4""","68' 3""","32.00"
"9/3/2018","Dell Technologies Champ","T12","1.143","38.6","1.556","1.444","50.00",".00","26.00","29.00","27.00","26.00","22.00","100.00","100.00","100.00","60.00","100.00","50.00","40.00","50.00","73.68","86.11","57.14","16.67",".00","20.00","52' 8""","2' 4""","95' 1""","46.67"
"8/26/2018","THE NORTHERN TRUST","T15",".390","80.7","1.704","1.597","41.67","4.17","28.75","27.00","29.00","28.00","31.00","100.00","100.00","100.00","25.00","50.00","75.00","25.00",".00","53.85","78.67","46.15","100.00","25.00","10.00","29' 1""","2' 1""","88' 5""","35.19"
"8/12/2018","PGA Championship","CUT","-1.608","-","1.833","1.722","27.78","5.56","31.00","31.00","31.00","-","-","100.00","71.43","-","50.00",".00",".00","-","100.00","25.00","86.49","10.00","25.00","33.33",".00","23' 8""","2' 0""","61' 4""","20.83"
"8/5/2018","WGC-Bridgestone Invit'l","T24","-.123","70.9","1.792","1.583","38.89","2.78","28.50","26.00","30.00","29.00","29.00","100.00","90.91","100.00","85.71","33.33","80.00","66.67","20.00","78.95","87.01","28.57",".00","16.67",".00","20' 4""","2' 6""","63' 4""","25.00"
"7/22/2018","The Open Championship","T24","-","-","1.774","1.667","36.11","2.78","30.00","34.00","27.00","31.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","28.30"
"7/8/2018","The Greenbrier","T65","1.095","55.8","1.681","1.583","44.44","2.78","28.50","27.00","26.00","31.00","30.00","97.14","87.50","100.00","75.00","100.00","50.00","50.00","71.43","82.35","86.30","30.77","42.86",".00","11.76","37' 7""","2' 9""","101' 9""","34.04"
"6/17/2018","U.S. Open","T48","-.637","52.8","1.822","1.833","25.00","4.17","33.00","33.00","32.00","38.00","29.00","100.00","100.00","90.91","57.14","66.67",".00","50.00","25.00","66.67","83.12","36.36","15.38","25.00",".00","23' 0""","3' 1""","83' 11""","22.22"
"6/10/2018","FedEx St. Jude Classic","T12",".429","45.2","1.698","1.514","40.28",".00","27.25","25.00","28.00","31.00","25.00","100.00","100.00","80.00","100.00","66.67","50.00","66.67","-","75.00","91.43","55.56",".00",".00",".00","12' 3""","2' 1""","63' 0""","32.56"
"6/3/2018","the Memorial Tournament","T13",".674","66.9","1.600","1.514","48.61","2.78","27.25","29.00","26.00","29.00","25.00","97.30","100.00","75.00","66.67","66.67","50.00","50.00","50.00","66.67","85.14","40.00","20.00","40.00",".00","23' 9""","2' 2""","85' 3""","48.00"
"5/13/2018","THE PLAYERS Championship","CUT","1.137","-","1.684","1.583","38.89","2.78","28.50","30.00","27.00","-","-","100.00","75.00",".00","100.00","66.67","-","100.00","100.00","77.78","91.67",".00",".00","20.00","9.09","32' 0""","2' 4""","83' 2""","42.11"
"5/6/2018","Wells Fargo Championship","T5","1.210","47.8","1.638","1.528","50.00","2.78","27.50","28.00","31.00","25.00","26.00","97.56","87.50","100.00","71.43","100.00","50.00","66.67","33.33","81.25","88.73","54.55","25.00","20.00","5.26","29' 9""","3' 0""","82' 9""","40.43"
"4/8/2018","Masters Tournament","T36","-","-","1.767","1.556","40.28","4.17","28.00","28.00","29.00","28.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.56"
"4/1/2018","Houston Open","T24","1.666","62.3","1.691","1.528","43.06","1.39","27.50","28.00","25.00","27.00","30.00","100.00","100.00","85.71","75.00","100.00","100.00","50.00","33.33","87.50","89.39","55.56","28.57",".00","12.50","34' 3""","2' 7""","96' 10""","34.55"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","1","1.850","17.3","1.660","1.514","50.00","1.39","27.25","30.00","26.00","24.00","29.00","100.00","100.00","100.00","85.71","100.00","80.00",".00",".00","88.24","94.20","50.00","20.00",".00","6.25","26' 11""","2' 6""","76' 2""","44.00"
"2/18/2018","Genesis Open","T6",".028","100.6","1.721","1.500","44.44","2.78","27.00","27.00","30.00","27.00","24.00","100.00","100.00","75.00","40.00","40.00",".00","100.00","25.00","43.75","84.00","25.00","37.50",".00","7.14","35' 4""","1' 10""","66' 0""","34.88"
"2/11/2018","AT&T Pebble Beach","T2",".999","62.1","1.706","1.542","48.61","2.78","27.75","28.00","27.00","31.00","25.00","100.00","80.00","100.00","50.00","100.00","66.67",".00","100.00","75.00","88.89","50.00","33.33",".00","10.00","28' 1""","2' 6""","79' 4""","37.25"
"2/4/2018","Waste Management Phoenix","T5","1.699","39.4","1.729","1.528","48.61","1.39","27.50","30.00","25.00","26.00","29.00","100.00","100.00","100.00","100.00","66.67","80.00","100.00","40.00","85.71","91.55","41.67",".00","25.00","5.00","30' 4""","2' 7""","84' 0""","39.58"
"1/28/2018","Farmers Insurance Open","T45","1.176","72.3","1.683","1.528","48.61","4.17","27.50","28.00","23.00","30.00","29.00","100.00","83.33","71.43","77.78","66.67",".00",".00",".00","70.00","83.64","50.00","60.00",".00","15.38","55' 6""","3' 3""","101' 8""","36.59"
