"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"10/28/2018","WGC-HSBC Champions","T14","-","50.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T3","-","84.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","81.94","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T41","-.856","73.61","44.44",".00","50.00","33' 10""","34' 3""","30' 5""","37' 6""","32' 10""","-","74' 3""","103' 2""","37' 11""","20' 5""","27' 1""","18' 11""","21' 4""","21' 8""","23' 3""","37' 2""","55' 10""","-","-","-","48' 9""","36' 11""","19' 5""","48' 9""","21' 3""","50' 6""","31' 11""","26' 3""","30' 10""","19' 5""","-","-","-"
"9/3/2018","Dell Technologies Champ","T7","1.422","80.56","68.75","36.36","63.64","32' 5""","35' 4""","54' 11""","30' 6""","31' 10""","165' 11""","65' 11""","45' 11""","31' 7""","28' 3""","33' 7""","18' 3""","21' 5""","21' 6""","29' 4""","30' 0""","45' 9""","-","-","-","-","35' 4""","-","-","26' 10""","62' 0""","30' 7""","-","-","-","-","1","12"
"8/26/2018","THE NORTHERN TRUST","T60",".230","69.44","31.25",".00","40.00","33' 4""","45' 8""","42' 11""","49' 10""","27' 2""","80' 10""","-","21' 11""","39' 10""","44' 3""","9' 8""","-","14' 0""","19' 2""","30' 2""","21' 8""","43' 8""","-","-","-","73' 4""","51' 11""","28' 6""","73' 4""","63' 0""","24' 0""","-","28' 2""","16' 7""","27' 6""","34' 3""","-","-"
"8/19/2018","Wyndham Championship","T11",".259","77.78","100.00","62.50","75.00","29' 0""","43' 6""","35' 5""","48' 4""","24' 9""","-","-","33' 10""","38' 10""","-","23' 0""","15' 3""","16' 9""","31' 4""","22' 5""","21' 4""","37' 10""","-","-","68' 2""","96' 2""","43' 6""","-","82' 2""","67' 11""","45' 1""","29' 1""","12' 5""","12' 5""","-","-","-","-"
"8/12/2018","PGA Championship","T10",".263","62.50","50.00","40.00","80.00","39' 0""","66' 11""","50' 3""","80' 9""","31' 5""","83' 6""","-","55' 10""","49' 11""","22' 10""","12' 2""","11' 2""","13' 9""","12' 3""","19' 3""","41' 4""","53' 6""","81' 8""","123' 8""","-","110' 6""","75' 6""","28' 1""","105' 3""","65' 6""","76' 5""","-","23' 7""","14' 7""","-","28' 1""","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T17",".646","72.22","50.00","50.00","75.00","28' 2""","44' 1""","31' 8""","56' 7""","24' 0""","-","-","29' 3""","38' 6""","16' 8""","32' 5""","16' 6""","20' 2""","19' 1""","17' 9""","30' 8""","35' 5""","-","-","-","99' 5""","44' 1""","-","99' 5""","47' 11""","33' 0""","21' 9""","41' 4""","41' 4""","-","-","1","15"
"7/22/2018","The Open Championship","74","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T36","-.233","55.56","33.33","66.67","33.33","46' 10""","78' 0""","82' 10""","68' 5""","44' 6""","-","65' 4""","73' 1""","87' 1""","53' 5""","37' 10""","20' 3""","28' 9""","36' 10""","39' 10""","39' 6""","76' 1""","-","-","-","97' 3""","82' 6""","55' 6""","97' 3""","66' 5""","-","91' 3""","-","-","-","-","1","27"
"5/13/2018","THE PLAYERS Championship","T17",".510","70.83","95.00","21.05","63.16","42' 6""","66' 9""","63' 11""","69' 8""","30' 10""","-","49' 7""","59' 9""","26' 4""","-","-","26' 2""","26' 2""","18' 11""","20' 8""","30' 2""","50' 5""","-","102' 2""","58' 9""","111' 2""","67' 8""","58' 11""","88' 4""","-","32' 10""","50' 8""","58' 11""","-","-","58' 11""","-","-"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T38","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/1/2018","Houston Open","CUT","-1.236","66.67","25.00","50.00","50.00","34' 0""","55' 2""","51' 7""","69' 4""","29' 11""","-","119' 9""","60' 2""","38' 6""","33' 2""","14' 3""","13' 11""","17' 11""","19' 6""","28' 11""","25' 10""","53' 2""","-","-","-","85' 0""","55' 2""","-","85' 0""","48' 5""","-","-","28' 9""","28' 9""","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T3",".746","69.44","39.13","22.22","77.78","32' 8""","43' 8""","49' 1""","39' 7""","27' 4""","-","61' 0""","30' 7""","42' 9""","30' 9""","23' 3""","29' 8""","27' 0""","18' 3""","20' 4""","25' 6""","41' 10""","75' 6""","132' 0""","-","25' 1""","43' 9""","43' 1""","77' 6""","33' 7""","39' 2""","25' 11""","35' 0""","10' 8""","39' 0""","45' 2""","1","10"
"2/25/2018","The Honda Classic","T29","1.868","69.44","37.50","33.33","33.33","33' 4""","47' 8""","52' 0""","44' 1""","29' 4""","-","88' 1""","35' 10""","4' 10""","13' 11""","10' 4""","19' 6""","17' 4""","28' 6""","32' 3""","30' 0""","41' 11""","-","-","-","47' 9""","47' 4""","50' 11""","47' 9""","45' 10""","51' 9""","42' 3""","42' 6""","42' 6""","-","-","-","-"
"2/18/2018","Genesis Open","T26",".668","59.72","68.75","9.09","63.64","35' 11""","32' 6""","28' 7""","35' 4""","34' 1""","110' 5""","67' 6""","29' 4""","31' 11""","5' 3""","6' 9""","39' 10""","20' 6""","25' 3""","23' 2""","39' 10""","51' 6""","-","-","22' 11""","49' 5""","33' 10""","18' 3""","40' 7""","35' 4""","-","28' 1""","22' 9""","22' 9""","-","-","1","18"
"2/11/2018","AT&T Pebble Beach","T26","1.880","68.06","75.00","50.00","50.00","32' 4""","41' 7""","52' 6""","30' 8""","30' 5""","-","64' 9""","12' 8""","53' 3""","-","24' 11""","13' 2""","14' 4""","-","14' 9""","36' 8""","52' 6""","-","53' 0""","-","-","48' 4""","7' 10""","53' 0""","103' 11""","-","31' 3""","20' 6""","26' 10""","-","7' 10""","-","-"
"10/29/2017","WGC-HSBC Champions","T5","-","70.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","84.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T10","-","80.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T33",".175","68.06","52.17","8.33","50.00","35' 9""","28' 2""","39' 1""","23' 6""","30' 10""","83' 11""","68' 9""","42' 7""","37' 6""","23' 10""","14' 11""","21' 6""","18' 11""","17' 0""","27' 6""","38' 0""","50' 0""","-","-","-","33' 7""","31' 2""","1' 8""","33' 7""","40' 8""","37' 5""","35' 5""","6' 5""","8' 10""","1' 8""","-","-","-"
"9/4/2017","Dell Technologies Champ","T18",".074","61.11","43.75","42.86","71.43","34' 8""","37' 2""","30' 2""","41' 4""","31' 9""","85' 4""","-","24' 9""","38' 2""","9' 11""","6' 10""","33' 8""","26' 2""","20' 2""","31' 7""","36' 5""","39' 6""","-","-","-","46' 2""","40' 2""","28' 1""","46' 2""","50' 7""","31' 3""","-","28' 1""","-","-","28' 1""","2","7"
"8/27/2017","THE NORTHERN TRUST","CUT","-1.655","63.89",".00","-","-","38' 8""","47' 0""","36' 8""","83' 3""","28' 6""","-","-","24' 9""","33' 7""","4' 8""","13' 2""","42' 1""","25' 6""","16' 7""","34' 4""","28' 9""","31' 10""","-","-","-","44' 2""","47' 0""","-","44' 2""","-","32' 7""","84' 2""","34' 4""","34' 4""","-","-","1","5"
"8/13/2017","PGA Championship","CUT",".122","52.78","44.44",".00","50.00","44' 11""","77' 5""","66' 8""","98' 10""","38' 1""","-","63' 10""","56' 0""","40' 1""","10' 2""","15' 6""","26' 0""","17' 7""","21' 10""","38' 3""","29' 1""","53' 4""","-","-","-","88' 5""","77' 5""","-","88' 5""","-","55' 5""","-","-","-","-","-","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","72","-1.850","47.22","37.50","33.33","66.67","41' 2""","46' 3""","55' 9""","30' 11""","36' 0""","-","80' 2""","85' 1""","36' 5""","18' 10""","8' 1""","35' 8""","14' 5""","21' 10""","36' 5""","41' 10""","53' 8""","-","-","-","-","47' 4""","25' 9""","-","58' 8""","43' 5""","57' 11""","39' 9""","41' 9""","-","25' 9""","-","-"
"7/23/2017","The Open Championship","T4","-","66.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
