"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"10/28/2018","WGC-HSBC Champions","T14","-","37.50","-","58.33","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T3","-","42.86","-","63.64","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","33.33","-","38.46","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T41","-.907","66.67","11' 11""","63.16","100.00","57.14","50.00","75.00","37.50","100.00"
"9/3/2018","Dell Technologies Champ","T7","-.020","66.67","5' 2""","50.00","-","66.67","50.00","66.67","42.86","50.00"
"8/26/2018","THE NORTHERN TRUST","T60","-.603","77.78","9' 8""","63.64","100.00","50.00","33.33","75.00","50.00","85.71"
"8/19/2018","Wyndham Championship","T11","-.180","100.00","3' 8""","50.00","100.00","33.33","33.33","100.00","25.00","100.00"
"8/12/2018","PGA Championship","T10",".814","90.00","6' 1""","70.37","100.00","62.50","16.67","75.00","91.67","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T17",".277","33.33","6' 6""","55.00","100.00","55.56","33.33","33.33","60.00","75.00"
"7/22/2018","The Open Championship","74","-","50.00","-","57.69","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T36","1.116","66.67","9' 0""","56.25","-",".00","27.27","55.56","83.33","-"
"5/13/2018","THE PLAYERS Championship","T17",".264","28.57","7' 1""","42.86","100.00","50.00",".00","37.50","57.14","100.00"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T38","-","44.44","-","44.00","-","-","-","-","-","-"
"4/1/2018","Houston Open","CUT","-.175","40.00","11' 3""","58.33","-","50.00",".00","50.00","57.14","100.00"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T3",".119","66.67","4' 7""","68.18","100.00","66.67","33.33","50.00","60.00","100.00"
"2/25/2018","The Honda Classic","T29","-.194","60.00","9' 3""","54.55","50.00","75.00",".00","66.67","70.00","100.00"
"2/18/2018","Genesis Open","T26","-.092","50.00","12' 7""","55.17","75.00","40.00","50.00","85.71","50.00","40.00"
"2/11/2018","AT&T Pebble Beach","T26","1.286","16.67","6' 9""","65.22","100.00","70.00","100.00","66.67","50.00","100.00"
"10/29/2017","WGC-HSBC Champions","T5","-","57.14","-","61.90","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","57.14","-","72.73","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T10","-","60.00","-","57.14","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T33","-.035","75.00","6' 1""","73.91","100.00","64.29",".00","50.00","70.00","90.00"
"9/4/2017","Dell Technologies Champ","T18",".680","80.00","6' 2""","78.57","100.00","100.00",".00","60.00","76.92","100.00"
"8/27/2017","THE NORTHERN TRUST","CUT",".148","66.67","8' 5""","46.15","-",".00","25.00","33.33","100.00","50.00"
"8/13/2017","PGA Championship","CUT","-.026","50.00","11' 4""","47.06","-","42.86","40.00","20.00","66.67","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","72","-1.244","41.67","14' 2""","47.37","100.00","42.86","9.09","66.67","61.11","66.67"
"7/23/2017","The Open Championship","T4","-","57.14","-","66.67","-","-","-","-","-","-"
"6/18/2017","U.S. Open","T42",".562","66.67","9' 3""","46.15","50.00",".00","57.14","40.00","50.00",".00"
"6/11/2017","FedEx St. Jude Classic","T4",".071","100.00","7' 10""","65.52","75.00","63.64","20.00","50.00","76.92","87.50"
"6/4/2017","the Memorial Tournament","CUT",".442","27.27","7' 9""","57.14","-","83.33",".00","100.00","50.00","71.43"
"5/14/2017","THE PLAYERS Championship","T4",".208","45.45","18' 5""","67.86","100.00","60.00","44.44","100.00","75.00","100.00"
"5/7/2017","Wells Fargo Championship","T24",".090","80.00","6' 4""","72.00","100.00","66.67","25.00","60.00","91.67","100.00"
"4/16/2017","RBC Heritage","CUT","-.290","50.00","7' 4""","58.82","100.00","28.57","33.33","66.67","55.56","100.00"
"4/9/2017","Masters Tournament","CUT","-","50.00","-","55.56","-","-","-","-","-","-"
"4/2/2017","Shell Houston Open","CUT","-1.084","66.67","6' 11""","33.33","100.00",".00","25.00","100.00","25.00","-"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","T38",".716","75.00","3' 8""","64.52","100.00","64.29",".00","71.43","70.00","88.89"
"2/26/2017","The Honda Classic","T37",".137","37.50","8' 6""","56.00","100.00","83.33","50.00","50.00","61.54","100.00"
"11/27/2016","(*) ISPS HANDA World Cup","T8","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T19","-","66.67","-","47.06","-","-","-","-","-","-"
"10/23/2016","CIMB Classic","T10","-","33.33","-","72.73","-","-","-","-","-","-"
"10/2/2016","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"8/21/2016","Wyndham Championship","T5",".470","100.00","1' 7""","60.00","66.67","50.00","50.00","100.00","66.67","100.00"
"8/14/2016","(*) Olympic Men's Golf","T5","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","T49","-.419","44.44","9' 5""","50.00","66.67","33.33","20.00","50.00","66.67","50.00"
"7/17/2016","The Open Championship","T39","-","37.50","-","44.00","-","-","-","-","-","-"
"6/19/2016","U.S. Open","T32","-","80.00","-","57.14","-","-","-","-","-","-"
"6/5/2016","the Memorial Tournament","T52",".072","40.00","5' 9""","52.00","100.00","66.67","50.00","33.33","42.86","100.00"
"5/15/2016","THE PLAYERS Championship","CUT","-.622","75.00","12' 8""","66.67","-","100.00","-","50.00","50.00","100.00"
"4/10/2016","Masters Tournament","T17","-","42.86","-","62.96","-","-","-","-","-","-"
"4/3/2016","Shell Houston Open","4","1.030","75.00","6' 0""","81.25","100.00","100.00","100.00","60.00","85.71","-"
"3/27/2016","WGC-Dell Match Play","3","-","-","-","-","-","-","-","-","-","-"
"3/6/2016","WGC-Cadillac Championship","T11","-.239","60.00","8' 4""","57.69","100.00","54.55",".00","60.00","69.23","100.00"
"8/16/2015","PGA Championship","CUT",".132","100.00","8' 3""","33.33","100.00",".00",".00","33.33","50.00","100.00"
"7/19/2015","The Open Championship","T40","-","75.00","-","25.00","-","-","-","-","-","-"
"3/15/2015","Valspar Championship","T44",".637","33.33","6' 7""","66.67","100.00","73.33","33.33","60.00","66.67","85.71"
"3/8/2015","Puerto Rico Open","T10","-","83.33","-","80.00","85.71","50.00","-","-","-","-"
"8/17/2014","Wyndham Championship","CUT","1.538",".00","14' 0""","70.00","75.00","100.00","33.33","-","83.33","100.00"
"8/10/2014","PGA Championship","73","-.746","85.71","10' 8""","61.29","100.00","69.23","10.00","100.00","72.73","100.00"
"7/20/2014","The Open Championship","CUT","-",".00","-","57.14","-","-","-","-","-","-"
"3/9/2014","Puerto Rico Open","T24","-","100.00","-","63.64","100.00","16.67","-","-","-","-"
"2/9/2014","AT&T Pebble Beach","T64","-1.793","33.33","4' 10""","81.25","100.00","60.00","-","100.00",".00","100.00"
"11/24/2013","(*) World Cup of Golf","53","-","-","-","-","-","-","-","-","-","-"
"8/11/2013","PGA Championship","T29","-","66.67","-","55.56","-","-","-","-","-","-"
"7/21/2013","The Open Championship","T21","-","50.00","-","48.48","-","-","-","-","-","-"
"3/10/2013","WGC-Cadillac Championship","T63","-.217","25.00","16' 5""","45.16","100.00","30.77","14.29","40.00","54.55","100.00"
"2/24/2013","WGC-Accenture Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"2/10/2013","AT&T Pebble Beach","CUT",".676","50.00","3' 2""","47.83","66.67","71.43",".00","25.00","75.00","100.00"
"12/3/2012","(*) PGA TOUR Qualifying Tourn","W/D","-","-","-","-","-","-","-","-","-","-"
"11/4/2012","(*) WGC-HSBC Champions","T46","-","-","-","-","-","-","-","-","-","-"
"8/12/2012","PGA Championship","CUT","-","-","-","35.00","-","-","-","-","-","-"
"8/5/2012","WGC-Bridgestone Invit'l","T29","-1.228","14.29","23' 3""","55.17","100.00","25.00","33.33","57.14","58.33","75.00"
"7/22/2012","The Open Championship","T81","-",".00","-","41.38","-","-","-","-","-","-"
"6/17/2012","U.S. Open","CUT","-","14.29","-","45.00","-","-","-","-","-","-"
"3/11/2012","WGC-Cadillac Championship","65","-.350","44.44","9' 3""","63.89","90.00","64.29","20.00","40.00","53.85","100.00"
"2/26/2012","WGC-Accenture Match Play","T33","-","-","-","-","-","-","-","-","-","-"
"6/20/2010","U.S. Open Championship","T47","-","33.33","-","50.00","-","-","-","-","-","-"
