"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"10/28/2018","WGC-HSBC Champions","T14","-","-","-","-","316","55.36","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T3","-","-","-","-","-","76.79","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T50","-","-","-","-","-","51.79","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T41","-2.117","-.354","284.6","283.9","327","75.00","20' 7""","10.71","10.71","73","110.51","81"
"9/3/2018","Dell Technologies Champ","T7","1.884",".482","302.4","290.8","339","73.21","22' 2""","5.36","8.93","49","112.28","77"
"8/26/2018","THE NORTHERN TRUST","T60","-.517","-.145","275.8","279.8","310","69.64","31' 0""","14.29","16.07","82","111.16","58"
"8/19/2018","Wyndham Championship","T11",".890",".810","313.6","292.2","343","67.86","25' 8""","12.50","19.64","45","112.81","78"
"8/12/2018","PGA Championship","T10","1.620",".543","297.3","288.4","330","71.43","20' 0""","8.93","8.93","73","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T17","1.731",".807","321.1","306.4","375","58.93","19' 3""","16.36","18.18","43","112.27","26"
"7/22/2018","The Open Championship","74","-","-","306.0","-","367","60.00","-","-","-","61","-","-"
"6/17/2018","U.S. Open","T36",".827","-.056","299.6","294.3","357","73.21","-","8.93","7.14","74","-","-"
"5/13/2018","THE PLAYERS Championship","T17","1.533",".758","293.9","284.6","331","66.07","25' 0""","10.91","9.09","57","111.92","42"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T38","-","-","289.5","-","318","69.64","-","-","-","49","-","-"
"4/1/2018","Houston Open","CUT","-.873",".538","279.8","271.6","297","67.86","24' 7""","21.43","7.14","1,998","111.77","1,998"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-"
"3/4/2018","WGC-Mexico Championship","T3",".588","-.277","301.9","290.9","373","58.93","26' 10""","16.07","19.64","67","112.51","67"
"2/25/2018","The Honda Classic","T29","1.429","-.245","292.9","271.4","342","64.29","30' 11""","7.14","14.29","77","112.68","65"
"2/18/2018","Genesis Open","T26","1.038",".463","269.5","285.3","318","62.50","29' 2""","12.50","14.29","89","112.10","136"
"2/11/2018","AT&T Pebble Beach","T26","3.199",".034","291.1","270.3","327","63.64","28' 3""","17.86","7.14","103","113.72","42"
"10/29/2017","WGC-HSBC Champions","T5","-","-","-","-","313","66.07","-","-","-","-","-","-"
"10/22/2017","THE CJ CUP @ NINE BRIDGES","T11","-","-","-","-","-","80.36","-","-","-","-","-","-"
"10/15/2017","CIMB Classic","T10","-","-","-","-","-","73.21","-","-","-","-","-","-"
"9/17/2017","BMW Championship","T33",".463",".324","303.8","287.9","326","62.50","21' 10""","12.50","14.29","63","111.61","33"
