"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"10/28/2018","WGC-HSBC Champions","T14","-","-","1.611","1.472","52.78","2.78","26.50","26.00","25.00","30.00","25.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","50.00"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T3","-","-","1.787","1.722","37.50","8.33","31.00","33.00","31.00","28.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","39.34"
"10/14/2018","CIMB Classic","T50","-","-","1.780","1.722","29.17","4.17","31.00","32.00","31.00","33.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.20"
"9/9/2018","BMW Championship","T41","1.501","33.2","1.736","1.583","41.67",".00","28.50","28.00","31.00","29.00","26.00","100.00","100.00","100.00","100.00","100.00","100.00","-","25.00","100.00","91.04","62.50","60.00","8.33","9.09","42' 11""","2' 2""","91' 9""","26.42"
"9/3/2018","Dell Technologies Champ","T7","-.037","111.1","1.759","1.667","36.11","5.56","30.00","31.00","28.00","31.00","30.00","100.00","85.71","62.50","75.00","50.00","100.00",".00","100.00","64.71","86.11","33.33",".00","33.33","9.52","50' 0""","2' 7""","98' 3""","36.21"
"8/26/2018","THE NORTHERN TRUST","T60",".160","93.6","1.800","1.639","40.28","4.17","29.50","31.00","29.00","32.00","26.00","100.00","100.00","66.67","75.00","100.00","66.67","50.00","50.00","75.00","90.28","71.43","10.00","10.00",".00","20' 7""","2' 6""","73' 10""","26.00"
"8/19/2018","Wyndham Championship","T11","1.010","73.8","1.696","1.653","37.50","2.78","29.75","31.00","32.00","28.00","28.00","100.00","100.00","100.00",".00","33.33","50.00","33.33","33.33","60.00","83.33","69.23","20.00","20.00",".00","23' 3""","2' 7""","87' 1""","41.07"
"8/12/2018","PGA Championship","T10",".582","47.4","1.667","1.486","51.39",".00","26.75","30.00","27.00","26.00","24.00","100.00","100.00","100.00","100.00","90.00","60.00","33.33",".00","85.71","91.89","25.00","12.50",".00",".00","18' 11""","2' 2""","65' 5""","35.56"
"8/5/2018","WGC-Bridgestone Invit'l","T17","-.575","69.7","1.769","1.653","31.94",".00","29.75","27.00","30.00","30.00","32.00","97.92","90.00","100.00","80.00","50.00","50.00",".00","25.00","75.00","88.00","9.09","11.11","33.33","5.56","37' 5""","2' 1""","68' 8""","25.00"
"7/22/2018","The Open Championship","74","-","-","1.978","1.722","33.33","5.56","31.00","32.00","31.00","30.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","19.57"
"6/17/2018","U.S. Open","T36",".317","80.9","1.975","1.722","33.33","8.33","31.00","31.00","26.00","30.00","37.00","96.88","93.75","100.00","25.00","50.00","66.67","75.00","50.00","68.42","84.42","28.57","11.11","16.67",".00","20' 2""","3' 4""","79' 2""","17.50"
"5/13/2018","THE PLAYERS Championship","T17",".243","67.8","1.627","1.583","44.44","2.78","28.50","29.00","28.00","27.00","30.00","100.00","66.67","88.89","66.67","100.00","50.00","100.00","66.67","81.25","90.28","25.00","33.33","20.00",".00","23' 7""","3' 2""","76' 3""","47.06"
"4/29/2018","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T38","-","-","1.723","1.681","40.28","8.33","30.25","28.00","32.00","29.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.17"
