"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"12/2/2018","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T16","-","79.17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","T4",".923","72.22","87.50","50.00","62.50","35' 0""","37' 10""","32' 4""","40' 8""","27' 11""","64' 6""","12' 8""","28' 5""","43' 11""","16' 10""","12' 4""","20' 3""","18' 3""","30' 7""","21' 3""","32' 6""","40' 2""","-","57' 3""","47' 9""","38' 3""","41' 3""","15' 10""","45' 4""","37' 2""","64' 10""","29' 0""","22' 3""","35' 2""","3' 10""","27' 10""","1","20"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".368","66.67","100.00","25.00","62.50","34' 3""","54' 6""","65' 3""","42' 7""","26' 11""","-","-","46' 3""","32' 4""","-","27' 9""","12' 10""","14' 9""","14' 2""","29' 6""","27' 11""","38' 6""","-","-","105' 3""","115' 1""","59' 8""","10' 2""","108' 6""","74' 2""","47' 9""","32' 3""","42' 1""","47' 7""","20' 3""","-","1","12"
"9/9/2018","BMW Championship","T8","-.139","76.39","77.78","42.86","71.43","36' 1""","56' 9""","32' 4""","81' 1""","32' 4""","129' 5""","71' 2""","50' 11""","40' 7""","24' 6""","13' 5""","24' 9""","20' 5""","15' 8""","23' 5""","30' 2""","52' 9""","-","121' 9""","-","107' 10""","61' 8""","2' 7""","114' 10""","-","71' 2""","45' 2""","39' 10""","49' 2""","2' 7""","-","-","-"
"8/12/2018","PGA Championship","T12",".857","76.39","30.00",".00","100.00","31' 3""","49' 9""","46' 5""","53' 2""","26' 11""","113' 4""","-","52' 1""","27' 5""","30' 4""","16' 2""","12' 11""","17' 0""","16' 2""","25' 6""","25' 9""","46' 4""","-","-","50' 5""","13' 7""","49' 9""","-","38' 2""","44' 6""","52' 0""","75' 11""","-","-","-","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T17","1.057","69.44","37.50","66.67","66.67","26' 8""","32' 5""","20' 6""","45' 8""","24' 10""","-","-","49' 9""","25' 11""","-","3' 10""","47' 7""","30' 1""","20' 11""","24' 8""","18' 6""","32' 5""","-","-","13' 0""","-","32' 3""","35' 7""","13' 0""","38' 6""","22' 5""","38' 5""","35' 8""","35' 9""","-","35' 7""","-","-"
"7/22/2018","The Open Championship","T28","-","58.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7/1/2018","Quicken Loans National","12",".901","70.83","58.33","28.57","85.71","32' 7""","38' 2""","27' 2""","48' 0""","25' 1""","14' 5""","70' 6""","36' 7""","28' 2""","-","18' 3""","27' 8""","24' 10""","19' 1""","22' 3""","23' 8""","31' 11""","-","-","-","43' 7""","35' 6""","50' 9""","43' 7""","55' 7""","27' 8""","27' 6""","40' 8""","10' 2""","55' 1""","42' 2""","-","-"
