"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"12/2/2018","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T16","-","-","-","60.00","-","61.54","-","-","-","-"
"11/4/2018","Shriners Hospitals","T4","-.094","14.29","12' 11""","65.00","-","50.00","33.33","66.67","75.00","50.00"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".033","57.14","5' 5""","54.17","-","46.15","25.00",".00","70.00","100.00"
"9/9/2018","BMW Championship","T8",".479","83.33","5' 8""","76.47",".00","83.33",".00","66.67","100.00","100.00"
"8/12/2018","PGA Championship","T12",".696","77.78","9' 6""","70.59","100.00","33.33","33.33","66.67","75.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T17","-.628","66.67","11' 2""","59.09","100.00","57.14",".00","50.00","75.00","66.67"
"7/22/2018","The Open Championship","T28","-","50.00","-","56.67","-","-","-","-","-","-"
"7/1/2018","Quicken Loans National","12","-.020","50.00","12' 8""","66.67","100.00","50.00","50.00","75.00","42.86","100.00"
"6/17/2018","U.S. Open","T20",".038","50.00","7' 8""","46.15","-","33.33","12.50","55.56","66.67","66.67"
"6/3/2018","the Memorial Tournament","T8",".682","66.67","6' 8""","50.00","100.00","40.00","20.00","100.00","42.86","83.33"
"5/27/2018","Fort Worth Invitational","T14",".039","70.00","12' 7""","66.67","-","63.64",".00","60.00","76.92","83.33"
"5/13/2018","THE PLAYERS Championship","CUT","2.032","50.00","9' 4""","50.00","-","60.00","25.00","50.00","75.00","100.00"
"5/6/2018","Wells Fargo Championship","T21",".878","77.78","4' 10""","77.27","100.00","77.78","75.00","100.00","80.00","100.00"
"4/8/2018","Masters Tournament","2","-","50.00","-","76.19","-","-","-","-","-","-"
"4/1/2018","Houston Open","T43",".031","40.00","11' 1""","57.14","75.00","33.33","33.33","100.00","60.00","80.00"
"3/18/2018","Arnold Palmer Invt'l","T14","-.510","37.50","9' 9""","69.57","100.00","100.00","50.00","66.67","62.50","100.00"
"3/4/2018","WGC-Mexico Championship","T37","-.480",".00","5' 11""","50.00","100.00","54.55","-","50.00","28.57","100.00"
"2/25/2018","The Honda Classic","CUT","-.082","80.00","4' 5""","53.33","-","33.33",".00","40.00","71.43","100.00"
"2/4/2018","Waste Management Phoenix","T11",".272","55.56","11' 10""","65.22","100.00","50.00","40.00","33.33","57.14","100.00"
"1/28/2018","Farmers Insurance Open","CUT","1.234","60.00","4' 9""","64.29","-","50.00","50.00","-","80.00","100.00"
"1/7/2018","Sentry T of C","T4",".904","60.00","8' 3""","73.33","-","83.33","50.00","66.67","83.33","100.00"
"12/3/2017","(*) Hero World Challenge","1","-","-","-","-","-","-","-","-","-","-"
"11/12/2017","OHL Classic at Mayakoba","2","-","100.00","-","80.00","-","75.00","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T26","-.420","70.00","12' 0""","50.00","100.00","33.33","22.22","71.43","55.56","66.67"
"9/17/2017","BMW Championship","T2","1.011","66.67","11' 11""","85.71","100.00","84.62","100.00","66.67","87.50","100.00"
"9/4/2017","Dell Technologies Champ","T13",".052","66.67","6' 6""","65.00","100.00","44.44","100.00","50.00","72.73","50.00"
"8/27/2017","THE NORTHERN TRUST","T20",".003","50.00","8' 1""","39.13","-","40.00","25.00","60.00","30.00","100.00"
"8/13/2017","PGA Championship","T5",".724","71.43","7' 2""","71.43","100.00","75.00","75.00","50.00","78.57","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","9",".546","66.67","4' 9""","68.00","100.00","78.57",".00","66.67","72.73","100.00"
"7/23/2017","The Open Championship","T22","-","62.50","-","63.33","-","-","-","-","-","-"
"7/2/2017","Quicken Loans National","T3","-.459","42.86","16' 7""","57.14","100.00","50.00","42.86",".00","66.67","100.00"
