"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"12/2/2018","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T16","-","-","283.3","-","314","60.71","-","-","-","103","-","-"
"11/4/2018","Shriners Hospitals","T4","1.435",".605","299.6","304.0","362","60.71","31' 5""","10.71","19.64","114","118.55","22"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".816",".414","300.4","298.5","347","64.29","26' 11""","14.29","17.86","22","114.39","6"
"9/9/2018","BMW Championship","T8",".367",".026","292.3","283.4","340","75.00","19' 1""","10.71","12.50","61","114.65","59"
"8/12/2018","PGA Championship","T12","2.181",".627","307.3","283.3","326","71.43","18' 0""","12.50","12.50","47","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T17",".215","-.213","327.3","298.5","388","55.36","27' 5""","22.64","16.98","39","-","-"
"7/22/2018","The Open Championship","T28","-","-","319.5","-","343","65.00","-","-","-","17","-","-"
"7/1/2018","Quicken Loans National","12","1.320",".439","313.9","294.0","359","51.79","24' 2""","18.18","20.00","70","117.55","41"
"6/17/2018","U.S. Open","T20","1.451","-.030","285.4","285.5","355","80.36","-","5.36","8.93","79","-","-"
"6/3/2018","the Memorial Tournament","T8","1.619",".531","297.9","287.4","342","75.00","35' 8""",".00","18.18","44","117.06","129"
"5/27/2018","Fort Worth Invitational","T14","-.278",".073","289.1","273.6","340","58.93","22' 11""","8.93","26.79","103","115.60","91"
"5/13/2018","THE PLAYERS Championship","CUT",".063","-2.058","290.8","288.4","339","39.29","35' 4""","3.57","17.86","1,998","115.73","1,998"
"5/6/2018","Wells Fargo Championship","T21","1.920","1.009","319.3","310.9","351","66.07","14' 9""","5.36","12.50","26","118.99","63"
"4/8/2018","Masters Tournament","2","-","-","290.6","-","311","71.43","-","-","-","41","-","-"
