"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"12/2/2018","(*) Hero World Challenge","T5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T16","-","-","1.684","1.625","40.28","2.78","29.25","29.00","28.00","32.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","38.60"
"11/4/2018","Shriners Hospitals","T4","1.040","55.1","1.692","1.569","40.28",".00","28.25","29.00","30.00","27.00","27.00","100.00","100.00","100.00","40.00","20.00","100.00","100.00","50.00","61.11","88.57","41.67",".00",".00","21.05","57' 3""","2' 0""","96' 11""","42.31"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".051","27.9","1.729","1.625","36.11","1.39","29.25","30.00","31.00","27.00","29.00","100.00","100.00","100.00","66.67","25.00","100.00","50.00","100.00","71.43","90.41","22.22","10.00","22.22",".00","23' 5""","2' 5""","72' 8""","33.33"
"9/9/2018","BMW Championship","T8","1.517","31.2","1.691","1.583","43.06","1.39","28.50","28.00","30.00","26.00","30.00","100.00","100.00","100.00","100.00","100.00","100.00","33.33","100.00","100.00","96.83","31.58","28.57","42.86",".00","24' 10""","1' 11""","86' 9""","36.36"
"8/12/2018","PGA Championship","T12","-.228","104.6","1.782","1.653","34.72","2.78","29.75","29.00","28.00","32.00","30.00","100.00","100.00","80.00","80.00","100.00","50.00","50.00",".00","76.92","91.43","42.86","8.33",".00",".00","17' 2""","2' 1""","60' 0""","25.45"
"8/5/2018","WGC-Bridgestone Invit'l","T17",".940","47.3","1.720","1.625","38.89","1.39","29.25","26.00","33.00","28.00","30.00","100.00","100.00","60.00","75.00","100.00","75.00",".00","50.00","73.33","89.71","50.00","28.57","11.11","6.25","28' 5""","2' 1""","85' 2""","32.00"
"7/22/2018","The Open Championship","T28","-","-","1.690","1.542","47.22","1.39","27.75","29.00","26.00","27.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.71"
"7/1/2018","Quicken Loans National","12",".557","41.3","1.745","1.625","37.50",".00","29.25","28.00","28.00","32.00","29.00","100.00","87.50","100.00","100.00","-","-","80.00","100.00","100.00","97.10","28.57","16.67",".00",".00","16' 3""","1' 10""","58' 0""","29.41"
"6/17/2018","U.S. Open","T20",".193","71.6","1.826","1.736","27.78","4.17","31.25","33.00","30.00","35.00","27.00","100.00","88.89","100.00","71.43","50.00","50.00","50.00","14.29","65.00","80.77","37.50","22.22",".00",".00","18' 2""","2' 8""","74' 10""","19.57"
"6/3/2018","the Memorial Tournament","T8",".496","52.5","1.673","1.556","41.67",".00","28.00","30.00","25.00","28.00","29.00","100.00","100.00","100.00","100.00",".00","33.33","50.00","50.00","64.29","90.00","36.36","23.08",".00","6.67","25' 6""","2' 1""","73' 6""","38.46"
"5/27/2018","Fort Worth Invitational","T14","1.657","18.3","1.733","1.542","43.06",".00","27.75","28.00","30.00","25.00","28.00","100.00","100.00","100.00",".00","66.67","100.00","100.00","100.00","72.73","95.24","50.00","27.27","22.22",".00","25' 0""","2' 2""","85' 6""","33.33"
"5/13/2018","THE PLAYERS Championship","CUT","-.919","-","1.708","1.639","33.33","2.78","29.50","29.00","30.00","-","-","100.00","100.00","100.00","-","50.00","-","100.00",".00","60.00","89.19","22.22",".00",".00",".00","12' 6""","2' 0""","50' 9""","29.17"
"5/6/2018","Wells Fargo Championship","T21","-.501","95.8","1.860","1.653","41.67","5.56","29.75","32.00","27.00","31.00","29.00","95.74","100.00","62.50","57.14","66.67","75.00","33.33",".00","63.64","82.50","22.22","25.00","16.67","6.25","76' 1""","2' 7""","87' 6""","22.00"
"4/8/2018","Masters Tournament","2","-","-","1.725","1.569","47.22","4.17","28.25","28.00","33.00","26.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","37.25"
"4/1/2018","Houston Open","T43",".731","80.6","1.647","1.569","44.44","1.39","28.25","26.00","29.00","29.00","29.00","100.00","90.00","71.43","100.00","66.67",".00","33.33",".00","64.29","85.71","41.67","22.22","20.00","23.53","38' 4""","2' 1""","98' 0""","39.22"
"3/18/2018","Arnold Palmer Invt'l","T14",".188","68.9","1.776","1.597","41.67","2.78","28.75","27.00","28.00","30.00","30.00","100.00","87.50","100.00","83.33",".00","50.00","100.00","66.67","68.42","89.19","33.33","25.00","9.09",".00","21' 9""","2' 7""","68' 1""","34.69"
"3/4/2018","WGC-Mexico Championship","T37","-1.488","90.8","1.875","1.778","26.39","4.17","32.00","33.00","32.00","31.00","32.00","98.04","88.89","83.33",".00","33.33","33.33","50.00","33.33","50.00","84.81","18.75","16.67",".00",".00","19' 9""","2' 2""","57' 11""","23.21"
"2/25/2018","The Honda Classic","CUT","-1.439","-","1.952","1.722","36.11","8.33","31.00","29.00","33.00","-","-","100.00","100.00","100.00","100.00",".00","100.00",".00","-","71.43","87.18","12.50","25.00",".00",".00","18' 4""","2' 10""","58' 8""","19.05"
"2/4/2018","Waste Management Phoenix","T11","1.168","49.2","1.714","1.583","40.28","1.39","28.50","26.00","28.00","30.00","30.00","100.00","100.00","100.00","75.00","66.67","50.00","71.43","66.67","72.73","91.43","30.00","14.29","14.29","10.00","43' 1""","2' 0""","85' 9""","36.73"
"1/28/2018","Farmers Insurance Open","CUT","-.555","-","1.864","1.611","36.11","2.78","29.00","30.00","28.00","-","-","100.00","100.00","-","33.33","-",".00",".00","100.00","25.00","81.82",".00",".00",".00",".00","10' 0""","1' 10""","56' 1""","22.73"
"1/7/2018","Sentry T of C","T4",".542","28.6","1.737","1.611","38.89","2.78","29.00","29.00","29.00","29.00","29.00","100.00","87.50","70.00",".00","66.67","66.67","80.00",".00","61.11","83.78","50.00","42.86","28.57",".00","21' 10""","2' 8""","75' 8""","31.58"
"12/3/2017","(*) Hero World Challenge","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/12/2017","OHL Classic at Mayakoba","2","-","-","1.596","1.458","54.17",".00","26.25","26.00","26.00","28.00","25.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","42.31"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/24/2017","TOUR Championship","T26",".359","25.8","1.725","1.583","41.67",".00","28.50","28.00","27.00","31.00","28.00","100.00","87.50","100.00","100.00","100.00","66.67","50.00","16.67","90.91","88.89","37.50","14.29",".00","6.25","32' 8""","1' 8""","74' 0""","30.00"
"9/17/2017","BMW Championship","T2",".675","79.8","1.686","1.486","47.22","4.17","26.75","25.00","26.00","29.00","27.00","100.00","87.50","62.50","66.67","83.33","100.00","66.67","50.00","73.68","86.11","40.00","25.00","28.57",".00","22' 10""","2' 4""","81' 4""","36.00"
