"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/6/2019","Sentry T of C","T4",".346","87.50","91.30","28.57","61.90","38' 5""","35' 9""","43' 2""","24' 7""","33' 2""","96' 0""","58' 7""","50' 11""","34' 8""","14' 3""","34' 2""","23' 0""","20' 5""","27' 6""","20' 7""","37' 5""","47' 10""","-","-","-","58' 0""","39' 0""","26' 10""","58' 0""","34' 11""","43' 2""","17' 11""","29' 0""","31' 11""","21' 1""","28' 8""","-","-"
"10/28/2018","WGC-HSBC Champions","T54","-","56.94","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".479","70.83","100.00","20.00","70.00","34' 11""","48' 1""","54' 4""","43' 5""","20' 6""","-","-","33' 1""","26' 8""","-","8' 3""","5' 2""","6' 8""","23' 4""","10' 5""","30' 8""","28' 2""","-","-","57' 1""","151' 3""","51' 1""","22' 11""","88' 6""","49' 5""","40' 11""","46' 1""","41' 6""","47' 8""","25' 4""","18' 2""","-","-"
"9/9/2018","BMW Championship","5","1.422","84.72","66.67","42.86","57.14","27' 2""","30' 10""","33' 3""","29' 1""","24' 2""","-","-","60' 5""","33' 4""","7' 4""","12' 6""","21' 7""","15' 6""","11' 8""","20' 5""","35' 9""","41' 10""","-","-","-","-","34' 11""","25' 0""","-","-","66' 1""","49' 3""","20' 11""","15' 10""","25' 8""","22' 8""","-","-"
"9/3/2018","Dell Technologies Champ","T12",".291","70.83","75.00","25.00","58.33","37' 4""","36' 0""","40' 2""","31' 10""","28' 4""","-","-","33' 10""","40' 1""","-","-","17' 10""","17' 10""","18' 2""","30' 8""","34' 8""","39' 0""","-","99' 7""","35' 0""","-","38' 7""","12' 7""","67' 4""","-","33' 5""","25' 8""","28' 0""","43' 5""","-","12' 7""","-","-"
"8/12/2018","PGA Championship","T50","-.799","63.89","60.00",".00","50.00","35' 0""","49' 4""","49' 8""","49' 2""","29' 8""","45' 10""","66' 6""","36' 6""","47' 4""","-","8' 11""","19' 7""","17' 3""","18' 11""","29' 0""","27' 5""","48' 5""","-","-","-","50' 7""","52' 5""","36' 10""","50' 7""","50' 8""","67' 7""","46' 8""","38' 4""","44' 4""","43' 8""","16' 5""","2","19"
"8/5/2018","WGC-Bridgestone Invit'l","T6","-.703","58.33","62.50","20.00","100.00","31' 5""","39' 6""","31' 0""","44' 8""","24' 6""","-","-","52' 0""","28' 2""","27' 10""","10' 10""","20' 1""","18' 2""","34' 9""","20' 9""","23' 0""","34' 8""","-","-","-","73' 3""","42' 7""","24' 6""","73' 3""","63' 5""","34' 9""","39' 9""","28' 2""","31' 10""","26' 3""","22' 0""","1","10"
"7/22/2018","The Open Championship","T2","-","68.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/25/2018","(*) CVS Health Charity","T6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T12",".971","77.78","83.33","14.29","64.29","35' 9""","33' 5""","48' 9""","31' 11""","28' 8""","-","106' 0""","51' 8""","35' 6""","12' 9""","7' 7""","19' 1""","14' 10""","17' 1""","24' 11""","40' 10""","48' 1""","-","-","-","-","32' 1""","37' 0""","-","-","-","31' 3""","36' 0""","34' 7""","37' 0""","-","1","14"
"6/17/2018","U.S. Open","CUT","-.955","61.11","60.00",".00","66.67","47' 7""","88' 2""","-","88' 2""","39' 1""","-","66' 6""","68' 5""","-","-","7' 10""","65' 10""","36' 10""","25' 10""","36' 2""","46' 1""","67' 1""","-","77' 9""","-","107' 6""","88' 2""","-","97' 7""","54' 7""","-","51' 3""","130' 4""","130' 4""","-","-","-","-"
"6/3/2018","the Memorial Tournament","T8",".638","68.06","56.25","22.22","55.56","28' 8""","26' 11""","21' 7""","30' 2""","28' 9""","-","-","61' 6""","55' 0""","9' 11""","25' 9""","8' 8""","11' 0""","15' 5""","29' 11""","27' 4""","58' 6""","-","-","-","38' 9""","26' 11""","-","38' 9""","20' 4""","25' 10""","24' 0""","40' 1""","40' 1""","-","-","1","13"
"5/13/2018","THE PLAYERS Championship","CUT","-.582","63.89","90.00","44.44","66.67","42' 10""","56' 2""","59' 11""","53' 11""","35' 7""","-","-","59' 7""","-","-","20' 10""","20' 6""","20' 8""","22' 3""","55' 0""","38' 11""","59' 7""","-","-","59' 9""","-","56' 2""","-","59' 9""","36' 11""","95' 8""","40' 11""","-","-","-","-","1","14"
"5/6/2018","Wells Fargo Championship","T16","1.482","68.06","90.00","11.11","44.44","40' 5""","35' 9""","33' 7""","39' 3""","36' 10""","-","39' 4""","56' 2""","56' 5""","-","-","10' 0""","10' 0""","21' 4""","41' 7""","37' 11""","55' 0""","-","82' 7""","-","46' 3""","37' 6""","6' 3""","64' 5""","32' 10""","33' 8""","23' 11""","20' 1""","24' 9""","6' 3""","-","-","-"
"4/8/2018","Masters Tournament","T5","-","59.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","1","1.145","63.89","62.50","40.00","70.00","29' 7""","50' 5""","43' 11""","55' 4""","25' 6""","-","51' 5""","39' 10""","31' 9""","-","11' 1""","18' 4""","15' 9""","14' 8""","24' 0""","28' 1""","34' 11""","138' 5""","-","80' 11""","-","59' 0""","29' 1""","109' 8""","-","25' 1""","25' 5""","29' 1""","-","25' 6""","32' 8""","1","14"
"3/11/2018","Valspar Championship","CUT",".147","50.00","62.50","20.00","60.00","40' 1""","60' 5""","65' 1""","56' 9""","33' 3""","-","-","47' 9""","27' 4""","29' 1""","24' 6""","20' 11""","24' 10""","36' 10""","41' 2""","26' 2""","37' 7""","92' 1""","119' 1""","-","-","64' 4""","29' 3""","105' 7""","55' 6""","66' 1""","38' 7""","29' 3""","-","29' 3""","-","1","21"
"2/25/2018","The Honda Classic","T59","-1.212","62.50","50.00",".00","50.00","36' 9""","45' 1""","54' 9""","36' 6""","31' 11""","-","97' 3""","75' 1""","30' 6""","35' 3""","25' 3""","13' 7""","18' 10""","19' 8""","38' 10""","25' 8""","63' 11""","-","-","154' 6""","-","44' 2""","60' 10""","154' 6""","44' 0""","24' 2""","27' 9""","44' 1""","41' 3""","60' 10""","-","-","-"
"2/18/2018","Genesis Open","T20",".151","58.33","75.00","25.00","58.33","36' 2""","47' 3""","37' 0""","57' 6""","27' 7""","-","61' 8""","41' 6""","65' 7""","-","19' 6""","17' 11""","18' 2""","24' 10""","21' 9""","29' 1""","49' 6""","-","-","76' 3""","-","47' 3""","-","76' 3""","49' 5""","66' 10""","26' 3""","37' 11""","37' 11""","-","-","1","11"
"2/11/2018","AT&T Pebble Beach","CUT","1.012","64.81","25.00","50.00","100.00","35' 6""","40' 0""","8' 9""","71' 3""","24' 2""","-","43' 5""","-","15' 9""","-","18' 0""","27' 1""","24' 10""","10' 2""","8' 3""","30' 3""","29' 7""","-","-","8' 9""","71' 3""","40' 0""","-","40' 0""","-","-","-","-","-","-","-","2","10"
"9/17/2017","BMW Championship","T58",".692","62.50","69.57","29.41","70.59","33' 2""","47' 7""","60' 3""","42' 10""","24' 8""","12' 10""","48' 6""","31' 10""","36' 9""","4' 2""","7' 0""","15' 7""","10' 6""","20' 4""","28' 2""","24' 11""","34' 5""","93' 6""","-","-","-","51' 9""","28' 11""","93' 6""","48' 2""","31' 8""","30' 10""","56' 5""","84' 0""","28' 11""","-","-","-"
"9/4/2017","Dell Technologies Champ","CUT",".022","72.22","62.50","20.00","40.00","33' 1""","27' 7""","29' 10""","24' 3""","29' 2""","-","-","44' 9""","27' 4""","-","46' 9""","21' 11""","30' 2""","17' 2""","35' 3""","27' 1""","33' 1""","-","-","66' 7""","-","31' 7""","11' 11""","66' 7""","22' 1""","15' 6""","-","11' 11""","-","-","11' 11""","-","-"
"8/27/2017","THE NORTHERN TRUST","T34","-.946","63.89","66.67","10.00","30.00","44' 3""","46' 6""","41' 1""","55' 5""","38' 3""","-","182' 9""","68' 5""","50' 6""","13' 10""","11' 0""","24' 10""","17' 5""","27' 3""","28' 9""","36' 2""","70' 8""","-","-","-","66' 7""","47' 10""","40' 6""","66' 7""","-","51' 11""","31' 5""","50' 6""","60' 7""","40' 6""","-","2","30"
"8/13/2017","PGA Championship","T22","-.093","59.72","89.47","11.11","61.11","44' 10""","47' 10""","40' 2""","57' 4""","35' 2""","61' 4""","54' 4""","49' 4""","38' 7""","-","-","37' 7""","37' 7""","12' 9""","28' 1""","31' 3""","45' 4""","96' 1""","69' 10""","-","30' 9""","47' 10""","-","56' 10""","38' 6""","35' 6""","37' 2""","97' 11""","97' 11""","-","-","1","7"
"8/6/2017","WGC-Bridgestone Invit'l","T5","-.387","66.67","37.50","33.33","100.00","30' 5""","37' 7""","36' 8""","38' 11""","26' 3""","-","-","30' 9""","37' 6""","21' 5""","14' 7""","20' 7""","18' 6""","37' 0""","29' 10""","25' 6""","36' 9""","-","-","-","-","39' 3""","31' 4""","-","-","42' 9""","41' 1""","34' 5""","36' 2""","32' 7""","27' 8""","2","14"
"7/23/2017","The Open Championship","T4","-","58.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/25/2017","Travelers Championship","T17",".234","73.61","76.92","33.33","58.33","33' 7""","36' 3""","21' 4""","47' 0""","29' 7""","-","-","43' 8""","50' 2""","15' 3""","12' 7""","22' 11""","17' 7""","28' 5""","29' 5""","26' 6""","46' 0""","-","-","17' 5""","-","37' 0""","34' 2""","17' 5""","-","26' 7""","53' 10""","28' 9""","20' 4""","33' 0""","-","1","9"
"6/18/2017","U.S. Open","CUT",".574","58.33","50.00","20.00","40.00","41' 0""","60' 11""","42' 8""","79' 1""","35' 7""","103' 3""","41' 10""","23' 3""","54' 0""","74' 11""","5' 5""","13' 10""","27' 0""","15' 2""","30' 4""","35' 6""","54' 1""","-","-","-","-","60' 11""","-","-","-","39' 3""","94' 1""","47' 9""","47' 9""","-","-","-","-"
"5/14/2017","THE PLAYERS Championship","T35","-.465","55.56","73.68","13.33","53.33","42' 8""","41' 2""","35' 8""","44' 4""","41' 11""","-","48' 6""","62' 10""","53' 11""","-","19' 10""","26' 7""","24' 4""","35' 9""","43' 9""","43' 9""","59' 8""","-","-","71' 1""","-","44' 0""","12' 9""","71' 1""","55' 8""","21' 11""","24' 11""","18' 10""","21' 10""","-","12' 9""","1","9"
"4/9/2017","Masters Tournament","T7","-","61.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T4","2.449","72.22","64.71","18.18","81.82","32' 4""","54' 0""","15' 11""","62' 5""","26' 1""","-","76' 2""","45' 5""","28' 9""","17' 4""","8' 3""","14' 2""","10' 6""","26' 11""","18' 11""","28' 3""","38' 8""","-","177' 1""","-","-","54' 0""","-","177' 1""","21' 0""","35' 0""","80' 2""","39' 0""","39' 0""","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","T7","1.118","72.22","52.63","15.38","46.15","33' 2""","27' 2""","22' 11""","29' 3""","29' 1""","-","50' 1""","54' 7""","24' 4""","19' 0""","25' 4""","12' 4""","18' 4""","27' 6""","19' 6""","37' 2""","43' 2""","55' 7""","28' 3""","52' 2""","-","31' 9""","21' 11""","45' 4""","-","13' 9""","51' 0""","25' 4""","25' 5""","18' 8""","26' 8""","1","152"
"10/30/2016","WGC-HSBC Champions","T4","-","76.39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/2/2016","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","1",".651","77.78","62.50","20.00","60.00","30' 7""","35' 7""","26' 11""","41' 8""","26' 10""","-","-","34' 3""","39' 2""","6' 9""","12' 5""","18' 10""","15' 5""","15' 3""","17' 5""","54' 4""","37' 8""","-","65' 11""","136' 5""","-","39' 4""","7' 5""","101' 2""","-","65' 11""","5' 11""","15' 2""","17' 10""","7' 5""","-","1","137"
"9/11/2016","BMW Championship","T42","1.359","73.61","75.00","41.67","66.67","27' 10""","27' 6""","19' 8""","32' 3""","27' 11""","100' 2""","38' 5""","31' 11""","26' 1""","-","19' 6""","21' 11""","21' 2""","21' 10""","26' 3""","26' 2""","36' 7""","-","42' 7""","43' 8""","-","27' 6""","-","43' 2""","46' 9""","21' 1""","15' 4""","10' 8""","10' 8""","-","-","-","-"
"9/5/2016","Deutsche Bank Champ","1",".828","73.61","87.50","28.57","78.57","31' 6""","28' 11""","46' 3""","15' 1""","26' 6""","53' 0""","58' 8""","38' 10""","26' 2""","-","15' 7""","23' 10""","20' 9""","17' 9""","27' 0""","21' 10""","38' 4""","106' 6""","-","-","-","31' 8""","6' 10""","106' 6""","8' 1""","33' 3""","21' 5""","6' 10""","-","6' 10""","-","-","-"
"8/28/2016","The Barclays","T31",".615","68.06","58.33","14.29","57.14","33' 2""","35' 4""","37' 9""","32' 4""","30' 7""","-","83' 8""","52' 0""","37' 2""","4' 5""","13' 3""","14' 7""","12' 3""","22' 4""","25' 7""","40' 9""","46' 8""","-","-","-","80' 4""","35' 6""","33' 7""","80' 4""","42' 7""","46' 1""","43' 3""","23' 0""","20' 4""","33' 7""","-","-","-"
"7/31/2016","PGA Championship","CUT","1.051","75.00","75.00",".00","33.33","30' 9""","59' 9""","64' 0""","56' 10""","23' 10""","100' 9""","-","46' 2""","22' 10""","12' 0""","-","21' 9""","18' 6""","20' 2""","10' 11""","32' 0""","37' 4""","-","63' 2""","-","-","59' 9""","-","63' 2""","-","51' 9""","80' 1""","-","-","-","-","-","-"
"7/17/2016","The Open Championship","T5","-","65.28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/19/2016","U.S. Open","CUT","-","55.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/5/2016","the Memorial Tournament","T4","-.514","66.67","75.00","33.33","66.67","32' 1""","58' 11""","64' 6""","56' 1""","28' 2""","112' 1""","49' 8""","45' 2""","48' 3""","-","11' 6""","17' 5""","14' 8""","15' 9""","25' 7""","36' 4""","52' 2""","-","79' 10""","164' 0""","-","58' 11""","-","121' 11""","85' 4""","-","42' 4""","29' 0""","29' 0""","-","-","-","-"
"5/15/2016","THE PLAYERS Championship","T12",".375","76.39","81.25","15.38","61.54","32' 5""","39' 3""","36' 8""","41' 5""","29' 2""","-","64' 5""","42' 4""","49' 2""","16' 1""","19' 11""","14' 3""","15' 2""","28' 8""","30' 8""","29' 7""","46' 2""","-","-","58' 10""","-","40' 3""","35' 0""","58' 10""","34' 7""","51' 0""","43' 5""","26' 11""","18' 10""","35' 0""","-","1","18"
"5/8/2016","Wells Fargo Championship","T4","-.218","63.89","81.82","36.84","78.95","42' 10""","38' 3""","38' 9""","37' 2""","36' 0""","56' 9""","71' 10""","31' 11""","47' 0""","20' 9""","-","23' 7""","22' 8""","34' 0""","30' 2""","31' 5""","51' 1""","-","51' 6""","54' 0""","-","39' 5""","17' 4""","52' 9""","41' 3""","42' 11""","31' 9""","17' 4""","-","-","17' 4""","1","28"
"4/10/2016","Masters Tournament","T10","-","63.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/27/2016","WGC-Dell Match Play","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","T27","-.150","59.72","75.00","25.00","66.67","35' 9""","86' 0""","31' 8""","107' 9""","28' 10""","-","39' 5""","38' 0""","41' 4""","7' 9""","17' 5""","11' 9""","14' 6""","26' 11""","20' 2""","36' 10""","40' 0""","-","110' 10""","86' 3""","-","86' 0""","-","98' 7""","169' 4""","80' 5""","24' 9""","50' 0""","50' 0""","-","-","1","7"
"3/6/2016","WGC-Cadillac Championship","T3",".225","68.06","73.68","21.43","64.29","40' 9""","44' 2""","25' 8""","58' 1""","36' 8""","81' 6""","46' 9""","35' 7""","33' 6""","19' 6""","-","34' 11""","25' 8""","29' 2""","30' 10""","37' 11""","46' 3""","186' 11""","-","-","52' 2""","47' 1""","6' 5""","97' 1""","-","102' 3""","33' 9""","17' 8""","19' 6""","6' 5""","-","-","-"
"2/28/2016","The Honda Classic","CUT","-.112","58.33","75.00","66.67","66.67","32' 2""","24' 0""","25' 6""","22' 7""","27' 1""","-","-","56' 3""","33' 11""","15' 11""","-","23' 10""","22' 7""","11' 4""","26' 10""","26' 9""","37' 8""","-","-","-","-","24' 0""","-","-","-","32' 10""","25' 6""","17' 5""","17' 5""","-","-","1","14"
"2/21/2016","Northern Trust Open","T20",".490","68.06","87.50","42.86","57.14","38' 2""","38' 5""","37' 8""","38' 9""","31' 10""","26' 4""","87' 7""","42' 2""","9' 11""","2' 1""","-","11' 11""","7' 0""","22' 7""","30' 2""","29' 1""","47' 3""","-","-","-","38' 4""","41' 2""","11' 11""","38' 4""","51' 2""","37' 8""","36' 5""","36' 11""","36' 11""","-","-","1","7"
"11/8/2015","WGC-HSBC Champions","T11","-","86.11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/18/2015","Frys.com Open","T26","1.230","73.61","94.12","6.25","43.75","36' 5""","53' 7""","50' 7""","55' 5""","29' 4""","93' 10""","59' 6""","40' 1""","22' 5""","10' 11""","18' 8""","26' 6""","21' 3""","22' 5""","11' 7""","30' 4""","45' 3""","-","130' 0""","107' 8""","78' 2""","57' 1""","25' 0""","110' 8""","100' 8""","39' 8""","20' 1""","18' 6""","15' 3""","25' 0""","-","-","-"
"9/27/2015","TOUR Championship","T16","-.155","61.11","62.50","20.00","40.00","36' 2""","50' 10""","66' 7""","32' 5""","30' 0""","72' 9""","113' 10""","46' 1""","42' 0""","15' 3""","13' 10""","18' 1""","16' 2""","16' 11""","22' 11""","21' 0""","50' 1""","-","-","90' 0""","67' 9""","50' 10""","-","82' 7""","14' 10""","62' 5""","73' 8""","16' 3""","16' 3""","-","-","-","-"
