"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/6/2019","Sentry T of C","T4","-.209",".00","15' 6""","66.67","100.00","66.67",".00","-","50.00","100.00"
"10/28/2018","WGC-HSBC Champions","T54","-","87.50","-","48.39","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7",".104","57.14","12' 2""","47.62","-","71.43",".00","33.33","57.14","100.00"
"9/9/2018","BMW Championship","5","-.333","33.33","8' 5""","54.55","100.00","66.67",".00",".00","40.00","100.00"
"9/3/2018","Dell Technologies Champ","T12","-.151","33.33","8' 6""","61.90","100.00","87.50",".00","50.00","63.64","100.00"
"8/12/2018","PGA Championship","T50","1.221","42.86","8' 1""","69.23","100.00","72.73","40.00","60.00","81.82","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T6",".602","50.00","7' 6""","76.67","100.00","81.25","33.33","57.14","90.00","90.00"
"7/22/2018","The Open Championship","T2","-","100.00","-","65.22","-","-","-","-","-","-"
"6/25/2018","(*) CVS Health Charity","T6","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T12",".826","75.00","7' 0""","81.25","100.00","75.00","-","50.00","88.89","80.00"
"6/17/2018","U.S. Open","CUT",".405",".00","19' 1""","21.43","-","25.00","16.67","33.33",".00","-"
"6/3/2018","the Memorial Tournament","T8","1.407","58.33","4' 10""","69.57","100.00","77.78",".00","100.00","60.00","85.71"
"5/13/2018","THE PLAYERS Championship","CUT",".381","60.00","10' 3""","46.15","-","33.33",".00","50.00","62.50","-"
"5/6/2018","Wells Fargo Championship","T16","-.351","20.00","9' 8""","47.83","66.67","38.46","33.33","50.00","28.57","100.00"
"4/8/2018","Masters Tournament","T5","-","80.00","-","75.86","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","1",".489","71.43","8' 10""","80.77","100.00","75.00","33.33","100.00","84.62","100.00"
"3/11/2018","Valspar Championship","CUT",".129","71.43","5' 0""","66.67","100.00","50.00",".00","60.00","80.00","71.43"
"2/25/2018","The Honda Classic","T59","-.569","42.86","10' 7""","48.15","100.00","53.85","25.00","44.44","57.14","80.00"
"2/18/2018","Genesis Open","T20",".145","37.50","9' 3""","63.33","100.00","66.67","25.00","33.33","76.47","66.67"
"2/11/2018","AT&T Pebble Beach","CUT","1.025","42.86","11' 10""","63.16","100.00","72.73",".00",".00","50.00","100.00"
"9/17/2017","BMW Championship","T58","-.232","100.00","15' 2""","55.56","100.00","46.15","14.29","-","70.00","77.78"
"9/4/2017","Dell Technologies Champ","CUT","-.323",".00","24' 0""","50.00","-","75.00","50.00","50.00","60.00","-"
"8/27/2017","THE NORTHERN TRUST","T34",".352","44.44","9' 11""","61.54","100.00","42.86","25.00","71.43","62.50","80.00"
"8/13/2017","PGA Championship","T22",".708","100.00","5' 9""","55.17","100.00","41.18",".00","16.67","68.75","80.00"
"8/6/2017","WGC-Bridgestone Invit'l","T5",".802","100.00","1' 9""","70.83","100.00","78.57",".00","66.67","83.33","100.00"
"7/23/2017","The Open Championship","T4","-","88.89","-","66.67","-","-","-","-","-","-"
"6/25/2017","Travelers Championship","T17",".509","57.14","10' 2""","57.89","100.00","44.44","75.00","33.33","37.50","100.00"
"6/18/2017","U.S. Open","CUT","-.426","50.00","13' 2""","46.67","100.00",".00","50.00","33.33","33.33","100.00"
"5/14/2017","THE PLAYERS Championship","T35","-.316","62.50","6' 0""","65.63","75.00","55.56",".00","42.86","85.71","75.00"
"4/9/2017","Masters Tournament","T7","-","42.86","-","75.00","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T30","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T4","-.188","50.00","6' 10""","50.00","71.43",".00","100.00",".00","66.67","83.33"
"3/5/2017","WGC-Mexico Championship","T7","-.403","40.00","10' 2""","75.00","100.00","62.50","50.00","-","69.23","100.00"
"10/30/2016","WGC-HSBC Champions","T4","-","100.00","-","64.71","-","-","-","-","-","-"
"10/2/2016","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","1",".408","50.00","7' 8""","56.25","100.00","57.14",".00","33.33","87.50","100.00"
"9/11/2016","BMW Championship","T42","-.444",".00","14' 7""","47.37","66.67","63.64",".00",".00","25.00","87.50"
