"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/6/2019","Sentry T of C","T4","1.322","1.185","294.1","311.5","383","65.00","29' 1""","18.64","13.56","34","122.18","29"
"10/28/2018","WGC-HSBC Champions","T54","-","-","-","-","330","41.07","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7","1.619","1.035","316.5","319.0","365","39.29","32' 11""","21.43","26.79","31","123.01","14"
"9/9/2018","BMW Championship","5","2.390","1.300","317.4","312.9","350","73.21","22' 6""","12.50","14.29","24","119.59","19"
"9/3/2018","Dell Technologies Champ","T12",".968",".828","317.3","300.7","369","58.93","25' 5""","10.71","8.93","65","120.58","22"
"8/12/2018","PGA Championship","T50",".379","-.043","328.1","301.6","359","51.79","33' 4""","10.71","23.21","78","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T6",".838",".938","339.9","328.9","420","41.07","28' 11""","23.64","34.55","64","122.75","16"
"7/22/2018","The Open Championship","T2","-","-","323.9","-","394","45.00","-","-","-","75","-","-"
"6/25/2018","(*) CVS Health Charity","T6","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T12","3.553","1.755","334.9","305.4","381","64.29","36' 0""","1.79","23.21","47","121.30","17"
"6/17/2018","U.S. Open","CUT",".751","1.301","316.0","302.0","350","64.29","-","3.57","28.57","1,998","-","-"
"6/3/2018","the Memorial Tournament","T8","2.549",".503","306.0","295.1","357","69.64","32' 3""","3.64","14.55","43","119.70","5"
"5/13/2018","THE PLAYERS Championship","CUT","-.281","-.080","306.8","302.7","349","42.86","20' 1""","10.71","17.86","1,998","120.58","1,998"
"5/6/2018","Wells Fargo Championship","T16","1.678",".547","342.0","326.9","376","41.07","30' 2""","17.86","14.29","68","120.25","4"
"4/8/2018","Masters Tournament","T5","-","-","302.6","-","335","62.50","-","-","-","41","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","1","1.987",".353","316.5","291.4","373","64.29","24' 9""","7.27","7.27","49","121.95","16"
"3/11/2018","Valspar Championship","CUT","1.164",".888","319.5","284.7","348","53.85","27' 3""","15.38","23.08","1,998","123.95","1,998"
"2/25/2018","The Honda Classic","T59","-1.055",".726","316.5","294.8","367","50.00","30' 6""","16.36","18.18","75","123.40","98"
"2/18/2018","Genesis Open","T20","1.249",".953","309.0","305.6","336","55.36","23' 9""","16.36","20.00","39","120.91","8"
"2/11/2018","AT&T Pebble Beach","CUT","1.033","-1.004","311.2","279.8","337","73.17","39' 11""","7.14","14.29","1,998","119.92","1,998"
"9/17/2017","BMW Championship","T58","-.871","-1.330","327.8","307.6","387","57.14","37' 11""","5.66","15.09","39","120.97","32"
"9/4/2017","Dell Technologies Champ","CUT","-.735","-.434","311.5","297.2","330","53.57","25' 9""","10.71","10.71","1,998","119.04","1,998"
"8/27/2017","THE NORTHERN TRUST","T34",".185",".780","314.5","315.4","403","50.00","27' 11""","21.82","12.73","70","117.64","6"
"8/13/2017","PGA Championship","T22","2.626","2.010","326.1","320.0","365","48.21","26' 9""","21.43","17.86","69","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T5","2.029","1.614","343.9","328.7","384","55.36","24' 5""","23.21","14.29","15","120.37","7"
"7/23/2017","The Open Championship","T4","-","-","321.6","-","372","46.43","-","-","-","44","-","-"
"6/25/2017","Travelers Championship","T17","2.488","1.745","321.9","302.8","393","69.64","16' 0""","10.71","12.50","26","119.98","5"
"6/18/2017","U.S. Open","CUT","1.710","1.561","329.3","315.8","355","57.14","-","17.86","17.86","1,998","-","-"
"5/14/2017","THE PLAYERS Championship","T35","-.166",".616","287.9","295.0","339","55.36","19' 7""","7.14","17.86","93","117.69","103"
"4/9/2017","Masters Tournament","T7","-","-","288.0","-","337","51.79","-","-","-","65","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T30","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T4","3.369","1.109","314.9","294.9","383","55.36","20' 7""","3.64","27.27","65","121.79","39"
"3/5/2017","WGC-Mexico Championship","T7","2.291","1.575","322.8","317.8","393","55.36","26' 2""","14.29","23.21","61","122.17","18"
"10/30/2016","WGC-HSBC Champions","T4","-","-","-","-","331","60.71","-","-","-","-","-","-"
"10/2/2016","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","1","2.711","1.651","314.6","314.1","369","53.57","21' 9""","14.29","21.43","14","120.91","23"
"9/11/2016","BMW Championship","T42","2.065","1.150","309.8","301.9","346","66.07","17' 1""","10.71","19.64","34","119.87","30"
"9/5/2016","Deutsche Bank Champ","1","1.740",".625","312.9","291.2","355","64.29","29' 11""","10.71","12.50","42","119.12","66"
"8/28/2016","The Barclays","T31","2.123","1.134","309.6","307.0","345","51.79","20' 5""","21.43","17.86","76","121.70","97"
"7/31/2016","PGA Championship","CUT","1.977","2.001","321.3","304.7","360","71.43","27' 0""","7.14","10.71","1,998","-","-"
"7/17/2016","The Open Championship","T5","-","-","299.3","-","354","64.29","-","-","-","37","-","-"
"6/19/2016","U.S. Open","CUT","-","-","294.3","-","306","46.43","-","-","-","1,998","-","-"
"6/5/2016","the Memorial Tournament","T4",".467","1.534","307.1","303.4","382","75.00","31' 10""","3.64","14.55","22","120.03","6"
"5/15/2016","THE PLAYERS Championship","T12","3.153","1.590","303.6","295.8","345","73.21","24' 1""","7.14","10.71","14","119.72","99"
"5/8/2016","Wells Fargo Championship","T4","2.627","2.076","305.6","313.4","388","50.00","30' 7""","23.21","14.29","43","117.98","40"
"4/10/2016","Masters Tournament","T10","-","-","287.3","-","320","71.43","-","-","-","25","-","-"
"3/27/2016","WGC-Dell Match Play","4","-","-","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","T27","-.009","-.006","305.9","291.4","333","64.29","25' 8""","7.27","10.91","64","119.17","34"
"3/6/2016","WGC-Cadillac Championship","T3","2.659","1.411","315.4","308.2","359","53.57","28' 5""","9.09","18.18","35","119.38","19"
"2/28/2016","The Honda Classic","CUT","1.173","1.078","312.3","292.3","337","60.71","31' 10""","10.71","14.29","1,998","118.81","1,998"
"2/21/2016","Northern Trust Open","T20","1.164","1.057","301.8","295.0","333","50.00","22' 9""","17.86","23.21","56","120.02","62"
"11/8/2015","WGC-HSBC Champions","T11","-","-","-","-","311","60.71","-","-","-","-","-","-"
"10/18/2015","Frys.com Open","T26","2.377",".998","311.5","301.8","350","58.93","23' 2""","14.55","20.00","31","121.10","92"
"9/27/2015","TOUR Championship","T16","-.662",".896","285.4","284.4","327","64.29","28' 7""","14.29","10.71","20","120.09","38"
"9/20/2015","BMW Championship","T4","2.371",".885","302.3","291.6","344","67.86","30' 8""","12.73","9.09","33","120.06","69"
"9/7/2015","Deutsche Bank Champ","T29","1.780",".971","305.5","290.5","333","75.00","28' 6""","7.14","3.57","16","117.27","87"
"8/16/2015","PGA Championship","17","3.241","1.214","308.6","299.4","359","66.07","34' 2""","8.93","17.86","26","-","-"
"8/9/2015","WGC-Bridgestone Invit'l","DNS","-","-","-","-","-","-","-","-","-","-","-","-"
"6/21/2015","U.S. Open","T9","-","-","310.0","-","330","75.00","-","-","-","65","-","-"
"5/17/2015","Wells Fargo Championship","1","4.219","2.671","321.1","311.5","364","55.36","27' 7""","14.29","21.43","20","122.18","52"
"5/10/2015","THE PLAYERS Championship","T8","2.508","1.237","299.9","280.5","328","80.36","27' 5""","3.70","5.56","10","121.08","101"
"5/3/2015","WGC-Cadillac Match Play","1","-","-","-","-","-","-","-","-","-","-","-","-"
"4/12/2015","Masters Tournament","4","-","-","297.0","-","327","76.79","-","-","-","15","-","-"
"3/22/2015","Arnold Palmer Invt'l","T11","1.595",".804","302.3","286.3","329","67.86","23' 1""","16.07","7.14","57","118.64","82"
"3/8/2015","WGC-Cadillac Championship","T9","1.128",".704","310.8","298.5","363","57.14","32' 0""","12.50","5.36","20","119.25","92"
"3/1/2015","The Honda Classic","CUT","-.910","-.107","299.0","279.5","342","50.00","41' 5""","11.11","18.52","1,998","119.07","1,998"
"10/15/2014","(*) PGA Grand Slam","3","-","-","-","-","-","-","-","-","-","-","-","-"
"9/28/2014","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/14/2014","TOUR Championship","T2","1.786",".661","301.5","301.9","360","58.93","31' 7""","14.55","16.36","14","122.71","17"
"9/7/2014","BMW Championship","T8","1.966","1.677","321.3","316.4","379","53.57","28' 6""","23.64","12.73","52","123.70","33"
"9/1/2014","Deutsche Bank Champ","T5","1.995",".833","313.0","304.1","349","58.93","17' 4""","12.50","16.07","66","122.56","49"
"8/24/2014","The Barclays","T22","1.584","1.681","303.8","303.8","353","57.14","22' 4""","16.07","17.86","58","121.84","71"
"8/10/2014","PGA Championship","1","3.032","1.549","315.6","295.4","340","73.21","18' 4""","12.73","9.09","11","-","-"
"8/3/2014","WGC-Bridgestone Invit'l","1","2.775","2.285","334.8","317.6","369","60.71","20' 7""","21.82","14.55","13","122.26","109"
"7/20/2014","The Open Championship","1","-","-","327.8","-","361","66.07","-","-","-","21","-","-"
