"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/6/2019","Sentry T of C","T4",".352","16.3","1.810","1.750","25.00",".00","31.50","34.00","29.00","30.00","33.00","100.00","100.00","100.00","66.67","100.00","100.00","25.00","50.00","92.31","93.24","27.27",".00",".00",".00","11' 5""","2' 2""","53' 10""","28.57"
"10/28/2018","WGC-HSBC Champions","T54","-","-","1.756","1.625","40.28","5.56","29.25","26.00","30.00","30.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.71"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T7","-.752","43.2","1.686","1.625","40.28","2.78","29.25","29.00","29.00","30.00","29.00","100.00","100.00","85.71","100.00","50.00","75.00",".00",".00","81.25","90.41","25.00","20.00","10.00",".00","21' 5""","2' 5""","64' 9""","37.25"
"9/9/2018","BMW Championship","5","-.006","70.1","1.656","1.625","37.50",".00","29.25","27.00","32.00","26.00","32.00","100.00","83.33","75.00",".00","60.00","100.00","44.44","100.00","69.23","86.67","15.38","25.00","28.57","7.14","41' 4""","1' 10""","80' 3""","37.70"
"9/3/2018","Dell Technologies Champ","T12",".629","40.7","1.706","1.583","41.67",".00","28.50","32.00","27.00","28.00","27.00","100.00","100.00","100.00","100.00","71.43","75.00","-","100.00","80.00","95.65","18.75",".00","33.33","5.88","31' 4""","1' 9""","72' 0""","33.33"
"8/12/2018","PGA Championship","T50",".074","95.5","1.804","1.569","40.28","2.78","28.25","33.00","26.00","28.00","26.00","100.00","88.89","66.67","100.00","66.67","33.33","50.00","50.00","68.75","88.89","44.44","14.29",".00","5.56","50' 7""","2' 4""","74' 4""","23.91"
"8/5/2018","WGC-Bridgestone Invit'l","T6","1.067","34.8","1.690","1.444","52.78",".00","26.00","26.00","26.00","27.00","25.00","100.00","100.00","88.89","80.00","50.00","66.67","66.67","25.00","78.95","88.89","42.86","20.00","50.00","7.69","27' 2""","1' 10""","77' 8""","33.33"
"7/22/2018","The Open Championship","T2","-","-","1.776","1.583","41.67","2.78","28.50","31.00","29.00","26.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.61"
"6/25/2018","(*) CVS Health Charity","T6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T12","-1.367","122.1","1.786","1.653","38.89","6.94","29.75","29.00","32.00","30.00","28.00","100.00","90.91","85.71","66.67","33.33","50.00","25.00","25.00","65.00","80.23","16.67","25.00",".00",".00","18' 5""","2' 5""","57' 2""","29.09"
"6/17/2018","U.S. Open","CUT","-.715","-","1.773","1.806","27.78","8.33","32.50","31.00","34.00","-","-","100.00","100.00","66.67","100.00","75.00","50.00","100.00","50.00","66.67","84.21","37.50",".00","14.29",".00","24' 6""","4' 1""","89' 6""","31.82"
"6/3/2018","the Memorial Tournament","T8","-.433","65.8","1.673","1.542","41.67","1.39","27.75","30.00","30.00","24.00","27.00","97.67","100.00","83.33","75.00","50.00","50.00","60.00",".00","65.00","85.53","18.18","33.33",".00","8.33","27' 1""","2' 3""","68' 10""","33.33"
"5/13/2018","THE PLAYERS Championship","CUT","-.576","-","1.913","1.694","27.78","2.78","30.50","30.00","31.00","-","-","100.00","100.00","100.00","50.00","50.00",".00","100.00","-","62.50","91.67","16.67",".00","20.00",".00","21' 6""","2' 3""","55' 7""","30.43"
"5/6/2018","Wells Fargo Championship","T16","-.009","83.3","1.714","1.639","37.50","1.39","29.50","29.00","32.00","30.00","27.00","100.00","80.00","75.00","66.67","40.00",".00","100.00","33.33","56.52","83.75","40.00","20.00","22.22",".00","24' 3""","2' 1""","65' 6""","34.69"
"4/8/2018","Masters Tournament","T5","-","-","1.698","1.514","48.61","2.78","27.25","27.00","29.00","23.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","38.10"
"3/25/2018","WGC-Dell Tech Match Play","T36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","1","2.507","19.4","1.609","1.389","55.56",".00","25.00","24.00","27.00","25.00","24.00","100.00","100.00","100.00","100.00","100.00","75.00","50.00","100.00","93.75","96.72","61.54",".00","28.57","8.33","25' 5""","2' 2""","87' 4""","45.65"
"3/11/2018","Valspar Championship","CUT","-2.090","-","2.000","1.611","38.89","5.56","29.00","26.00","32.00","-","-","100.00","100.00","25.00","100.00",".00","100.00","-","-","44.44","87.18","16.67",".00",".00",".00","10' 3""","3' 0""","52' 9""","16.67"
"2/25/2018","The Honda Classic","T59",".849","52.0","1.733","1.625","37.50",".00","29.25","32.00","27.00","28.00","30.00","100.00","100.00","66.67","85.71","100.00",".00","33.33","66.67","78.57","91.43","25.00","16.67","20.00","11.11","37' 10""","2' 4""","87' 9""","26.67"
"2/18/2018","Genesis Open","T20",".082","75.9","1.738","1.514","47.22","1.39","27.25","28.00","28.00","28.00","25.00","100.00","81.82","100.00",".00","100.00","50.00",".00","66.67","83.33","88.00","25.00","20.00",".00","8.33","27' 11""","2' 3""","67' 6""","30.95"
"2/11/2018","AT&T Pebble Beach","CUT","-.725","-","1.886","1.667","37.04","9.26","30.00","25.00","38.00","27.00","-","100.00","100.00","50.00",".00","-","100.00","40.00","-","50.00","76.19",".00","100.00",".00",".00","15' 9""","2' 3""","69' 8""","37.14"
"9/17/2017","BMW Championship","T58","-.514","98.0","1.733","1.583","44.44","2.78","28.50","32.00","28.00","29.00","25.00","100.00","80.00","100.00",".00","50.00","50.00","66.67","66.67","61.11","87.18","12.50","33.33","16.67",".00","23' 7""","2' 3""","64' 4""","40.00"
"9/4/2017","Dell Technologies Champ","CUT","-1.233","-","1.962","1.806","30.56","8.33","32.50","33.00","32.00","-","-","95.45","50.00","100.00","50.00","60.00","100.00","100.00","50.00","72.73","82.50","14.29","50.00",".00","7.69","49' 10""","2' 6""","89' 9""","23.08"
"8/27/2017","THE NORTHERN TRUST","T34",".308","72.1","1.870","1.611","38.89","5.56","29.00","30.00","27.00","27.00","32.00","100.00","100.00","75.00","83.33","50.00","50.00",".00","-","66.67","87.32","28.57","66.67",".00","8.33","29' 11""","3' 6""","81' 0""","23.91"
"8/13/2017","PGA Championship","T22","-.784","98.0","1.767","1.625","36.11","1.39","29.25","29.00","29.00","30.00","29.00","100.00","86.67","87.50","66.67","66.67",".00","37.50","66.67","68.42","83.33",".00","14.29",".00",".00","16' 8""","2' 2""","58' 6""","30.23"
"8/6/2017","WGC-Bridgestone Invit'l","T5",".218","83.0","1.771","1.569","38.89","1.39","28.25","26.00","28.00","31.00","28.00","100.00","100.00","83.33","66.67","50.00","66.67",".00","100.00","71.43","92.65","14.29","14.29","11.11","20.00","37' 5""","1' 10""","76' 9""","27.08"
"7/23/2017","The Open Championship","T4","-","-","1.762","1.486","44.44","1.39","26.75","30.00","24.00","28.00","25.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.71"
"6/25/2017","Travelers Championship","T17","-.918","104.8","1.830","1.694","30.56","2.78","30.50","30.00","29.00","33.00","30.00","100.00","92.31","75.00","-","66.67","75.00","50.00","16.67","72.73","85.90","22.22","25.00",".00",".00","15' 9""","2' 5""","60' 2""","26.42"
"6/18/2017","U.S. Open","CUT","-2.904","-","1.810","1.722","30.56","8.33","31.00","32.00","30.00","-","-","100.00","100.00","60.00","40.00","100.00",".00","33.33",".00","46.15","76.19","33.33",".00",".00",".00","13' 2""","3' 1""","61' 0""","25.00"
"5/14/2017","THE PLAYERS Championship","T35","1.077","65.0","1.750","1.500","51.39","4.17","27.00","26.00","30.00","25.00","27.00","97.50","75.00","100.00","75.00","80.00","75.00","33.33","50.00","85.71","86.49","41.67",".00",".00","10.53","33' 7""","2' 11""","83' 10""","35.00"
"4/9/2017","Masters Tournament","T7","-","-","1.864","1.611","40.28","6.94","29.00","27.00","30.00","33.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.55"
"3/26/2017","WGC-Dell Tech Match Play","T30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T4","-.313","114.3","1.635","1.556","47.22","2.78","28.00","30.00","28.00","26.00","28.00","100.00","87.50","83.33","100.00","100.00","33.33",".00","50.00","64.29","88.00","15.38","27.27","-","7.69","29' 10""","2' 5""","72' 2""","42.31"
"3/5/2017","WGC-Mexico Championship","T7",".259","84.8","1.750","1.583","44.44","5.56","28.50","30.00","27.00","27.00","30.00","100.00","90.91","57.14","85.71","50.00","50.00","50.00",".00","65.00","85.53","33.33",".00","10.00","13.33","28' 3""","2' 5""","73' 6""","29.41"
"10/30/2016","WGC-HSBC Champions","T4","-","-","1.673","1.583","41.67",".00","28.50","32.00","26.00","29.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","38.18"
"10/2/2016","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","1","-.107","36.7","1.643","1.597","40.28","2.78","28.75","29.00","27.00","32.00","27.00","100.00","85.71","83.33","80.00","75.00","75.00","100.00","50.00","78.95","91.43","38.46","10.00","14.29",".00","21' 9""","2' 5""","73' 1""","36.36"
"9/11/2016","BMW Championship","T42","-2.489","119.4","1.849","1.750","26.39","1.39","31.50","32.00","32.00","30.00","32.00","100.00","83.33","80.00",".00","50.00",".00","50.00","-","42.86","86.25","11.11",".00",".00","9.09","28' 9""","1' 11""","53' 2""","26.42"
"9/5/2016","Deutsche Bank Champ","1","1.325","64.3","1.604","1.486","52.78","1.39","26.75","28.00","25.00","26.00","28.00","100.00","87.50","100.00","66.67","33.33",".00","100.00","50.00","63.64","89.71","37.50","57.14","20.00",".00","22' 5""","2' 1""","84' 9""","47.17"
"8/28/2016","The Barclays","T31","-1.400","120.8","1.837","1.667","37.50","6.94","30.00","31.00","30.00","30.00","29.00","100.00","71.43","66.67","66.67","100.00","33.33",".00",".00","61.90","84.62","30.00","16.67",".00",".00","17' 4""","2' 7""","56' 6""","26.53"
"7/31/2016","PGA Championship","CUT","-2.288","-","1.889","1.806","22.22","2.78","32.50","35.00","30.00","-","-","100.00","100.00","100.00","25.00","33.33",".00",".00","-","30.00","80.95","16.67",".00",".00","14.29","33' 11""","2' 2""","61' 9""","14.81"
"7/17/2016","The Open Championship","T5","-","-","1.766","1.625","43.06","5.56","29.25","28.00","30.00","30.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.17"
"6/19/2016","U.S. Open","CUT","-","-","1.900","1.750","25.00","2.78","31.50","34.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.00"
"6/5/2016","the Memorial Tournament","T4","1.826","57.5","1.604","1.486","54.17","2.78","26.75","29.00","26.00","26.00","26.00","100.00","87.50","100.00","75.00","80.00","83.33",".00",".00","85.00","85.29","57.14","36.36","50.00","8.33","36' 3""","2' 7""","102' 9""","52.08"
"5/15/2016","THE PLAYERS Championship","T12","-.914","111.8","1.782","1.653","38.89","6.94","29.75","30.00","22.00","37.00","30.00","97.87","100.00","71.43","83.33","100.00","50.00","33.33",".00","73.68","80.72","37.50",".00",".00","6.25","26' 6""","3' 0""","61' 3""","29.63"
"5/8/2016","Wells Fargo Championship","T4",".101","107.2","1.717","1.597","44.44","6.94","28.75","31.00","26.00","30.00","28.00","97.78","100.00","83.33","60.00","60.00","25.00","50.00",".00","60.00","85.33","10.00","40.00",".00","15.38","79' 9""","2' 8""","92' 6""","48.89"
"4/10/2016","Masters Tournament","T10","-","-","1.826","1.708","34.72","5.56","30.75","31.00","29.00","34.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.96"
"3/27/2016","WGC-Dell Match Play","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/20/2016","Arnold Palmer Invt'l","T27",".972","93.4","1.605","1.444","51.39","1.39","26.00","28.00","25.00","29.00","22.00","100.00","100.00","50.00","100.00","33.33","50.00","66.67","50.00","50.00","87.69","33.33","50.00","14.29","33.33","59' 0""","2' 2""","113' 1""","40.48"
"3/6/2016","WGC-Cadillac Championship","T3",".697","34.8","1.714","1.556","43.06","1.39","28.00","33.00","23.00","27.00","29.00","100.00","100.00","83.33","100.00","66.67","85.71","50.00","50.00","80.95","90.54","33.33","40.00",".00",".00","19' 10""","2' 5""","70' 4""","34.69"
"2/28/2016","The Honda Classic","CUT","-1.181","-","1.810","1.611","30.56","2.78","29.00","31.00","27.00","-","-","96.00","100.00","40.00","100.00","-","-","100.00",".00","57.14","81.08","33.33","33.33",".00",".00","15' 11""","1' 8""","60' 10""","33.33"
"2/21/2016","Northern Trust Open","T20",".308","94.7","1.837","1.667","36.11","5.56","30.00","27.00","33.00","27.00","33.00","100.00","100.00","77.78","100.00","25.00","60.00","33.33",".00","66.67","86.30","21.43","33.33","12.50","10.53","58' 5""","2' 9""","89' 4""","32.65"
"11/8/2015","WGC-HSBC Champions","T11","-","-","1.726","1.694","34.72","4.17","30.50","29.00","33.00","32.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.48"
