"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","T43","1.177","66.67","33.33","25.00","50.00","32' 7""","35' 4""","28' 3""","44' 6""","26' 6""","77' 0""","42' 4""","23' 10""","17' 7""","-","13' 7""","25' 10""","19' 9""","20' 5""","27' 10""","29' 5""","32' 4""","-","-","-","9' 5""","35' 4""","-","9' 5""","48' 6""","37' 6""","33' 2""","24' 3""","24' 3""","-","-","-","-"
"1/20/2019","Desert Classic","T18","-.249","72.22","37.50","33.33","66.67","29' 9""","22' 7""","25' 5""","17' 11""","25' 8""","-","73' 10""","8' 10""","31' 2""","19' 3""","9' 10""","9' 5""","11' 6""","14' 5""","27' 2""","30' 5""","43' 9""","-","-","-","51' 5""","21' 7""","24' 2""","51' 5""","-","10' 3""","-","21' 9""","18' 2""","24' 2""","-","2","-"
"1/13/2019","Sony Open in Hawaii","T43",".389","70.83","55.56","40.00","60.00","34' 6""","54' 11""","39' 2""","67' 7""","27' 11""","-","-","37' 3""","44' 10""","21' 11""","15' 9""","11' 8""","13' 6""","19' 10""","26' 4""","45' 11""","44' 0""","-","-","63' 7""","92' 2""","56' 9""","23' 10""","77' 11""","66' 8""","41' 1""","7' 1""","23' 10""","-","-","23' 10""","1","17"
"11/25/2018","(*) ISPS Handa World Cup","T14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","68","-","55.56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT",".939","77.78","12.50",".00",".00","29' 7""","43' 11""","40' 8""","50' 4""","25' 0""","-","-","87' 3""","48' 4""","7' 6""","8' 9""","12' 3""","10' 6""","35' 9""","21' 0""","37' 3""","61' 4""","-","-","96' 0""","71' 1""","62' 5""","7' 0""","83' 7""","-","21' 4""","61' 1""","7' 0""","-","-","7' 0""","-","-"
"9/3/2018","Dell Technologies Champ","T43",".460","63.89","50.00","25.00","75.00","36' 4""","40' 4""","42' 9""","40' 0""","29' 10""","96' 2""","65' 6""","35' 1""","46' 4""","12' 9""","7' 1""","15' 11""","14' 9""","18' 10""","18' 9""","35' 6""","48' 7""","-","-","-","34' 7""","43' 9""","16' 5""","34' 7""","54' 9""","42' 7""","-","29' 7""","42' 9""","-","16' 5""","1","109"
"8/26/2018","THE NORTHERN TRUST","CUT",".292","75.00","12.50",".00",".00","32' 6""","73' 7""","-","73' 7""","27' 5""","-","-","29' 4""","42' 2""","17' 2""","17' 11""","-","17' 8""","28' 0""","22' 4""","32' 3""","38' 11""","-","-","-","-","73' 7""","-","-","63' 11""","83' 2""","-","-","-","-","-","-","-"
"8/12/2018","PGA Championship","T35",".509","72.22",".00","-","-","29' 4""","34' 7""","7' 2""","48' 4""","28' 6""","-","-","54' 0""","36' 10""","33' 6""","21' 6""","18' 8""","21' 2""","18' 10""","30' 1""","26' 6""","42' 2""","-","-","-","-","40' 6""","4' 9""","-","56' 6""","-","-","12' 8""","16' 7""","4' 9""","-","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T48","-1.132","59.72","12.50",".00","100.00","32' 0""","37' 2""","29' 1""","39' 5""","27' 5""","-","-","37' 6""","38' 1""","52' 8""","22' 4""","18' 10""","23' 9""","21' 2""","25' 11""","27' 8""","37' 11""","-","-","-","-","37' 9""","29' 6""","-","32' 5""","78' 9""","28' 8""","29' 6""","-","29' 6""","-","-","-"
