"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","T43",".087","66.67","7' 8""","58.33","100.00","50.00","66.67","50.00","66.67","66.67"
"1/20/2019","Desert Classic","T18","-.074",".00","9' 11""","60.00","100.00","54.55",".00","100.00","40.00","100.00"
"1/13/2019","Sony Open in Hawaii","T43",".624","80.00","8' 11""","80.95","100.00","83.33","50.00","75.00","85.71","100.00"
"11/25/2018","(*) ISPS Handa World Cup","T14","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","68","-",".00","-","43.75","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT","-.354","66.67","7' 5""","50.00","-",".00",".00","33.33",".00","100.00"
"9/3/2018","Dell Technologies Champ","T43","-.159","25.00","7' 1""","50.00","-","61.54","16.67","20.00","60.00","100.00"
"8/26/2018","THE NORTHERN TRUST","CUT","-.251",".00","21' 10""","44.44","100.00","50.00",".00","33.33",".00","100.00"
"8/12/2018","PGA Championship","T35",".030","50.00","14' 8""","55.00","-","80.00","20.00","66.67","70.00","50.00"
"8/5/2018","WGC-Bridgestone Invit'l","T48",".241","62.50","8' 9""","62.07","100.00","66.67","37.50",".00","71.43","83.33"
"7/22/2018","The Open Championship","CUT","-","66.67","-","61.11","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","T38","-.374",".00","18' 0""","76.47","100.00","80.00",".00","100.00","57.14","100.00"
"6/17/2018","U.S. Open","T12","-.036","72.73","9' 3""","43.33",".00",".00","36.36","44.44","44.44","100.00"
"6/3/2018","the Memorial Tournament","T44",".245","62.50","9' 3""","73.33","100.00","100.00","33.33","-","83.33","100.00"
"5/27/2018","Fort Worth Invitational","T20",".815","66.67","6' 9""","68.42","100.00","66.67","50.00","100.00","60.00","75.00"
"5/20/2018","AT&T Byron Nelson","T16","-.648","25.00","12' 7""","66.67","100.00",".00",".00","66.67","66.67","100.00"
"5/13/2018","THE PLAYERS Championship","CUT",".117","100.00","10' 6""","70.00","-","50.00",".00","100.00","60.00","100.00"
"4/29/2018","Zurich Classic of New Orl","T7","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","CUT","-.086","50.00","23' 9""","56.25","100.00","50.00",".00","50.00","66.67","100.00"
"4/15/2018","RBC Heritage","T40",".229","83.33","4' 0""","70.37","100.00","25.00","20.00","100.00","71.43","100.00"
"4/1/2018","Houston Open","CUT","-.191",".00","11' 9""","63.64","66.67","100.00","-",".00","71.43","100.00"
"3/18/2018","Arnold Palmer Invt'l","T73","-.178","30.77","6' 8""","50.00","100.00",".00","42.86","40.00","41.67","100.00"
"3/11/2018","Valspar Championship","T16",".571","83.33","4' 9""","69.23","-","69.23",".00","66.67","72.22","100.00"
"2/25/2018","The Honda Classic","CUT","-.430","50.00","8' 6""","52.94","100.00","42.86","33.33","33.33","66.67","100.00"
"2/11/2018","AT&T Pebble Beach","T15",".461","40.00","10' 6""","55.56","-","75.00","100.00","100.00","40.00","100.00"
"2/4/2018","Waste Management Phoenix","CUT","-.083","66.67","5' 10""","66.67","100.00","50.00",".00",".00","100.00","66.67"
"1/28/2018","Farmers Insurance Open","T29",".535","42.86","8' 10""","57.14","100.00","44.44","33.33","33.33","62.50","75.00"
"1/21/2018","CareerBuilder Challenge","T29","-.368","100.00","7' 0""","75.00","100.00","75.00",".00","-","40.00","100.00"
"1/14/2018","Sony Open in Hawaii","T10","1.144","33.33","10' 0""","53.33","50.00","100.00",".00","57.14","50.00","100.00"
"11/19/2017","The RSM Classic","T37",".846","100.00","6' 1""","84.62","-","100.00","50.00","100.00","66.67","100.00"
"11/12/2017","OHL Classic at Mayakoba","T9","-","100.00","-","68.00","-","70.00","-","-","-","-"
"11/5/2017","Shriners Hospitals","T72",".259",".00","19' 11""","41.67",".00","18.18",".00",".00","56.25","100.00"
"10/15/2017","CIMB Classic","T63","-","28.57","-","38.89","-","-","-","-","-","-"
"9/4/2017","Dell Technologies Champ","T61","-.278","25.00","8' 11""","64.00","100.00","62.50","50.00","50.00","50.00","100.00"
"8/27/2017","THE NORTHERN TRUST","CUT","-.726","33.33","9' 10""","46.67","-","50.00","50.00","50.00","28.57","100.00"
"8/20/2017","Wyndham Championship","T28",".500","25.00","7' 6""","60.00","100.00","100.00",".00","66.67","50.00","100.00"
"8/13/2017","PGA Championship","CUT","-.692","25.00","6' 8""","35.29","-","27.27","50.00","16.67","37.50","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","T5",".170","33.33","8' 6""","55.56","100.00","61.54","60.00","37.50","50.00","100.00"
"7/23/2017","The Open Championship","CUT","-","40.00","-","55.56","-","-","-","-","-","-"
"6/25/2017","Travelers Championship","T62","-.752","28.57","7' 4""","50.00","100.00","42.86",".00",".00","70.00","66.67"
"6/18/2017","U.S. Open","CUT","-.753",".00","-","58.33","100.00",".00","50.00","40.00","50.00","100.00"
"6/11/2017","FedEx St. Jude Classic","T37",".595","25.00","8' 7""","69.23","100.00","62.50",".00","100.00","81.82","75.00"
"6/4/2017","the Memorial Tournament","T65",".035","50.00","8' 11""","51.43","100.00","53.33","16.67","25.00","64.29","87.50"
"5/14/2017","THE PLAYERS Championship","CUT","-.479","33.33","10' 11""","50.00","100.00","-","100.00","33.33","40.00","100.00"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/16/2017","RBC Heritage","T11","-.128","40.00","7' 11""","78.26","100.00","100.00","100.00","100.00","68.75","100.00"
"4/9/2017","Masters Tournament","CUT","-",".00","-","30.77","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T39","-","-","-","-","-","-","-","-","-","-"
"3/12/2017","Valspar Championship","CUT","-.423","20.00","9' 9""","54.55","-","50.00",".00","50.00","40.00","100.00"
"3/5/2017","WGC-Mexico Championship","70","-.688","12.50","17' 4""","58.33","100.00","64.29",".00","85.71","66.67","77.78"
"2/26/2017","The Honda Classic","CUT",".674","50.00","11' 4""","45.00","-","50.00","50.00","66.67","42.86","33.33"
"2/5/2017","Waste Management Phoenix","CUT","-.368","20.00","13' 6""","46.15","-",".00",".00",".00","50.00","100.00"
"1/15/2017","Sony Open in Hawaii","T11",".075","60.00","7' 11""","72.22","100.00","50.00",".00","100.00","60.00","88.89"
"1/8/2017","SBS Tournament of Champ","T17",".253",".00","8' 8""","50.00","100.00","50.00",".00","100.00","80.00","-"
"12/10/2016","(*) Franklin Templeton","T9","-","-","-","-","-","-","-","-","-","-"
"12/4/2016","(*) Hero World Challenge","16","-","-","-","-","-","-","-","-","-","-"
"11/27/2016","(*) ISPS HANDA World Cup","T19","-","-","-","-","-","-","-","-","-","-"
"11/13/2016","OHL Classic at Mayakoba","3","-","66.67","-","77.78","-","85.71","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T9","-","-","-","65.00","-","-","-","-","-","-"
"10/23/2016","CIMB Classic","T10","-","87.50","-","69.23","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","23","-.395","25.00","7' 3""","54.84","100.00","50.00","33.33","66.67","64.29","60.00"
"9/11/2016","BMW Championship","T17",".347","50.00","10' 0""","71.43","100.00","75.00",".00","100.00","80.00","83.33"
"9/5/2016","Deutsche Bank Champ","T15","-.271","80.00","8' 0""","68.75","-","72.73","50.00","75.00","40.00","100.00"
"8/28/2016","The Barclays","T60",".665","64.29","6' 10""","62.07","100.00","57.14","28.57","25.00","78.57","100.00"
"8/7/2016","Travelers Championship","1",".085","33.33","8' 4""","66.67","80.00","75.00",".00","100.00","33.33","100.00"
"7/31/2016","PGA Championship","T22",".057","75.00","4' 7""","58.82","100.00","50.00","16.67","100.00","83.33","75.00"
"7/17/2016","The Open Championship","T30","-",".00","-","52.17","-","-","-","-","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","54","-.359","50.00","4' 2""","50.00","100.00","46.15","10.00","75.00","71.43","85.71"
"6/19/2016","U.S. Open","T23","-","50.00","-","57.14","-","-","-","-","-","-"
"6/5/2016","the Memorial Tournament","64","-.017","33.33","5' 8""","50.00","100.00","53.85","20.00",".00","33.33","90.00"
"5/15/2016","THE PLAYERS Championship","T19",".436","83.33","4' 10""","76.19","80.00","71.43","-","33.33","90.91","100.00"
"4/17/2016","RBC Heritage","T2",".162","50.00","10' 5""","71.43","66.67","80.00",".00","80.00","66.67","100.00"
"4/10/2016","Masters Tournament","CUT","-","33.33","-","30.00","-","-","-","-","-","-"
"3/27/2016","WGC-Dell Match Play","T28","-","-","-","-","-","-","-","-","-","-"
"3/13/2016","Valspar Championship","T56",".065","31.25","12' 4""","57.14","100.00","69.23","50.00","50.00","43.75","100.00"
"3/6/2016","WGC-Cadillac Championship","27","-.151","42.86","9' 8""","58.33","100.00","53.85","33.33","60.00","50.00","100.00"
"2/28/2016","The Honda Classic","T26","-.244",".00","12' 0""","60.00","100.00","69.23","50.00",".00","77.78","80.00"
"2/14/2016","AT&T Pebble Beach","CUT","-.078","57.14","11' 1""","68.18","100.00","60.00",".00","100.00","75.00","100.00"
"1/17/2016","Sony Open in Hawaii","CUT","1.091","40.00","11' 1""","60.00","50.00","50.00","100.00","33.33","62.50","66.67"
"1/10/2016","Hyundai T of C","27","-.146","100.00","1' 9""","62.50","100.00","50.00","25.00","100.00","100.00","100.00"
"11/15/2015","OHL Classic at Mayakoba","T2","-","100.00","-","78.57","100.00","80.00","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","1","-","-","-","63.64","-","-","-","-","-","-"
"11/1/2015","CIMB Classic","T21","-","83.33","-","81.25","-","-","-","-","-","-"
"10/25/2015","Shriners Hospitals","T38",".163","50.00","13' 5""","55.56","100.00","33.33",".00",".00","100.00","60.00"
"10/18/2015","Frys.com Open","CUT",".528","66.67","12' 0""","85.71","-","88.89","50.00","100.00","85.71","100.00"
"9/20/2015","BMW Championship","T45",".308",".00","7' 9""","57.69","100.00","45.45","25.00","50.00","63.64","85.71"
"9/7/2015","Deutsche Bank Champ","T12","-.242","33.33","14' 1""","52.94","100.00","42.86","50.00","33.33","50.00","83.33"
"8/30/2015","The Barclays","T20",".249","75.00","8' 7""","57.89","100.00","75.00","25.00","66.67","100.00","75.00"
"8/23/2015","Wyndham Championship","CUT","-.417","-","-","50.00","100.00",".00",".00",".00","100.00","100.00"
"8/16/2015","PGA Championship","CUT",".033",".00","5' 9""","52.94","100.00","50.00",".00","50.00","71.43","75.00"
"8/2/2015","Quicken Loans National","T39","-.010",".00","10' 0""","45.45","100.00","42.86","100.00",".00","25.00","75.00"
"7/19/2015","The Open Championship","CUT","-",".00","-","28.57","-","-","-","-","-","-"
"6/28/2015","Travelers Championship","W/D","-.206","50.00","8' 7""","42.86","-",".00","33.33",".00","66.67","-"
"6/14/2015","FedEx St. Jude Classic","T8",".033","60.00","11' 6""","73.08","100.00","66.67","33.33","62.50","85.71","100.00"
"6/7/2015","the Memorial Tournament","T18",".813","60.00","8' 6""","69.57","100.00","60.00","50.00",".00","88.89","85.71"
"5/24/2015","Crowne Plaza Invitational","T24",".266","66.67","4' 9""","64.29","100.00","100.00","20.00","-","87.50","100.00"
"5/17/2015","Wells Fargo Championship","T58",".635","33.33","5' 5""","60.00","80.00","70.00","50.00","100.00","58.33","60.00"
"5/10/2015","THE PLAYERS Championship","T17",".442","40.00","7' 2""","65.22","100.00","60.00","33.33","50.00","50.00","100.00"
"4/26/2015","Zurich Classic of New Orl","T43","-.147",".00","7' 0""","66.67","100.00",".00","-",".00","71.43","75.00"
"4/19/2015","RBC Heritage","T18",".084","75.00","10' 0""","68.00","50.00","60.00","50.00",".00","75.00","80.00"
"3/29/2015","Valero Texas Open","CUT","-.320",".00","26' 8""","42.86","100.00","100.00",".00","25.00","100.00","100.00"
"3/22/2015","Arnold Palmer Invt'l","T29","-.476","28.57","10' 8""","64.71","100.00","60.00","50.00","33.33","83.33","100.00"
"3/15/2015","Valspar Championship","T33","-.212","50.00","7' 1""","59.26","100.00","53.33",".00","25.00","60.00","81.82"
"3/1/2015","The Honda Classic","T3",".483","50.00","10' 10""","78.26","100.00","90.91","60.00","60.00","100.00","83.33"
"2/8/2015","Farmers Insurance Open","CUT","-.903","50.00","15' 5""","58.33","50.00","57.14","-","33.33","66.67","66.67"
"2/1/2015","Waste Management Phoenix","T15",".183","33.33","21' 1""","72.73","100.00","80.00","50.00","75.00","66.67","100.00"
"1/25/2015","Humana Challenge","CUT","-.353","50.00","-","53.33","-","62.50",".00","100.00","-","100.00"
"1/18/2015","Sony Open in Hawaii","T13",".627","44.44","10' 3""","52.17","-","66.67","16.67",".00","61.54","100.00"
"11/16/2014","OHL Classic at Mayakoba","T37","-","100.00","-","68.18","66.67","60.00","-","-","-","-"
"11/9/2014","Sanderson Farms Champ.","T35","-.115","33.33","7' 0""","63.16","50.00","100.00",".00","66.67","55.56","100.00"
"10/26/2014","The McGladrey Classic","CUT","-.817",".00","34' 3""","33.33","-","50.00","33.33",".00","33.33","100.00"
"10/19/2014","Shriners Hospitals","3","1.502","75.00","6' 2""","57.14","100.00","42.86",".00","50.00","80.00","66.67"
"10/12/2014","Frys.com Open","T68","-.964","40.00","11' 11""","48.00","75.00","50.00",".00",".00","54.55","100.00"
"9/7/2014","BMW Championship","T23",".673","20.00","8' 0""","53.85","100.00","30.00","20.00","62.50","60.00","66.67"
"9/1/2014","Deutsche Bank Champ","T26",".311","57.14","6' 6""","88.24","100.00","71.43","100.00","100.00","77.78","100.00"
"8/24/2014","The Barclays","T38",".261","66.67","13' 5""","70.37","100.00","75.00","40.00","50.00","80.00","100.00"
"8/10/2014","PGA Championship","CUT","-.623","50.00","14' 4""","64.29","100.00","75.00",".00","50.00","100.00","66.67"
"7/27/2014","RBC Canadian Open","T29",".833","77.78","4' 10""","74.07","100.00","57.14",".00","50.00","90.91","90.00"
"6/29/2014","Quicken Loans National","T24","-.129","66.67","10' 4""","62.50","100.00","66.67","33.33","62.50","75.00","100.00"
"6/22/2014","Travelers Championship","T61",".540","33.33","12' 8""","71.43","100.00","80.00","20.00",".00","87.50","100.00"
