"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"1/27/2019","Farmers Insurance Open","T43",".623","-.641","285.1","285.5","307","42.86","29' 7""","28.57","26.19","132","109.86","22"
"1/20/2019","Desert Classic","T18",".207",".529","289.9","277.8","307","67.86","32' 0""","14.29","10.71","45","111.98","20"
"1/13/2019","Sony Open in Hawaii","T43",".622","-.392","311.1","284.8","337","60.71","15' 6""","14.29","16.07","42","110.05","75"
"11/25/2018","(*) ISPS Handa World Cup","T14","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","68","-","-","-","-","310","57.14","-","-","-","-","-","-"
"10/7/2018","Safeway Open","CUT",".132","-.454","280.0","271.5","297","64.29","37' 2""","17.86","10.71","1,998","109.06","1,998"
"9/3/2018","Dell Technologies Champ","T43","-.361","-.662","296.9","283.0","320","64.29","24' 6""","1.79","12.50","85","111.93","86"
"8/26/2018","THE NORTHERN TRUST","CUT","-.130","-.171","269.0","272.1","311","82.14","20' 2""","3.57","10.71","1,998","110.08","1,998"
"8/12/2018","PGA Championship","T35","-.306","-.845","291.9","273.9","311","73.21","25' 7""","3.64","9.09","75","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T48","-1.401","-.510","311.0","292.3","362","57.14","22' 8""","10.71","23.21","67","111.41","95"
"7/22/2018","The Open Championship","CUT","-","-","302.8","-","352","50.00","-","-","-","1,998","-","-"
"6/24/2018","Travelers Championship","T38",".380",".485","281.0","278.3","330","80.36","12' 2""","12.50","1.79","75","111.38","101"
"6/17/2018","U.S. Open","T12",".519",".103","292.0","283.8","366","83.93","-","3.57","10.71","60","-","-"
"6/3/2018","the Memorial Tournament","T44","1.400",".155","274.4","276.3","311","78.57","15' 3""","1.79","16.07","79","112.30","71"
"5/27/2018","Fort Worth Invitational","T20","2.216",".274","291.0","278.1","323","60.71","22' 6""","5.36","14.29","90","112.03","118"
"5/20/2018","AT&T Byron Nelson","T16",".216",".503","288.5","291.0","366","89.29","17' 10""","1.79",".00","71","112.13","56"
"5/13/2018","THE PLAYERS Championship","CUT","-.097","-.183","286.5","285.5","341","71.43","21' 2""","7.14","3.57","1,998","111.66","1,998"
"4/29/2018","Zurich Classic of New Orl","T7","-","-","-","-","-","-","-","-","-","-","-","-"
"4/22/2018","Valero Texas Open","CUT",".201","-.584","299.8","283.9","340","50.00","26' 8""","17.86","14.29","1,998","111.81","1,998"
"4/15/2018","RBC Heritage","T40","1.144","-.624","275.6","270.1","326","58.93","27' 5""","7.27","9.09","106","112.76","103"
"4/1/2018","Houston Open","CUT","-.204",".686","271.8","271.7","313","75.00","35' 5""","14.29","10.71","1,998","111.48","1,998"
"3/18/2018","Arnold Palmer Invt'l","T73","-1.029","-.345","283.1","278.0","314","64.29","18' 4""","14.29","10.71","117","110.28","116"
"3/11/2018","Valspar Championship","T16",".751",".467","284.1","274.2","334","65.38","23' 3""","17.65","5.88","73","112.21","137"
"2/25/2018","The Honda Classic","CUT","-.967",".178","287.0","271.6","334","64.29","21' 9""","14.29","17.86","1,998","110.42","1,998"
"2/11/2018","AT&T Pebble Beach","T15","1.753",".830","308.1","268.1","375","81.82","27' 1""","3.57","3.57","12","108.86","71"
