"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","T43","-.863","76.2","1.729","1.597","40.28",".00","28.75","27.00","28.00","29.00","31.00","97.37","100.00","60.00","40.00","50.00",".00",".00","50.00","42.86","81.97","44.44",".00",".00",".00","14' 10""","1' 10""","60' 0""","29.17"
"1/20/2019","Desert Classic","T18","-.826","90.2","1.635","1.486","45.83","2.78","26.75","29.00","26.00","23.00","29.00","96.00",".00","66.67",".00","100.00","100.00","33.33","50.00","71.43","81.58","33.33","33.33",".00",".00","18' 9""","2' 3""","71' 10""","42.31"
"1/13/2019","Sony Open in Hawaii","T43","-.110","108.7","1.824","1.625","38.89","4.17","29.25","24.00","30.00","30.00","33.00","100.00","100.00","50.00","100.00","50.00","42.86","25.00","66.67","56.25","85.53","22.22","40.00","20.00","4.55","42' 3""","2' 2""","75' 1""","25.49"
"11/25/2018","(*) ISPS Handa World Cup","T14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","68","-","-","1.750","1.667","33.33","2.78","30.00","32.00","31.00","28.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.64"
"10/7/2018","Safeway Open","CUT","-.614","-","1.750","1.639","38.89","2.78","29.50","27.00","32.00","-","-","95.83","100.00","85.71","66.67","100.00","33.33","-",".00","73.33","85.37","33.33",".00",".00",".00","11' 11""","2' 2""","54' 9""","28.57"
"9/3/2018","Dell Technologies Champ","T43",".458","45.5","1.652","1.556","41.67",".00","28.00","27.00","27.00","29.00","29.00","100.00","93.75","80.00","100.00","100.00","100.00","33.33","33.33","90.00","91.55","50.00","15.38","25.00",".00","21' 5""","1' 11""","67' 4""","35.56"
"8/26/2018","THE NORTHERN TRUST","CUT","-1.809","-","1.926","1.833","25.00","8.33","33.00","33.00","33.00","-","-","96.15","85.71","50.00","50.00","-","-","33.33",".00","50.00","82.93",".00","33.33",".00",".00","19' 9""","2' 2""","60' 4""","18.52"
"8/12/2018","PGA Championship","T35","1.258","84.8","1.731","1.625","43.06","5.56","29.25","30.00","30.00","29.00","28.00","100.00","77.78","100.00","71.43","50.00","-","100.00","25.00","73.33","87.14","41.67","60.00","20.00","8.00","41' 9""","2' 3""","94' 10""","34.62"
"8/5/2018","WGC-Bridgestone Invit'l","T48",".806","82.2","1.744","1.583","44.44","2.78","28.50","26.00","29.00","29.00","30.00","100.00","75.00","57.14","100.00","66.67","100.00",".00",".00","72.22","85.92","38.46","40.00","12.50","17.65","43' 7""","1' 7""","92' 9""","30.23"
"7/22/2018","The Open Championship","CUT","-","-","1.889","1.611","41.67","2.78","29.00","30.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16.67"
"6/24/2018","Travelers Championship","T38",".306","87.6","1.855","1.681","33.33","4.17","30.25","32.00","26.00","35.00","28.00","100.00","88.89","75.00","66.67","66.67","100.00","-","-","76.92","94.03","25.00","16.67","20.00","5.00","26' 11""","2' 1""","74' 10""","21.82"
"6/17/2018","U.S. Open","T12","1.875","37.3","1.810","1.667","34.72","1.39","30.00","29.00","29.00","31.00","31.00","100.00","100.00","71.43","83.33","50.00","66.67","100.00",".00","72.22","91.18","36.36","36.36","9.09","5.26","54' 4""","2' 7""","91' 2""","26.19"
"6/3/2018","the Memorial Tournament","T44","-1.034","105.8","1.860","1.736","29.17","2.78","31.25","35.00","27.00","30.00","33.00","100.00","100.00","75.00","75.00","80.00",".00","-","33.33","55.56","87.01","14.29","11.11",".00","13.33","37' 8""","2' 0""","65' 10""","19.30"
"5/27/2018","Fort Worth Invitational","T20","-1.087","106.3","1.811","1.653","30.56","4.17","29.75","31.00","30.00","29.00","29.00","97.83","100.00","100.00","66.67","75.00","33.33","20.00",".00","70.59","85.33","16.67","12.50",".00","12.50","40' 0""","2' 1""","67' 2""","23.08"
