"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/27/2019","Farmers Insurance Open","CUT","-1.300","61.11","25.00",".00",".00","35' 7""","38' 1""","17' 1""","59' 1""","34' 10""","-","-","72' 1""","39' 0""","28' 10""","-","32' 4""","31' 2""","7' 8""","21' 8""","21' 11""","50' 0""","-","-","-","-","47' 4""","10' 2""","-","85' 5""","32' 8""","-","17' 1""","24' 0""","-","10' 2""","-","-"
"1/13/2019","Sony Open in Hawaii","CUT","-.051","75.00","40.00",".00","100.00","33' 3""","55' 11""","52' 0""","71' 8""","25' 5""","-","-","-","39' 1""","25' 10""","11' 6""","32' 4""","18' 6""","22' 11""","23' 1""","30' 9""","39' 1""","-","-","-","71' 8""","55' 11""","-","71' 8""","38' 8""","65' 4""","-","-","-","-","-","-","-"
"1/6/2019","Sentry T of C","T32","-1.235","72.22","30.43",".00","42.86","36' 5""","47' 0""","-","47' 0""","33' 2""","-","75' 5""","65' 8""","27' 4""","24' 11""","17' 1""","26' 3""","22' 11""","36' 6""","26' 5""","23' 3""","47' 0""","-","-","-","-","56' 4""","18' 11""","-","-","85' 0""","37' 9""","46' 2""","46' 2""","-","-","-","-"
"11/25/2018","(*) ISPS Handa World Cup","T23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","T41",".575","77.78","87.50","40.00","60.00","42' 0""","43' 7""","38' 5""","45' 4""","35' 2""","98' 10""","40' 0""","72' 0""","33' 3""","-","20' 6""","39' 4""","31' 3""","26' 11""","29' 3""","30' 6""","55' 11""","-","117' 2""","-","-","43' 7""","-","117' 2""","44' 9""","48' 1""","29' 7""","5' 7""","5' 7""","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T37","-","51.39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T43","-","73.61","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","CUT","-2.403","50.00","37.50",".00","33.33","37' 5""","39' 4""","47' 9""","22' 6""","34' 5""","-","-","46' 9""","64' 10""","18' 10""","13' 7""","24' 5""","19' 0""","28' 3""","20' 5""","39' 0""","58' 9""","-","-","-","-","36' 3""","40' 11""","-","36' 3""","-","-","40' 11""","-","22' 6""","59' 3""","-","-"
"8/26/2018","THE NORTHERN TRUST","CUT","-1.860","52.78","12.50",".00",".00","36' 8""","47' 7""","-","47' 7""","30' 3""","-","-","31' 5""","46' 8""","-","15' 11""","21' 9""","20' 7""","17' 1""","20' 11""","27' 2""","45' 2""","-","-","-","46' 1""","65' 0""","30' 2""","46' 1""","71' 3""","-","-","30' 2""","-","30' 2""","-","-","-"
"8/19/2018","Wyndham Championship","CUT","-.166","55.56","50.00",".00",".00","32' 7""","55' 10""","-","55' 10""","29' 9""","-","51' 7""","99' 1""","37' 4""","5' 1""","-","18' 8""","14' 2""","10' 4""","29' 2""","26' 4""","57' 0""","-","-","-","-","48' 4""","78' 1""","-","68' 10""","-","38' 2""","78' 1""","-","78' 1""","-","-","-"
