"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"1/27/2019","Farmers Insurance Open","CUT",".174","66.67","4' 11""","28.57",".00","28.57",".00",".00","66.67","100.00"
"1/13/2019","Sony Open in Hawaii","CUT","-.398","50.00","8' 2""","44.44","-",".00",".00","50.00","66.67","50.00"
"1/6/2019","Sentry T of C","T32","-1.063","33.33","12' 8""","50.00","100.00","33.33",".00","60.00","50.00","100.00"
"11/25/2018","(*) ISPS Handa World Cup","T23","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","T41",".417","50.00","15' 10""","62.50","50.00","100.00","100.00","66.67","55.56","100.00"
"10/28/2018","WGC-HSBC Champions","T37","-","50.00","-","57.14","-","-","-","-","-","-"
"10/14/2018","CIMB Classic","T43","-","25.00","-","63.16","-","-","-","-","-","-"
"9/3/2018","Dell Technologies Champ","CUT",".211","50.00","12' 7""","61.11","100.00","57.14",".00","50.00","55.56","100.00"
"8/26/2018","THE NORTHERN TRUST","CUT","-.615","33.33","14' 3""","47.06","-","28.57","66.67","50.00","33.33","66.67"
"8/19/2018","Wyndham Championship","CUT","-.795",".00","8' 7""","43.75","100.00","33.33",".00","33.33","42.86","100.00"
"8/12/2018","PGA Championship","T59","-.077","50.00","6' 11""","68.75","100.00","85.71","50.00","77.78","66.67","85.71"
"8/5/2018","WGC-Bridgestone Invit'l","T63","-.654","33.33","8' 2""","43.48","100.00","38.46",".00",".00","50.00","62.50"
"7/22/2018","The Open Championship","T35","-","25.00","-","66.67","-","-","-","-","-","-"
"6/24/2018","Travelers Championship","CUT","-2.874",".00","49' 1""","33.33","100.00","40.00",".00","50.00",".00","100.00"
"6/17/2018","U.S. Open","CUT","-1.039","25.00","7' 3""","17.65","-",".00","11.11",".00",".00","100.00"
"6/3/2018","the Memorial Tournament","CUT","-.672","33.33","7' 0""","57.14","100.00","50.00","60.00","100.00","40.00","66.67"
"5/27/2018","Fort Worth Invitational","T20","-.588","33.33","9' 4""","50.00","100.00","62.50","60.00","25.00","50.00","66.67"
"5/20/2018","AT&T Byron Nelson","CUT","-1.232","100.00","11' 1""","14.29","-","-",".00","20.00","-","-"
"5/13/2018","THE PLAYERS Championship","CUT","-1.175","50.00","11' 3""","57.14","100.00","33.33",".00","66.67","66.67","100.00"
"4/15/2018","RBC Heritage","1","-.418","40.00","11' 3""","73.91","100.00","50.00","100.00","100.00","54.55","88.89"
"4/8/2018","Masters Tournament","T28","-","80.00","-","55.17","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT","-1.789","28.57","19' 4""","42.11","100.00",".00",".00","50.00","50.00","50.00"
"3/4/2018","WGC-Mexico Championship","54","-1.976","28.57","13' 8""","45.16","100.00","40.91","25.00","40.00","41.67","60.00"
"1/14/2018","Sony Open in Hawaii","CUT","-1.186","44.44","9' 10""","37.50","-","33.33","33.33",".00","25.00","100.00"
"8/13/2017","PGA Championship","T48",".361","33.33","9' 9""","57.14","85.71","42.86","42.86","27.27","72.73","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","T47","-.435","36.36","9' 3""","63.64","50.00","84.62","66.67","75.00","56.25","77.78"
"6/18/2017","U.S. Open","T46","-.871","22.22","12' 6""","36.36","100.00",".00",".00","80.00","33.33","-"
"1/15/2017","Sony Open in Hawaii","T49",".034","66.67","7' 2""","55.56","100.00","66.67",".00","25.00","71.43","80.00"
"7/17/2016","The Open Championship","CUT","-",".00","-","42.11","-","-","-","-","-","-"
"1/17/2016","Sony Open in Hawaii","T81","-.374","33.33","15' 7""","50.00","75.00",".00","33.33",".00","57.14","75.00"
"11/8/2015","WGC-HSBC Champions","71","-","100.00","-","57.14","-","-","-","-","-","-"
"8/4/2013","WGC-Bridgestone Invit'l","T65","-.333","50.00","11' 0""","55.00","100.00","50.00","37.50","50.00","60.00","80.00"
"7/21/2013","The Open Championship","CUT","-","33.33","-","35.00","-","-","-","-","-","-"
