"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"1/27/2019","Farmers Insurance Open","CUT",".056","-","1.682","1.667","33.33",".00","30.00","30.00","30.00","-","-","100.00","100.00","100.00","66.67","-","100.00","-",".00","80.00","89.47",".00","50.00",".00",".00","18' 7""","1' 9""","60' 6""","31.82"
"1/13/2019","Sony Open in Hawaii","CUT","-.483","-","1.852","1.750","30.56","5.56","31.50","33.00","30.00","-","-","100.00","66.67","100.00","100.00","-",".00",".00","50.00","80.00","83.33","37.50","50.00",".00","7.69","32' 7""","2' 6""","88' 11""","22.22"
"1/6/2019","Sentry T of C","T32","-.294","31.2","1.827","1.736","30.56","2.78","31.25","32.00","32.00","32.00","29.00","100.00","83.33","100.00","66.67","75.00","33.33","25.00","50.00","71.43","85.90","28.57",".00",".00","5.00","53' 9""","2' 4""","71' 0""","23.08"
"11/25/2018","(*) ISPS Handa World Cup","T23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2018","Shriners Hospitals","T41","-.999","86.6","1.821","1.722","29.17","1.39","31.00","33.00","30.00","30.00","31.00","100.00","90.91","100.00","100.00",".00","20.00",".00","33.33","53.85","83.75","33.33","14.29",".00","4.55","27' 10""","1' 11""","58' 10""","28.57"
"10/28/2018","WGC-HSBC Champions","T37","-","-","1.649","1.500","51.39","1.39","27.00","27.00","24.00","28.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","37.84"
"10/14/2018","CIMB Classic","T43","-","-","1.717","1.583","48.61","6.94","28.50","31.00","27.00","30.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","39.62"
"9/3/2018","Dell Technologies Champ","CUT","-1.538","-","1.944","1.639","41.67","5.56","29.50","32.00","27.00","-","-","96.15","100.00","80.00","50.00","100.00","50.00",".00",".00","70.00","84.62","20.00","40.00",".00",".00","18' 10""","2' 9""","65' 10""","16.67"
"8/26/2018","THE NORTHERN TRUST","CUT","-.702","-","1.842","1.667","33.33",".00","30.00","28.00","32.00","-","-","100.00","100.00","100.00",".00","100.00","100.00",".00",".00","75.00","84.62","20.00",".00","-","22.22","31' 5""","2' 1""","81' 10""","15.79"
"8/19/2018","Wyndham Championship","CUT","-2.102","-","1.750","1.694","36.11","5.56","30.50","30.00","31.00","-","-","96.00","100.00","100.00","100.00","-",".00",".00","42.86","85.71","80.00",".00",".00",".00",".00","9' 11""","2' 9""","54' 8""","30.00"
"8/12/2018","PGA Championship","T59",".724","101.1","1.775","1.528","52.78","5.56","27.50","30.00","26.00","27.00","27.00","100.00","83.33","75.00","57.14","80.00","85.71","100.00",".00","73.91","87.67","33.33","25.00","20.00","13.33","29' 7""","2' 6""","86' 11""","32.50"
"8/5/2018","WGC-Bridgestone Invit'l","T63","-1.914","107.8","1.939","1.792","27.78","6.94","32.25","32.00","34.00","32.00","31.00","94.12","100.00","75.00","100.00","60.00","33.33",".00",".00","63.64","81.93","44.44",".00",".00",".00","14' 11""","2' 5""","56' 1""","20.41"
"7/22/2018","The Open Championship","T35","-","-","1.905","1.625","41.67","6.94","29.25","30.00","29.00","28.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.95"
"6/24/2018","Travelers Championship","CUT","-1.936","-","1.905","1.778","36.11","13.89","32.00","31.00","33.00","-","-","100.00","81.82","70.00","-","100.00","50.00","66.67","100.00","68.42","79.55","20.00",".00",".00",".00","10' 3""","3' 7""","80' 0""","28.57"
"6/17/2018","U.S. Open","CUT","-2.704","-","2.053","1.972","11.11","8.33","35.50","37.00","34.00","-","-","100.00","100.00","83.33","50.00","66.67",".00","60.00","-","66.67","85.37","9.09",".00",".00",".00","10' 1""","3' 6""","61' 4""","5.26"
"6/3/2018","the Memorial Tournament","CUT","-.549","-","1.864","1.694","38.89","8.33","30.50","33.00","28.00","-","-","100.00","66.67","100.00","80.00","25.00","20.00","-",".00","46.67","74.36","60.00","25.00",".00",".00","18' 10""","2' 3""","86' 9""","27.27"
"5/27/2018","Fort Worth Invitational","T20",".401","89.2","1.660","1.597","41.67","4.17","28.75","30.00","26.00","29.00","30.00","97.37","88.89","83.33","50.00","83.33","80.00","50.00","66.67","78.95","88.73","35.71","40.00",".00","5.26","27' 1""","2' 4""","81' 0""","36.73"
"5/20/2018","AT&T Byron Nelson","CUT","-2.390","-","1.862","1.833","19.44","8.33","33.00","32.00","34.00","-","-","100.00",".00","66.67","75.00","33.33","50.00","-",".00","58.33","82.50","20.00",".00",".00",".00","11' 1""","2' 5""","51' 4""","17.86"
"5/13/2018","THE PLAYERS Championship","CUT",".147","-","1.909","1.639","44.44","8.33","29.50","27.00","32.00","-","-","100.00","75.00","100.00","33.33","50.00","60.00","-","-","54.55","84.21","75.00",".00",".00","9.09","38' 2""","2' 5""","80' 8""","27.27"
"4/15/2018","RBC Heritage","1",".732","102.6","1.735","1.569","43.06","2.78","28.25","33.00","23.00","30.00","27.00","100.00","100.00","60.00","50.00",".00","33.33","100.00","33.33","45.45","88.24","64.29","18.18",".00",".00","18' 4""","1' 11""","69' 6""","36.73"
"4/8/2018","Masters Tournament","T28","-","-","1.767","1.569","41.67","4.17","28.25","27.00","30.00","26.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.56"
"3/25/2018","WGC-Dell Tech Match Play","T59","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","CUT","-.563","-","1.824","1.583","36.11",".00","28.50","27.00","30.00","-","-","100.00","100.00","50.00","100.00","-","100.00","-","33.33","83.33","91.67","25.00",".00",".00",".00","12' 6""","2' 4""","56' 9""","17.65"
"3/4/2018","WGC-Mexico Championship","54",".439","47.1","1.732","1.597","41.67","1.39","28.75","27.00","31.00","29.00","28.00","100.00","90.91","100.00","60.00","100.00","60.00",".00",".00","75.00","90.41","25.00","11.11","14.29","7.14","30' 7""","1' 11""","68' 11""","31.71"
"1/14/2018","Sony Open in Hawaii","CUT","-1.326","-","1.950","1.778","30.56","8.33","32.00","33.00","31.00","-","-","100.00","33.33",".00","75.00","-","50.00","100.00","50.00","54.55","80.95",".00","16.67",".00","11.11","42' 0""","2' 3""","76' 11""","20.00"
"8/13/2017","PGA Championship","T48","-.014","95.1","1.784","1.556","44.44","5.56","28.00","27.00","28.00","25.00","32.00","95.12","100.00","50.00","100.00","33.33","80.00","66.67","50.00","58.82","82.28","33.33",".00","20.00","9.09","38' 4""","2' 7""","75' 6""","32.43"
"8/6/2017","WGC-Bridgestone Invit'l","T47",".247","80.3","1.821","1.569","47.22","4.17","28.25","32.00","27.00","27.00","27.00","97.73","85.71","71.43","57.14","66.67","100.00","50.00",".00","68.42","85.33","75.00","33.33",".00",".00","19' 3""","2' 3""","73' 2""","25.64"
"6/18/2017","U.S. Open","T46",".751","64.3","1.720","1.625","36.11","1.39","29.25","27.00","29.00","30.00","31.00","100.00","88.89","75.00","80.00","75.00","100.00","25.00","50.00","81.82","87.32","40.00","18.18","14.29",".00","21' 7""","2' 9""","86' 4""","30.00"
"1/15/2017","Sony Open in Hawaii","T49",".707","61.1","1.722","1.653","34.72",".00","29.75","28.00","31.00","29.00","31.00","100.00","75.00","100.00","100.00","100.00","80.00","40.00","25.00","92.86","88.89","27.27","27.27","11.11","6.25","28' 10""","2' 1""","81' 1""","29.63"
"7/17/2016","The Open Championship","CUT","-","-","1.882","1.750","30.56","5.56","31.50","29.00","34.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.65"
"1/17/2016","Sony Open in Hawaii","T81","-.873","-","1.789","1.648","27.78",".00","29.67","29.00","29.00","31.00","-","100.00","100.00","66.67","-","33.33","100.00","33.33","100.00","63.64","89.29","12.50","14.29",".00",".00","19' 8""","1' 11""","52' 2""","23.68"
"11/8/2015","WGC-HSBC Champions","71","-","-","1.864",".819","18.06",".00","29.50","28.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13.64"
"8/4/2013","WGC-Bridgestone Invit'l","T65","-.118","71.3","1.875","1.569","43.06","2.78","28.25","27.00","27.00","30.00","29.00","100.00","90.00","80.00","80.00","66.67","100.00","100.00","33.33","77.27","89.19","25.00",".00",".00","12.50","32' 7""","2' 8""","75' 10""","21.88"
"7/21/2013","The Open Championship","CUT","-","-","2.063","1.806","30.56","11.11","32.50","37.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12.50"
