"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"11/25/2018","(*) ISPS Handa World Cup","T4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","62.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/12/2018","PGA Championship","T56","-.335","68.06","70.00","14.29","71.43","38' 3""","86' 7""","102' 8""","64' 1""","25' 6""","-","68' 4""","38' 4""","27' 6""","7' 8""","15' 0""","21' 7""","16' 6""","17' 5""","19' 7""","36' 2""","37' 11""","116' 7""","-","-","78' 1""","86' 7""","-","97' 4""","67' 8""","100' 6""","84' 2""","-","-","-","-","1","11"
"8/5/2018","WGC-Bridgestone Invit'l","T3","1.042","70.83","50.00","75.00","100.00","29' 8""","47' 0""","53' 0""","33' 5""","21' 5""","-","-","27' 8""","26' 7""","-","26' 1""","15' 6""","19' 6""","17' 8""","26' 3""","17' 3""","26' 11""","-","-","-","76' 8""","48' 3""","19' 2""","76' 8""","65' 0""","29' 10""","40' 3""","20' 0""","20' 5""","19' 2""","-","-","-"
"7/22/2018","The Open Championship","T12","-","69.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","CUT",".796","63.89","20.00",".00",".00","38' 7""","116' 3""","-","116' 3""","36' 5""","83' 9""","21' 8""","101' 1""","32' 5""","-","5' 7""","36' 9""","30' 6""","30' 0""","28' 11""","45' 5""","50' 8""","-","-","-","-","116' 3""","-","-","-","-","116' 3""","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T31","-","70.83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/13/2017","PGA Championship","T44","-.343","59.72","63.16","33.33","58.33","46' 2""","55' 6""","54' 5""","56' 5""","33' 8""","-","58' 7""","61' 9""","37' 11""","24' 9""","16' 11""","23' 2""","20' 5""","18' 11""","28' 6""","26' 7""","49' 1""","104' 5""","-","24' 1""","48' 4""","56' 10""","46' 6""","53' 7""","67' 0""","29' 10""","62' 3""","58' 10""","-","58' 10""","-","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T10","1.198","56.94",".00","-","-","31' 10""","44' 5""","30' 8""","54' 6""","22' 2""","-","-","15' 2""","36' 11""","-","11' 3""","14' 0""","12' 7""","10' 7""","22' 1""","28' 7""","34' 2""","-","-","-","61' 3""","46' 5""","20' 7""","61' 3""","53' 10""","48' 7""","28' 8""","37' 4""","45' 8""","20' 7""","-","-","-"
"7/23/2017","The Open Championship","T62","-","62.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/26/2017","Puerto Rico Open","CUT","-","77.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
