"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"11/25/2018","(*) ISPS Handa World Cup","T4","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","33.33","-","70.37","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"8/12/2018","PGA Championship","T56",".811","62.50","7' 1""","65.22","66.67","100.00","60.00","50.00","80.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T3",".174","66.67","9' 2""","71.43","100.00","71.43","60.00","100.00","77.78","60.00"
"7/22/2018","The Open Championship","T12","-","50.00","-","54.55","-","-","-","-","-","-"
"6/17/2018","U.S. Open","CUT","1.299","33.33","12' 11""","46.15","-",".00","14.29","100.00","75.00","-"
"10/29/2017","WGC-HSBC Champions","T31","-","62.50","-","52.38","-","-","-","-","-","-"
"8/13/2017","PGA Championship","T44","-.121","66.67","6' 11""","48.28","100.00","60.00",".00","71.43","28.57","100.00"
"8/6/2017","WGC-Bridgestone Invit'l","T10","-.210","71.43","12' 5""","61.29","100.00","55.00","33.33","50.00","64.29","100.00"
"7/23/2017","The Open Championship","T62","-","20.00","-","55.56","-","-","-","-","-","-"
"3/26/2017","Puerto Rico Open","CUT","-","100.00","-","50.00","-","50.00","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","CUT","-1.386","40.00","12' 8""","46.15","66.67","-","33.33","66.67","66.67","100.00"
"3/5/2017","WGC-Mexico Championship","T63","-1.108","37.50","12' 3""","50.00","100.00","60.00",".00","33.33","57.14","77.78"
"11/27/2016","(*) ISPS HANDA World Cup","T1","-","-","-","-","-","-","-","-","-","-"
"8/14/2016","(*) Olympic Men's Golf","T30","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","CUT","1.145","62.50","7' 10""","63.16",".00","77.78","25.00","50.00","100.00","75.00"
"7/17/2016","The Open Championship","CUT","-","33.33","-","26.67","-","-","-","-","-","-"
"6/5/2016","the Memorial Tournament","CUT",".351","50.00","15' 4""","47.37","-","83.33","14.29","100.00","57.14","75.00"
"3/27/2016","WGC-Dell Match Play","T38","-","-","-","-","-","-","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","T19","-","75.00","-","70.83","-","-","-","-","-","-"
"11/9/2014","WGC-HSBC Champions","T6","-","50.00","-","50.00","-","-","-","-","-","-"
"8/10/2014","PGA Championship","T30","1.044","71.43","5' 8""","53.57","100.00","61.54",".00","37.50","90.00","75.00"
"8/3/2014","Barracuda Championship","T47","-","-","-","-","-","-","-","-","-","-"
