"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"11/25/2018","(*) ISPS Handa World Cup","T4","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","-","-","-","304","60.71","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"8/12/2018","PGA Championship","T56",".525",".048","306.5","290.2","337","62.50","27' 10""","12.50","10.71","83","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T3","1.424",".208","336.0","303.4","360","46.43","35' 5""","33.96","15.09","45","115.14","21"
"7/22/2018","The Open Championship","T12","-","-","317.6","-","376","60.00","-","-","-","30","-","-"
"6/17/2018","U.S. Open","CUT","2.635",".540","298.5","288.6","334","75.00","-","3.57","17.86","1,998","-","-"
"10/29/2017","WGC-HSBC Champions","T31","-","-","-","-","319","64.29","-","-","-","-","-","-"
"8/13/2017","PGA Championship","T44",".147",".611","300.1","299.0","324","51.79","22' 7""","10.91","23.64","100","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T10",".235","-.753","326.3","296.5","397","35.71","38' 0""","20.37","29.63","84","118.04","136"
"7/23/2017","The Open Championship","T62","-","-","297.3","-","323","41.07","-","-","-","100","-","-"
"3/26/2017","Puerto Rico Open","CUT","-","-","294.0","-","300","60.71","-","-","-","1,998","-","-"
"3/19/2017","Arnold Palmer Invt'l","CUT","-3.423",".115","275.8","269.2","318","64.29","38' 10""","10.71","21.43","1,998","112.80","1,998"
"3/5/2017","WGC-Mexico Championship","T63","-1.832",".789","298.8","305.2","355","66.07","34' 4""","17.86","12.50","54","115.34","79"
"11/27/2016","(*) ISPS HANDA World Cup","T1","-","-","-","-","-","-","-","-","-","-","-","-"
"8/14/2016","(*) Olympic Men's Golf","T30","-","-","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","CUT","-2.016","-.288","289.0","277.7","346","46.43","42' 1""",".00","40.74","1,998","-","-"
"7/17/2016","The Open Championship","CUT","-","-","284.8","-","311","64.29","-","-","-","1,998","-","-"
"6/5/2016","the Memorial Tournament","CUT","-2.928","-1.654","293.5","284.4","318","64.29","44' 8""","10.71","10.71","1,998","114.37","1,998"
"3/27/2016","WGC-Dell Match Play","T38","-","-","-","-","-","-","-","-","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","T19","-","-","-","-","300","53.57","-","-","-","-","-","-"
"11/9/2014","WGC-HSBC Champions","T6","-","-","-","-","302","61.90","-","-","-","-","-","-"
"8/10/2014","PGA Championship","T30",".910","-.928","279.1","276.7","323","66.07","38' 7""","10.91","3.64","101","-","-"
"8/3/2014","Barracuda Championship","T47","-","-","-","-","-","-","-","-","-","-","-","-"
"7/20/2014","The Open Championship","T64","-","-","278.1","-","321","69.64","-","-","-","54","-","-"
"7/6/2014","The Greenbrier Classic","CUT","-3.775","-2.121","293.8","285.8","315","39.29","25' 8""","14.81","29.63","1,998","113.10","1,998"
"6/22/2014","Travelers Championship","CUT","-2.992","-.976","295.5","279.4","336","57.14","17' 7""","10.71","14.29","1,998","113.92","1,998"
"6/8/2014","FedEx St. Jude Classic","CUT","-.373","-.650","293.5","283.3","333","67.86","35' 8""","11.54","15.38","1,998","115.39","1,998"
"6/1/2014","the Memorial Tournament","T8",".792",".844","300.6","284.9","341","75.00","20' 2""","12.50","10.71","42","114.65","117"
"5/4/2014","Wells Fargo Championship","CUT",".973","-.195","312.5","296.4","331","32.14","36' 10""","18.52","18.52","1,998","114.42","1,998"
"4/27/2014","Zurich Classic of New Orl","CUT","-.097","-.323","286.5","278.8","324","60.71","25' 2""",".00","14.81","1,998","113.75","1,998"
"4/13/2014","Masters Tournament","T44","-","-","291.9","-","341","62.50","-","-","-","58","-","-"
"3/16/2014","Valspar Championship","CUT","-.670",".259","278.0","261.1","297","69.23","27' 7""","19.23",".00","1,998","112.41","1,998"
"3/2/2014","The Honda Classic","CUT","-1.231",".028","292.5","270.6","306","53.57","34' 7""","21.43","17.86","1,998","112.87","1,998"
"2/23/2014","WGC-Accenture Match Play","T33","-","-","-","-","-","-","-","-","-","-","-","-"
"2/16/2014","Northern Trust Open","CUT","-.861",".093","270.3","276.8","317","60.71","27' 5""","7.41","25.93","1,998","112.77","1,998"
"11/24/2013","(*) World Cup of Golf","T25","-","-","-","-","-","-","-","-","-","-","-","-"
"8/11/2013","PGA Championship","T40","-","-","281.3","-","305","57.14","-","-","-","61","-","-"
"8/4/2013","WGC-Bridgestone Invit'l","T48","-1.189","-.614","300.8","288.1","336","42.86","26' 4""","19.64","19.64","90","116.30","70"
