"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"11/25/2018","(*) ISPS Handa World Cup","T4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T7","-","-","1.689","1.472","52.78","2.78","26.50","29.00","23.00","25.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.56"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/12/2018","PGA Championship","T56","-.323","117.4","1.816","1.653","37.50","5.56","29.75","28.00","29.00","34.00","28.00","100.00","81.82","100.00","66.67","100.00","40.00","66.67","33.33","66.67","87.67","16.67","30.00","20.00","5.26","30' 3""","2' 7""","77' 6""","28.57"
"8/5/2018","WGC-Bridgestone Invit'l","T3",".981","64.2","1.745","1.583","41.67","2.78","28.50","31.00","27.00","29.00","27.00","97.67","100.00","71.43","66.67",".00","100.00","50.00",".00","69.23","89.39","58.33","16.67","14.29","11.76","44' 6""","2' 1""","90' 3""","35.29"
"7/22/2018","The Open Championship","T12","-","-","1.800","1.667","36.11","2.78","30.00","32.00","32.00","29.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.00"
"6/17/2018","U.S. Open","CUT","-2.099","-","2.000","1.861","25.00","11.11","33.50","33.00","34.00","-","-","90.91","83.33","75.00","50.00","100.00","50.00",".00","50.00","66.67","78.05","50.00",".00",".00","14.29","31' 9""","3' 8""","71' 10""","13.04"
"10/29/2017","WGC-HSBC Champions","T31","-","-","1.784","1.681","33.33","1.39","30.25","32.00","29.00","29.00","31.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.41"
"8/13/2017","PGA Championship","T44",".945","41.1","1.791","1.625","36.11","1.39","29.25","26.00","30.00","31.00","30.00","100.00","100.00","85.71","66.67","71.43","66.67","100.00","100.00","75.00","92.86","42.86","9.09","12.50","4.76","27' 7""","2' 9""","73' 10""","30.23"
"8/6/2017","WGC-Bridgestone Invit'l","T10","1.512","38.0","1.561","1.472","52.78","2.78","26.50","28.00","31.00","23.00","24.00","100.00","90.00","100.00","75.00","60.00",".00","100.00","60.00","73.33","89.86","37.50","8.33","50.00","23.08","38' 4""","2' 6""","104' 2""","46.34"
