"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"12/2/2018","(*) Hero World Challenge","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/23/2018","(*) Tiger vs. Phil","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","1",".289","66.67","100.00","25.00","50.00","34' 3""","46' 11""","39' 3""","58' 5""","28' 8""","-","-","64' 9""","34' 2""","-","10' 4""","16' 0""","14' 1""","12' 9""","31' 3""","16' 2""","45' 10""","-","27' 8""","-","65' 2""","48' 6""","24' 9""","46' 5""","61' 0""","36' 3""","63' 4""","31' 0""","34' 1""","-","24' 9""","-","-"
"9/9/2018","BMW Championship","T6","1.373","81.94","88.89","37.50","87.50","29' 8""","33' 5""","24' 7""","40' 6""","28' 4""","144' 1""","43' 2""","44' 8""","37' 5""","13' 1""","5' 6""","15' 5""","13' 5""","24' 3""","23' 6""","31' 0""","46' 4""","-","44' 3""","-","15' 9""","35' 3""","19' 3""","30' 0""","65' 0""","45' 10""","25' 0""","17' 3""","15' 2""","19' 3""","-","1","8"
"9/3/2018","Dell Technologies Champ","T24",".522","69.44","75.00","25.00","58.33","39' 1""","58' 0""","64' 7""","51' 5""","34' 0""","104' 5""","73' 6""","64' 9""","30' 5""","-","28' 0""","13' 0""","18' 0""","18' 10""","22' 5""","40' 1""","50' 5""","-","-","49' 1""","94' 7""","58' 0""","-","79' 5""","66' 8""","45' 0""","36' 11""","-","-","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","T40","1.415","72.22","56.25","11.11","22.22","32' 0""","38' 1""","40' 2""","31' 3""","28' 1""","80' 1""","70' 11""","46' 9""","26' 1""","-","20' 11""","42' 4""","28' 1""","15' 1""","22' 5""","17' 7""","47' 0""","-","-","-","-","39' 8""","29' 9""","-","45' 5""","35' 0""","-","29' 5""","29' 2""","22' 9""","36' 8""","-","-"
"8/12/2018","PGA Championship","2","2.094","72.22","40.00","50.00","75.00","29' 9""","53' 6""","39' 8""","67' 4""","24' 4""","79' 9""","32' 10""","44' 6""","47' 11""","5' 10""","13' 4""","13' 7""","11' 3""","15' 6""","20' 10""","20' 1""","47' 10""","-","47' 5""","-","69' 5""","57' 2""","5' 9""","63' 11""","87' 10""","56' 7""","-","4' 9""","3' 8""","-","5' 9""","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.161","62.50","37.50","33.33","66.67","28' 1""","41' 9""","43' 2""","38' 7""","21' 6""","-","-","22' 7""","29' 6""","9' 11""","8' 9""","12' 7""","11' 0""","23' 0""","26' 0""","20' 5""","27' 4""","-","-","-","91' 7""","43' 10""","20' 3""","91' 7""","33' 0""","48' 9""","32' 2""","36' 7""","69' 3""","-","20' 3""","1","17"
"7/22/2018","The Open Championship","T6","-","66.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
