"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"12/2/2018","(*) Hero World Challenge","17","-","-","-","-","-","-","-","-","-","-"
"11/23/2018","(*) Tiger vs. Phil","2","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","1",".321","77.78","7' 7""","70.83","75.00","42.86",".00","57.14","100.00","100.00"
"9/9/2018","BMW Championship","T6",".375","25.00","9' 10""","61.54","-","66.67","50.00","33.33","60.00","100.00"
"9/3/2018","Dell Technologies Champ","T24",".103",".00","-","72.73","100.00","77.78","33.33","80.00","90.00","66.67"
"8/26/2018","THE NORTHERN TRUST","T40","-.251",".00","9' 10""","80.00","100.00","66.67","-","100.00","80.00","71.43"
"8/12/2018","PGA Championship","2",".297","83.33","6' 11""","70.00","-","60.00","57.14","100.00","75.00","100.00"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.230","60.00","6' 2""","48.15","100.00","33.33","16.67","50.00","60.00","57.14"
"7/22/2018","The Open Championship","T6","-","50.00","-","66.67","-","-","-","-","-","-"
"7/1/2018","Quicken Loans National","T4",".414","50.00","11' 7""","57.89","-","40.00","50.00","50.00","66.67","100.00"
"6/17/2018","U.S. Open","CUT",".974","20.00","16' 1""","55.00","100.00","25.00","36.36","33.33","100.00","100.00"
"6/3/2018","the Memorial Tournament","T23","1.244","75.00","4' 3""","66.67","100.00","83.33","25.00","-","83.33","85.71"
"5/13/2018","THE PLAYERS Championship","T11",".685","60.00","6' 4""","63.64","100.00","25.00",".00","66.67","60.00","100.00"
"5/6/2018","Wells Fargo Championship","T55","-.007","14.29","11' 8""","71.43","100.00","85.71",".00","57.14","80.00","100.00"
"4/8/2018","Masters Tournament","T32","-","33.33","-","50.00","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T5","1.086","55.56","11' 1""","70.37","100.00","66.67","33.33","100.00","63.64","100.00"
"3/11/2018","Valspar Championship","T2","1.026","42.86","6' 5""","70.83","50.00","80.00","50.00","20.00","84.62","100.00"
"2/25/2018","The Honda Classic","12",".039","50.00","7' 7""","66.67","-","72.73","66.67","50.00","69.23","100.00"
"2/18/2018","Genesis Open","CUT","-.360","40.00","8' 0""","50.00","66.67","57.14",".00","100.00","50.00","75.00"
"1/28/2018","Farmers Insurance Open","T23",".365","40.00","11' 1""","63.33","100.00","70.00","100.00","33.33","58.33","100.00"
"12/3/2017","(*) Hero World Challenge","T9","-","-","-","-","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"1/29/2017","Farmers Insurance Open","CUT",".390","25.00","6' 10""","56.25","-","66.67",".00","50.00","75.00","-"
"12/4/2016","(*) Hero World Challenge","15","-","-","-","-","-","-","-","-","-","-"
"8/23/2015","Wyndham Championship","T10","-.438",".00","8' 6""","68.75","100.00","50.00",".00","33.33","100.00","100.00"
"8/16/2015","PGA Championship","CUT","-1.510","20.00","15' 5""","46.15","50.00","66.67",".00","40.00","50.00","100.00"
"8/2/2015","Quicken Loans National","T18",".537","60.00","5' 1""","57.89","100.00","37.50","40.00","100.00","25.00","100.00"
"7/19/2015","The Open Championship","CUT","-","100.00","-","46.15","-","-","-","-","-","-"
"7/5/2015","The Greenbrier Classic","T32","-.745","33.33","20' 3""","50.00","100.00","40.00","20.00",".00","50.00","85.71"
"6/21/2015","U.S. Open","CUT","-","40.00","-","20.00","-","-","-","-","-","-"
