"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"12/2/2018","(*) Hero World Challenge","17","-","-","-","-","-","-","-","-","-","-","-","-"
"11/23/2018","(*) Tiger vs. Phil","2","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","1","1.086",".476","304.3","295.4","349","64.29","21' 11""","17.86","12.50","16","119.23","24"
"9/9/2018","BMW Championship","T6","1.973",".226","301.3","291.0","332","76.79","22' 0""","8.93","8.93","29","116.73","80"
"9/3/2018","Dell Technologies Champ","T24",".657",".032","303.4","289.8","353","71.43","24' 7""","12.50","10.71","47","-","-"
"8/26/2018","THE NORTHERN TRUST","T40","1.624",".460","289.4","284.9","342","67.86","33' 1""","16.36","10.91","57","122.07","147"
"8/12/2018","PGA Championship","2","2.189","-.202","306.0","285.0","331","57.14","27' 1""","14.29","17.86","101","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T31","-.790","-.398","302.5","296.9","398","46.43","31' 4""","35.19","12.96","105","118.04","107"
"7/22/2018","The Open Championship","T6","-","-","303.0","-","360","66.67","-","-","-","56","-","-"
"7/1/2018","Quicken Loans National","T4","1.434",".380","305.9","285.3","343","57.14","30' 0""","5.36","25.00","68","118.02","29"
"6/17/2018","U.S. Open","CUT",".846",".536","308.5","293.8","342","71.43","-","7.14","21.43","1,998","-","-"
"6/3/2018","the Memorial Tournament","T23","3.539","-.496","300.9","283.6","326","71.43","23' 9""","7.41","7.41","44","118.51","118"
"5/13/2018","THE PLAYERS Championship","T11","1.005",".143","297.3","289.5","354","62.50","27' 7""","5.36","16.07","67","119.44","72"
"5/6/2018","Wells Fargo Championship","T55","1.874",".751","330.3","313.0","368","44.64","25' 10""","18.52","14.81","70","122.57","98"
"4/8/2018","Masters Tournament","T32","-","-","293.8","-","340","53.57","-","-","-","64","-","-"
"3/18/2018","Arnold Palmer Invt'l","T5","1.113","-.882","306.8","282.4","348","60.71","30' 5""","7.55","22.64","72","120.14","105"
"3/11/2018","Valspar Championship","T2","2.739",".472","296.3","276.6","342","59.62","31' 1""","17.31","13.46","52","123.55","148"
"2/25/2018","The Honda Classic","12","1.204",".047","318.9","278.5","361","58.93","33' 9""","10.71","14.29","48","126.25","146"
"2/18/2018","Genesis Open","CUT","-1.886","-1.038","288.8","288.8","333","46.43","36' 4""","25.93","14.81","1,998","119.50","1,998"
"1/28/2018","Farmers Insurance Open","T23",".645",".190","302.5","303.1","358","30.36","47' 9""","19.05","40.48","99","118.39","52"
"12/3/2017","(*) Hero World Challenge","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"10/1/2017","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"1/29/2017","Farmers Insurance Open","CUT","-3.923","-2.158","299.3","275.4","322","50.00","36' 10""","15.38","53.85","1,998","114.28","1,998"
"12/4/2016","(*) Hero World Challenge","15","-","-","-","-","-","-","-","-","-","-","-","-"
"8/23/2015","Wyndham Championship","T10",".875",".364","303.9","274.6","350","62.50","23' 7""","21.43","16.07","53","117.75","91"
"8/16/2015","PGA Championship","CUT",".305",".143","290.5","281.1","323","50.00","33' 7""","25.00","17.86","1,998","-","-"
"8/2/2015","Quicken Loans National","T18",".357","-.078","315.9","287.0","339","64.29","56' 8""","9.09","14.55","40","117.25","35"
"7/19/2015","The Open Championship","CUT","-","-","308.0","-","340","59.38","-","-","-","1,998","-","-"
