"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"12/2/2018","(*) Hero World Challenge","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/23/2018","(*) Tiger vs. Phil","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","1","1.280","18.8","1.646","1.500","51.39","1.39","27.00","28.00","27.00","23.00","30.00","100.00","100.00","80.00","66.67","80.00","66.67","66.67",".00","75.00","88.41","33.33","27.27","37.50","18.18","27' 8""","1' 11""","96' 7""","39.58"
"9/9/2018","BMW Championship","T6",".160","63.2","1.695","1.625","36.11","1.39","29.25","27.00","33.00","30.00","27.00","100.00","100.00","83.33","75.00","33.33","50.00","50.00","80.00","66.67","90.00","40.00","22.22",".00",".00","19' 9""","2' 4""","73' 2""","35.59"
"9/3/2018","Dell Technologies Champ","T24",".190","63.6","1.780","1.583","43.06","1.39","28.50","26.00","27.00","28.00","33.00","100.00","100.00","92.31","100.00","44.44",".00",".00","100.00","70.37","84.42","55.56",".00","14.29","5.88","25' 2""","2' 4""","78' 4""","30.00"
"8/26/2018","THE NORTHERN TRUST","T40","-1.231","117.7","1.865","1.667","36.11","2.78","30.00","29.00","35.00","28.00","28.00","100.00","80.00","60.00","75.00","100.00","100.00",".00",".00","81.25","87.18","21.43","16.67",".00",".00","16' 5""","2' 0""","56' 10""","17.31"
"8/12/2018","PGA Championship","2","1.263","69.4","1.635","1.514","52.78","4.17","27.25","27.00","29.00","30.00","23.00","100.00","83.33","100.00","66.67","80.00",".00","66.67","75.00","77.78","90.28","62.50","25.00",".00",".00","19' 1""","2' 0""","73' 9""","44.23"
"8/5/2018","WGC-Bridgestone Invit'l","T31",".695","49.9","1.689","1.556","41.67",".00","28.00","27.00","29.00","29.00","27.00","100.00","100.00","80.00","100.00","100.00","42.86","75.00","25.00","64.29","87.50","33.33","40.00","9.09","8.33","25' 2""","1' 9""","74' 5""","33.33"
"7/22/2018","The Open Championship","T6","-","-","1.792","1.639","38.89","2.78","29.50","29.00","32.00","29.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.33"
"7/1/2018","Quicken Loans National","T4","1.194","72.7","1.660","1.514","47.22","1.39","27.25","29.00","26.00","27.00","27.00","100.00","91.67","100.00","75.00","50.00",".00","66.67",".00","56.25","82.19","37.50","100.00","22.22","18.75","28' 5""","2' 1""","98' 0""","37.74"
"6/17/2018","U.S. Open","CUT","-.810","-","1.813","1.611","44.44","2.78","29.00","30.00","28.00","-","-","95.83","100.00","100.00","-","50.00","50.00",".00",".00","66.67","82.50","40.00","16.67","-",".00","17' 2""","3' 1""","61' 11""","31.25"
