"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"10/28/2018","WGC-HSBC Champions","T7","-","73.61","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11","-.269","66.67","100.00","37.50","87.50","39' 3""","52' 7""","59' 8""","44' 2""","32' 6""","-","-","48' 7""","43' 7""","-","9' 2""","13' 2""","11' 10""","24' 5""","24' 5""","37' 0""","45' 4""","-","77' 8""","-","51' 7""","52' 7""","-","64' 8""","51' 10""","61' 9""","47' 1""","43' 4""","43' 4""","-","-","1","7"
"9/9/2018","BMW Championship","T8",".608","86.11","77.78","25.00","87.50","29' 8""","33' 3""","37' 0""","29' 5""","26' 10""","108' 8""","33' 9""","75' 9""","25' 11""","17' 9""","16' 0""","13' 11""","15' 4""","20' 4""","18' 0""","28' 0""","47' 8""","-","-","37' 10""","-","35' 7""","23' 10""","37' 10""","54' 7""","49' 8""","32' 11""","22' 10""","21' 10""","23' 10""","-","-","-"
"9/3/2018","Dell Technologies Champ","T24",".718","72.22","75.00","33.33","58.33","39' 7""","48' 6""","50' 0""","46' 3""","30' 10""","-","59' 1""","62' 11""","38' 5""","-","-","19' 1""","19' 1""","25' 6""","17' 10""","27' 11""","47' 1""","-","-","53' 2""","80' 0""","48' 6""","-","62' 1""","62' 1""","39' 0""","18' 7""","-","-","-","-","1","11"
"8/26/2018","THE NORTHERN TRUST","T20",".313","62.50","37.50",".00","33.33","33' 0""","46' 3""","48' 6""","44' 4""","27' 0""","122' 7""","31' 7""","29' 8""","32' 2""","11' 6""","15' 0""","17' 3""","15' 0""","20' 11""","18' 3""","40' 0""","41' 10""","99' 1""","-","-","71' 2""","51' 2""","14' 1""","85' 2""","47' 10""","42' 4""","-","22' 7""","39' 6""","14' 1""","-","1","4"
"8/12/2018","PGA Championship","T35",".009","75.00","70.00",".00","14.29","37' 1""","51' 10""","57' 7""","31' 10""","32' 7""","89' 7""","-","51' 5""","46' 8""","-","18' 11""","19' 1""","19' 1""","20' 9""","19' 0""","31' 5""","58' 7""","-","-","-","38' 2""","74' 2""","24' 0""","38' 2""","-","21' 7""","136' 7""","24' 9""","-","42' 1""","16' 1""","1","14"
"8/5/2018","WGC-Bridgestone Invit'l","T14",".538","70.83","37.50","33.33","66.67","30' 8""","41' 11""","32' 6""","53' 11""","23' 5""","-","-","69' 0""","16' 2""","7' 9""","23' 0""","15' 3""","18' 0""","10' 5""","27' 4""","32' 9""","32' 1""","-","-","107' 2""","13' 5""","44' 11""","20' 3""","60' 4""","101' 4""","57' 7""","37' 9""","17' 5""","15' 9""","18' 10""","20' 11""","-","-"
"7/29/2018","RBC Canadian Open","T6",".452","63.89","75.00","83.33","100.00","28' 0""","28' 9""","28' 6""","28' 11""","27' 2""","-","72' 0""","15' 0""","33' 0""","-","12' 10""","30' 2""","25' 10""","23' 1""","28' 1""","30' 7""","33' 7""","-","31' 1""","-","-","30' 9""","20' 0""","31' 1""","-","38' 0""","21' 11""","25' 9""","34' 5""","20' 8""","18' 7""","1","8"
"7/22/2018","The Open Championship","T12","-","76.39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
