"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"10/28/2018","WGC-HSBC Champions","T7","-","100.00","-","47.37","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11",".500","42.86","9' 0""","50.00",".00","55.56","16.67","50.00","60.00","100.00"
"9/9/2018","BMW Championship","T8","-.551","100.00","11' 1""","50.00","-","50.00",".00","-","57.14","100.00"
"9/3/2018","Dell Technologies Champ","T24",".809","16.67","7' 4""","50.00","100.00","55.56",".00","50.00","50.00","100.00"
"8/26/2018","THE NORTHERN TRUST","T20",".905","71.43","5' 11""","66.67","100.00","63.64",".00","71.43","69.23","66.67"
"8/12/2018","PGA Championship","T35",".523","22.22","8' 7""","55.56","-","60.00","20.00","100.00","62.50","66.67"
"8/5/2018","WGC-Bridgestone Invit'l","T14","-.573","25.00","9' 7""","57.14","100.00","25.00","33.33","33.33","80.00","71.43"
"7/29/2018","RBC Canadian Open","T6",".531","57.14","4' 11""","61.54","100.00","75.00",".00","33.33","60.00","90.00"
"7/22/2018","The Open Championship","T12","-","33.33","-","52.94","-","-","-","-","-","-"
"6/17/2018","U.S. Open","2","-.069","42.86","9' 7""","50.00","-","50.00","75.00","37.50","44.44","100.00"
"5/13/2018","THE PLAYERS Championship","T7",".273","66.67","9' 6""","44.44",".00","42.86",".00","33.33","66.67","100.00"
"5/6/2018","Wells Fargo Championship","CUT","-.273","62.50","8' 1""","33.33","-",".00",".00","50.00","44.44",".00"
"4/29/2018","Zurich Classic of New Orl","T4","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T17","-","57.14","-","54.55","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T26",".535","64.29","11' 2""","60.87",".00","100.00",".00","71.43","70.00","66.67"
"3/4/2018","WGC-Mexico Championship","T14",".304","33.33","12' 11""","54.17","66.67","76.92",".00","40.00","42.86","100.00"
"2/25/2018","The Honda Classic","4","1.119","71.43","6' 3""","68.00","100.00","71.43",".00","33.33","82.35","100.00"
"2/18/2018","Genesis Open","T37","-.175","50.00","13' 3""","61.29","60.00","37.50","75.00","100.00","41.67","63.64"
"12/3/2017","(*) Hero World Challenge","T3","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T20","-","33.33","-","57.14","-","-","-","-","-","-"
"8/13/2017","PGA Championship","T61","-.585","33.33","12' 8""","48.00",".00","66.67","50.00","16.67","71.43","60.00"
"8/6/2017","WGC-Bridgestone Invit'l","T28",".300","66.67","6' 7""","71.43","100.00","66.67","50.00","100.00","75.00","75.00"
"7/23/2017","The Open Championship","T27","-","60.00","-","60.00","-","-","-","-","-","-"
"6/18/2017","U.S. Open","4",".869","100.00","6' 2""","72.22","100.00",".00","75.00","83.33","25.00","100.00"
"6/4/2017","the Memorial Tournament","CUT","-1.477",".00","14' 4""","16.67","-","25.00","100.00",".00","14.29",".00"
"5/14/2017","THE PLAYERS Championship","T41",".787","60.00","15' 10""","51.85","100.00","50.00","16.67","33.33","83.33","50.00"
"4/9/2017","Masters Tournament","CUT","-",".00","-","25.00","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T39","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T10",".783","63.64","9' 2""","70.59","100.00","100.00",".00","42.86","73.33","100.00"
"3/5/2017","WGC-Mexico Championship","2",".698","100.00","5' 4""","80.00","75.00","71.43","66.67",".00","90.00","100.00"
"7/17/2016","The Open Championship","CUT","-","42.86","-","52.94","-","-","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","T30","-","33.33","-","69.57","-","-","-","-","-","-"
"8/16/2015","PGA Championship","CUT","-.852",".00","8' 0""","60.00","100.00","33.33",".00","50.00","80.00","80.00"
"7/19/2015","The Open Championship","CUT","-",".00","-","50.00","-","-","-","-","-","-"
"6/21/2015","U.S. Open","T27","-","50.00","-","41.67","-","-","-","-","-","-"
"6/7/2015","the Memorial Tournament","CUT","-.532",".00","13' 7""","11.11","-",".00",".00","50.00",".00","-"
"5/3/2015","WGC-Cadillac Match Play","T5","-","-","-","-","-","-","-","-","-","-"
"3/8/2015","WGC-Cadillac Championship","T71","-.808","23.53","14' 5""","33.33","60.00","41.67","22.22","28.57","35.71","75.00"
"11/9/2014","WGC-HSBC Champions","T24","-","50.00","-","71.43","-","-","-","-","-","-"
"8/10/2014","PGA Championship","CUT",".472","100.00","1' 6""","53.33","-","50.00",".00","50.00","57.14","100.00"
"7/20/2014","The Open Championship","CUT","-","60.00","-","43.75","-","-","-","-","-","-"
"11/3/2013","WGC-HSBC Champions","T18","-","42.86","-","65.38","-","-","-","-","-","-"
