"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"10/28/2018","WGC-HSBC Champions","T7","-","-","-","-","327","62.50","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11",".578",".346","305.9","301.6","346","55.36","20' 8""","19.64","19.64","24","118.00","26"
"9/9/2018","BMW Championship","T8",".452",".394","300.8","298.5","348","76.79","26' 9""","9.09","9.09","32","117.05","71"
"9/3/2018","Dell Technologies Champ","T24",".803","-.723","313.0","295.0","345","57.14","30' 8""","7.27","10.91","72","118.52","90"
"8/26/2018","THE NORTHERN TRUST","T20","1.299",".081","293.8","285.9","331","60.71","24' 2""","21.43","16.07","62","117.05","82"
"8/12/2018","PGA Championship","T35","1.478",".945","310.5","295.7","335","76.79","14' 5""","7.14","3.57","22","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T14",".794",".828","325.6","316.9","384","44.64","24' 3""","25.45","21.82","71","117.52","69"
"7/29/2018","RBC Canadian Open","T6","1.851",".868","313.6","310.0","379","58.93","33' 5""","21.43","16.07","30","116.83","23"
"7/22/2018","The Open Championship","T12","-","-","318.4","-","351","53.33","-","-","-","58","-","-"
"6/17/2018","U.S. Open","2","2.434","1.145","307.5","299.0","354","85.71","-","8.93","5.36","14","-","-"
"5/13/2018","THE PLAYERS Championship","T7","1.243","-.080","290.9","283.0","327","67.86","20' 5""","8.93","7.14","59","115.51","88"
"5/6/2018","Wells Fargo Championship","CUT","-.698",".626","320.8","306.8","341","67.86","34' 11""","7.14","7.14","1,998","118.22","1,998"
"4/29/2018","Zurich Classic of New Orl","T4","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T17","-","-","310.6","-","339","67.86","-","-","-","27","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T26","1.199",".768","302.3","286.8","345","71.43","19' 8""","12.50","5.36","36","116.29","38"
"3/4/2018","WGC-Mexico Championship","T14","1.097","1.231","309.1","316.6","382","53.57","22' 9""","16.07","21.43","58","115.40","82"
"2/25/2018","The Honda Classic","4","3.372",".736","296.3","276.9","343","75.00","16' 7""","5.36","10.71","36","117.92","52"
"2/18/2018","Genesis Open","T37","1.053",".984","298.9","289.9","337","69.64","15' 11""","7.14","21.43","34","116.41","31"
"12/3/2017","(*) Hero World Challenge","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"10/29/2017","WGC-HSBC Champions","T20","-","-","-","-","340","64.29","-","-","-","-","-","-"
"8/13/2017","PGA Championship","T61",".622",".711","300.5","293.3","319","62.50","29' 1""","16.07","12.50","68","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T28",".610",".505","311.9","300.0","374","60.71","25' 7""","8.93","23.21","46","114.84","44"
"7/23/2017","The Open Championship","T27","-","-","284.0","-","307","53.57","-","-","-","79","-","-"
"6/18/2017","U.S. Open","4","2.187",".558","305.4","301.1","359","83.93","-","1.79","12.50","50","-","-"
"6/4/2017","the Memorial Tournament","CUT","-.358",".403","285.8","284.6","310","64.29","25' 9""","7.14","21.43","1,998","113.12","1,998"
"5/14/2017","THE PLAYERS Championship","T41","1.546",".815","294.0","282.6","338","69.64","29' 5""","7.14","8.93","27","113.66","19"
"4/9/2017","Masters Tournament","CUT","-","-","277.0","-","302","82.14","-","-","-","1,998","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T39","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T10","1.514",".887","290.1","281.1","344","78.57","16' 10""","7.14","5.36","46","113.31","94"
"3/5/2017","WGC-Mexico Championship","2","3.107",".778","304.4","297.5","358","73.21","15' 5""","14.29","10.71","26","115.14","69"
"7/17/2016","The Open Championship","CUT","-","-","279.0","-","300","53.57","-","-","-","1,998","-","-"
"11/8/2015","WGC-HSBC Champions","T30","-","-","-","-","332","53.57","-","-","-","-","-","-"
"8/16/2015","PGA Championship","CUT",".557",".687","301.0","289.1","335","53.57","33' 7""","7.14","21.43","1,998","-","-"
"7/19/2015","The Open Championship","CUT","-","-","309.8","-","350","68.75","-","-","-","1,998","-","-"
"6/21/2015","U.S. Open","T27","-","-","294.5","-","319","73.21","-","-","-","102","-","-"
"6/7/2015","the Memorial Tournament","CUT",".302","-.301","308.0","282.8","318","64.29","36' 1""","7.41","14.81","1,998","117.04","1,998"
"5/3/2015","WGC-Cadillac Match Play","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"3/8/2015","WGC-Cadillac Championship","T71","-1.785",".277","289.4","288.5","337","44.64","35' 4""","7.14","23.21","117","117.53","78"
"11/9/2014","WGC-HSBC Champions","T24","-","-","-","-","327","69.64","-","-","-","-","-","-"
"8/10/2014","PGA Championship","CUT","1.368","-.854","291.8","280.8","325","64.29","41' 9""","14.29","7.14","1,998","-","-"
"7/20/2014","The Open Championship","CUT","-","-","283.0","-","336","64.29","-","-","-","1,998","-","-"
"11/3/2013","WGC-HSBC Champions","T18","-","-","-","-","328","62.50","-","-","-","-","-","-"
