"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"10/28/2018","WGC-HSBC Champions","T7","-","-","1.698","1.667","37.50","4.17","30.00","29.00","27.00","31.00","33.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.85"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T11",".039","41.0","1.729","1.611","40.28","4.17","29.00","32.00","32.00","27.00","25.00","100.00","100.00","75.00","100.00","50.00",".00","50.00","33.33","66.67","90.00","45.45","11.11",".00","9.09","32' 4""","2' 9""","76' 1""","37.50"
"9/9/2018","BMW Championship","T8","1.432","38.3","1.677","1.653","34.72",".00","29.75","33.00","28.00","26.00","32.00","100.00","100.00","75.00","75.00","100.00","50.00","75.00","100.00","78.57","93.85","50.00","16.67","8.33","6.25","48' 7""","2' 1""","96' 4""","35.48"
"9/3/2018","Dell Technologies Champ","T24",".044","76.0","1.769","1.653","30.56","1.39","29.75","30.00","28.00","32.00","29.00","100.00","88.89","100.00","40.00",".00","66.67","60.00","75.00","64.29","87.84","16.67","12.50","14.29","8.33","26' 0""","2' 5""","76' 4""","30.77"
"8/26/2018","THE NORTHERN TRUST","T20",".094","75.6","1.622","1.500","47.22",".00","27.00","28.00","27.00","28.00","25.00","100.00","100.00","80.00","50.00","50.00","50.00","-",".00","66.67","89.71","37.50","33.33","12.50",".00","25' 0""","1' 8""","74' 9""","37.78"
"8/12/2018","PGA Championship","T35","-.525","102.2","1.778","1.667","33.33","2.78","30.00","32.00","30.00","27.00","31.00","97.73","100.00","87.50","100.00",".00","66.67",".00",".00","66.67","84.00","25.00","25.00","22.22","6.25","26' 4""","2' 1""","75' 3""","25.93"
"8/5/2018","WGC-Bridgestone Invit'l","T14",".612","66.8","1.686","1.611","41.67","2.78","29.00","27.00","27.00","33.00","29.00","100.00","100.00","87.50","80.00","100.00","50.00","100.00",".00","78.95","92.96","23.08","10.00","40.00",".00","24' 10""","1' 10""","70' 7""","35.29"
"7/29/2018","RBC Canadian Open","T6",".511","79.4","1.652","1.514","47.22","1.39","27.25","24.00","28.00","29.00","28.00","100.00","100.00","100.00","100.00",".00","33.33","66.67","50.00","73.33","91.55","27.27",".00","11.11","12.50","41' 5""","1' 11""","74' 3""","50.00"
"7/22/2018","The Open Championship","T12","-","-","1.818","1.708","33.33","4.17","30.75","32.00","26.00","33.00","32.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","29.09"
