"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"12/9/2018","(*) QBE Shootout","T7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T16","-","68.06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-"
"11/4/2018","Shriners Hospitals","T36","-.378","72.22","81.25","23.08","61.54","39' 6""","66' 2""","60' 2""","69' 11""","29' 4""","-","98' 0""","49' 4""","66' 3""","27' 9""","-","22' 5""","23' 8""","27' 8""","20' 10""","24' 5""","63' 6""","130' 11""","97' 3""","-","57' 6""","66' 2""","-","88' 1""","84' 7""","98' 11""","54' 4""","31' 11""","31' 11""","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","2","-","62.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T15",".370","62.50","75.00","50.00","66.67","33' 5""","49' 0""","58' 1""","43' 7""","24' 1""","-","-","33' 6""","31' 6""","-","45' 2""","13' 9""","19' 0""","13' 4""","17' 2""","31' 10""","31' 11""","-","-","57' 5""","55' 1""","50' 9""","29' 11""","56' 3""","56' 3""","64' 4""","30' 4""","27' 5""","25' 9""","17' 2""","42' 8""","-","-"
"9/9/2018","BMW Championship","T8","-.010","86.11","100.00","10.00","50.00","37' 0""","30' 9""","22' 2""","33' 8""","35' 5""","88' 5""","102' 8""","78' 10""","40' 2""","-","11' 1""","17' 8""","14' 9""","26' 9""","36' 5""","34' 6""","61' 9""","-","-","-","40' 7""","31' 6""","23' 3""","40' 7""","-","19' 6""","44' 4""","24' 6""","25' 2""","23' 3""","-","-","-"
"9/3/2018","Dell Technologies Champ","T4","1.630","79.17","75.00","16.67","75.00","32' 9""","37' 9""","28' 2""","57' 0""","28' 9""","-","47' 10""","45' 10""","40' 6""","-","-","13' 9""","13' 9""","22' 1""","16' 5""","31' 9""","43' 1""","-","-","51' 5""","68' 3""","37' 9""","-","57' 0""","-","17' 10""","43' 5""","28' 6""","28' 6""","-","-","-","-"
"8/26/2018","THE NORTHERN TRUST","2",".132","68.06","50.00","25.00","75.00","30' 11""","41' 7""","49' 2""","39' 1""","26' 1""","61' 8""","25' 11""","14' 7""","32' 3""","-","20' 8""","6' 7""","13' 7""","22' 5""","26' 8""","27' 9""","34' 3""","-","-","53' 7""","111' 5""","54' 5""","20' 3""","92' 2""","76' 6""","24' 4""","26' 3""","19' 4""","13' 9""","22' 1""","11' 2""","2","15"
