"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"12/9/2018","(*) QBE Shootout","T7","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","2","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T16","-","71.43","-","73.91","-","77.78","-","-","-","-"
"11/4/2018","Shriners Hospitals","T36",".801","62.50","8' 6""","65.00","100.00","50.00","100.00","33.33","71.43","100.00"
"10/28/2018","WGC-HSBC Champions","2","-","50.00","-","70.37","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T15","-.525","45.45","11' 4""","59.26","100.00","44.44",".00","80.00","60.00","75.00"
"9/9/2018","BMW Championship","T8","-.165","14.29","11' 10""","70.00","100.00",".00","-",".00","80.00","100.00"
"9/3/2018","Dell Technologies Champ","T4","-.447","28.57","10' 2""","46.67","-","50.00","100.00",".00","50.00","50.00"
"8/26/2018","THE NORTHERN TRUST","2","1.950","50.00","8' 0""","73.91","100.00","80.00","33.33","100.00","66.67","100.00"
"8/12/2018","PGA Championship","T42","-.341","30.00","19' 8""","28.57","-","25.00","33.33",".00","16.67","66.67"
"8/5/2018","WGC-Bridgestone Invit'l","T10","-.103","50.00","10' 1""","59.09","100.00","55.56","50.00","50.00","37.50","87.50"
"7/29/2018","RBC Canadian Open","T37",".172","33.33","7' 5""","80.00","100.00","73.68","66.67","50.00","83.33","87.50"
"7/22/2018","The Open Championship","T9","-","40.00","-","38.89","-","-","-","-","-","-"
"7/8/2018","The Greenbrier","T21",".128","16.67","6' 3""","43.75","-","50.00","50.00",".00","60.00","42.86"
"6/17/2018","U.S. Open","5",".803","40.00","8' 0""","37.04","100.00","16.67","30.00","33.33","40.00","100.00"
"6/10/2018","FedEx St. Jude Classic","CUT",".499",".00","16' 3""","54.55","100.00","33.33",".00",".00","66.67","100.00"
"6/3/2018","the Memorial Tournament","T13",".588","80.00","4' 1""","63.16","100.00","54.55",".00","33.33","87.50","100.00"
"5/13/2018","THE PLAYERS Championship","T57","-.520","42.86","13' 5""","47.06","100.00","50.00",".00","66.67","25.00","83.33"
"5/6/2018","Wells Fargo Championship","T21",".638","61.54","5' 10""","56.25","-","46.15",".00","80.00","66.67","66.67"
"4/29/2018","Zurich Classic of New Orl","6","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T10","-","20.00","-","62.07","-","-","-","-","-","-"
"4/1/2018","Houston Open","T24","-.421","50.00","14' 2""","86.67","100.00","100.00",".00","100.00","100.00","100.00"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","CUT",".631","33.33","10' 9""","21.43",".00","33.33",".00","33.33","25.00","100.00"
"3/4/2018","WGC-Mexico Championship","T27",".148","75.00","11' 4""","71.43","100.00","69.23","100.00","100.00","62.50","83.33"
"2/18/2018","Genesis Open","T2",".693","66.67","9' 1""","78.26","88.89","33.33",".00","66.67","100.00","100.00"
"2/4/2018","Waste Management Phoenix","CUT",".181","60.00","4' 10""","54.55",".00","40.00",".00","66.67","66.67","66.67"
"1/28/2018","Farmers Insurance Open","T6",".501","33.33","10' 10""","61.54","100.00","62.50",".00","85.71","57.14","100.00"
"1/14/2018","Sony Open in Hawaii","T32","-.408","14.29","12' 6""","50.00","100.00","50.00",".00","40.00","50.00","100.00"
"12/10/2017","(*) QBE Shootout","T4","-","-","-","-","-","-","-","-","-","-"
