"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"12/9/2018","(*) QBE Shootout","T7","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","2","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T16","-","-","308.9","-","340","58.93","-","-","-","54","-","-"
"11/4/2018","Shriners Hospitals","T36",".892",".469","332.3","302.3","382","67.86","26' 5""","8.93","17.86","30","120.13","64"
"10/28/2018","WGC-HSBC Champions","2","-","-","-","-","335","53.57","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T15","-.082",".073","295.5","295.7","345","48.21","22' 0""","17.86","23.21","46","121.93","26"
"9/9/2018","BMW Championship","T8","1.029","1.204","316.8","304.8","352","75.00","21' 10""","5.36","16.07","19","119.48","37"
"9/3/2018","Dell Technologies Champ","T4","1.647",".464","318.8","292.9","340","66.07","24' 0""","14.29","7.14","28","119.68","127"
"8/26/2018","THE NORTHERN TRUST","2","3.141","1.059","304.0","296.3","333","58.93","28' 9""","10.71","26.79","54","120.90","125"
"8/12/2018","PGA Championship","T42","-1.016",".522","311.9","295.6","359","58.93","28' 6""","14.29","14.29","84","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T10","1.314",".263","321.5","315.3","414","39.29","23' 11""","35.85","15.09","96","121.06","80"
"7/29/2018","RBC Canadian Open","T37",".700","1.079","314.0","311.1","387","50.00","35' 10""","18.18","23.64","62","122.20","58"
"7/22/2018","The Open Championship","T9","-","-","315.0","-","350","58.33","-","-","-","40","-","-"
"7/8/2018","The Greenbrier","T21","2.200","1.161","341.9","309.1","372","62.50","25' 8""","16.36","14.55","52","122.53","55"
"6/17/2018","U.S. Open","5","1.817","-.307","310.1","297.8","368","67.86","-","10.71","14.29","60","-","-"
"6/10/2018","FedEx St. Jude Classic","CUT","1.550",".013","303.0","295.5","339","50.00","23' 9""","21.43","21.43","1,998","121.04","1,998"
"6/3/2018","the Memorial Tournament","T13","1.456",".197","306.6","300.4","368","60.71","36' 0""","7.14","16.07","65","121.13","70"
"5/13/2018","THE PLAYERS Championship","T57",".124",".229","307.6","294.1","356","58.93","27' 0""","7.27","14.55","59","122.52","102"
"5/6/2018","Wells Fargo Championship","T21",".019","-.038","316.3","310.2","380","41.07","21' 8""","23.21","7.14","91","123.82","-"
"4/29/2018","Zurich Classic of New Orl","6","-","-","-","-","-","-","-","-","-","-","-","-"
"4/8/2018","Masters Tournament","T10","-","-","290.3","-","319","55.36","-","-","-","75","-","-"
"4/1/2018","Houston Open","T24",".978",".981","309.8","296.2","381","51.79","50' 0""","14.55","16.36","74","121.36","28"
"3/25/2018","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2018","Valspar Championship","CUT","-.377","-.945","310.0","286.1","343","42.31","44' 3""","24.00","12.00","1,998","123.31","1,998"
"3/4/2018","WGC-Mexico Championship","T27",".815",".841","305.5","303.3","394","57.14","27' 5""","17.86","14.29","54","120.08","46"
"2/18/2018","Genesis Open","T2","3.069",".735","317.3","304.0","375","44.64","21' 2""","30.36","23.21","64","122.74","88"
"2/4/2018","Waste Management Phoenix","CUT",".381","-.422","331.5","320.3","350","42.86","39' 0""","3.57","17.86","1,998","121.34","1,998"
"1/28/2018","Farmers Insurance Open","T6",".422",".417","325.8","310.2","391","39.29","42' 0""","17.07","31.71","65","121.57","29"
