"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"12/9/2018","(*) QBE Shootout","T7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12/2/2018","(*) Hero World Challenge","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11/11/2018","Mayakoba Golf Classic","T16","-","-","1.633","1.486","48.61",".00","26.75","31.00","27.00","21.00","28.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0""","-","-","40.82"
"11/4/2018","Shriners Hospitals","T36","-.168","78.0","1.731","1.611","40.28","1.39","29.00","30.00","29.00","29.00","28.00","97.96","100.00","80.00","80.00","50.00",".00","20.00","50.00","69.23","86.67","36.36","33.33",".00","6.25","28' 9""","1' 10""","67' 11""","34.62"
"10/28/2018","WGC-HSBC Champions","2","-","-","1.644","1.472","48.61","1.39","26.50","26.00","26.00","24.00","30.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","48.89"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T15",".448","31.6","1.756","1.611","40.28","1.39","29.00","29.00","29.00","25.00","33.00","97.73","100.00","66.67","80.00","100.00","50.00","85.71",".00","76.92","90.14","23.53","22.22","33.33",".00","24' 8""","2' 0""","81' 3""","33.33"
"9/9/2018","BMW Championship","T8",".855","61.4","1.710","1.653","36.11","1.39","29.75","31.00","28.00","31.00","29.00","100.00","100.00","100.00","66.67","-","25.00","50.00","-","69.23","92.42","41.18","20.00","14.29","8.33","32' 7""","2' 1""","82' 1""","32.26"
"9/3/2018","Dell Technologies Champ","T4",".450","59.0","1.684","1.625","37.50",".00","29.25","31.00","27.00","29.00","30.00","100.00","100.00","100.00","60.00","40.00","33.33","50.00","33.33","58.82","86.67","50.00",".00",".00","12.50","45' 9""","1' 9""","81' 11""","35.09"
"8/26/2018","THE NORTHERN TRUST","2","-.248","83.4","1.653","1.514","43.06",".00","27.25","27.00","29.00","26.00","27.00","100.00","83.33","100.00",".00","33.33","33.33","66.67","33.33","58.33","87.32","46.67",".00",".00","7.14","39' 10""","1' 6""","66' 8""","35.42"
"8/12/2018","PGA Championship","T42","1.718","88.4","1.588","1.556","45.83","4.17","28.00","28.00","26.00","30.00","28.00","100.00","100.00","66.67","100.00","100.00","50.00","-","50.00","78.57","93.55","23.08","42.86","33.33","16.67","32' 9""","2' 1""","104' 11""","45.10"
"8/5/2018","WGC-Bridgestone Invit'l","T10",".341","63.2","1.720","1.583","44.44","2.78","28.50","30.00","29.00","27.00","28.00","100.00","85.71","100.00","40.00","100.00","100.00","-","50.00","76.92","91.43","61.54",".00",".00",".00","14' 6""","2' 4""","64' 0""","34.00"
"7/29/2018","RBC Canadian Open","T37",".162","51.8","1.745","1.528","44.44",".00","27.50","28.00","28.00","25.00","29.00","100.00","100.00","100.00","44.44","100.00","66.67","100.00","66.67","62.50","90.28","41.67",".00","12.50",".00","21' 10""","1' 9""","65' 7""","29.79"
