"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"11/25/2018","(*) ISPS Handa World Cup","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","58.33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T14","-","76.39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T29","-.150","76.39","66.67","33.33","66.67","35' 5""","46' 7""","42' 10""","52' 3""","32' 7""","-","90' 10""","50' 10""","36' 2""","-","12' 1""","22' 8""","20' 2""","24' 8""","26' 5""","32' 4""","49' 3""","-","-","-","99' 1""","50' 6""","30' 11""","99' 1""","56' 0""","43' 1""","2' 5""","39' 2""","41' 2""","57' 7""","12' 9""","1","15"
"9/3/2018","Dell Technologies Champ","T12",".589","72.22","50.00","25.00","62.50","35' 1""","47' 2""","34' 10""","57' 6""","30' 10""","86' 2""","67' 8""","72' 5""","34' 9""","-","10' 11""","15' 11""","14' 5""","14' 5""","29' 10""","35' 7""","53' 11""","-","-","-","51' 3""","47' 2""","-","51' 3""","69' 9""","51' 5""","10' 8""","13' 6""","13' 6""","-","-","1","18"
"8/26/2018","THE NORTHERN TRUST","T20","1.365","75.00","25.00",".00","50.00","27' 1""","34' 2""","37' 1""","33' 5""","24' 2""","76' 8""","-","2' 0""","34' 4""","5' 0""","18' 5""","8' 5""","13' 3""","25' 5""","25' 9""","24' 5""","35' 5""","-","-","-","-","36' 9""","17' 8""","-","34' 5""","47' 6""","22' 7""","26' 0""","34' 5""","28' 1""","7' 2""","-","-"
"8/12/2018","PGA Championship","T10","1.172","79.17","60.00","16.67","66.67","34' 4""","52' 6""","61' 9""","48' 3""","28' 6""","78' 1""","-","51' 10""","23' 10""","12' 4""","9' 1""","11' 7""","10' 7""","20' 5""","26' 8""","30' 10""","45' 4""","-","-","15' 10""","69' 3""","53' 8""","34' 9""","58' 7""","56' 3""","62' 5""","-","24' 1""","18' 9""","34' 9""","-","2","12"
"8/5/2018","WGC-Bridgestone Invit'l","T28","-.391","55.56","37.50","33.33","66.67","33' 11""","43' 0""","44' 11""","41' 4""","26' 7""","-","-","32' 8""","25' 1""","7' 5""","34' 2""","24' 4""","25' 3""","9' 8""","26' 11""","35' 2""","26' 4""","-","-","114' 7""","48' 8""","45' 9""","12' 3""","70' 7""","46' 9""","66' 1""","30' 2""","29' 1""","35' 10""","18' 0""","6' 5""","-","-"
"7/22/2018","The Open Championship","T51","-","69.44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T6",".727","62.50","33.33","66.67","66.67","38' 4""","59' 4""","57' 9""","61' 5""","36' 4""","28' 9""","59' 0""","35' 1""","40' 8""","18' 7""","80' 9""","27' 7""","34' 3""","26' 1""","28' 9""","55' 0""","46' 3""","-","-","-","55' 3""","57' 10""","68' 4""","55' 3""","-","54' 8""","60' 7""","68' 4""","-","68' 4""","-","2","18"
"5/13/2018","THE PLAYERS Championship","CUT","-.521","63.89","60.00","16.67","33.33","41' 8""","42' 7""","34' 11""","44' 7""","41' 5""","150' 0""","45' 11""","75' 4""","-","-","14' 6""","31' 7""","18' 9""","24' 8""","22' 5""","40' 6""","77' 7""","-","-","-","47' 10""","42' 7""","-","47' 10""","-","30' 10""","55' 11""","-","-","-","-","1","4"
"5/6/2018","Wells Fargo Championship","T42",".899","61.11","30.00","16.67","50.00","41' 9""","31' 1""","47' 9""","21' 9""","35' 8""","48' 0""","115' 8""","57' 4""","47' 0""","11' 2""","13' 8""","24' 10""","18' 1""","34' 9""","40' 4""","34' 11""","55' 5""","-","-","-","45' 1""","36' 4""","11' 8""","45' 1""","46' 4""","38' 3""","19' 0""","16' 1""","-","8' 7""","23' 7""","1","104"
"4/15/2018","RBC Heritage","CUT","-.661","69.44","57.14","75.00","100.00","33' 6""","27' 0""","40' 11""","21' 10""","36' 4""","-","17' 3""","30' 2""","55' 9""","-","-","26' 4""","26' 4""","37' 4""","27' 4""","42' 2""","39' 9""","-","-","74' 9""","-","29' 10""","14' 5""","74' 9""","-","24' 10""","22' 9""","20' 0""","25' 7""","-","14' 5""","-","-"
"4/8/2018","Masters Tournament","T44","-","59.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T69","-1.545","45.83","75.00","25.00","50.00","47' 4""","49' 5""","33' 9""","62' 0""","46' 11""","136' 10""","86' 4""","64' 1""","53' 6""","-","17' 7""","38' 1""","29' 10""","28' 0""","27' 10""","43' 6""","66' 1""","-","-","-","-","49' 5""","-","-","84' 7""","36' 4""","35' 3""","11' 9""","11' 9""","-","-","1","8"
"3/4/2018","WGC-Mexico Championship","T3",".522","75.00","65.22","20.00","73.33","35' 5""","35' 9""","51' 1""","24' 9""","30' 5""","65' 2""","29' 5""","36' 7""","35' 2""","-","24' 2""","30' 8""","28' 6""","21' 4""","23' 11""","35' 8""","38' 10""","-","122' 0""","-","36' 2""","42' 7""","22' 0""","79' 1""","-","81' 11""","20' 1""","22' 8""","-","29' 4""","19' 4""","1","7"
"2/25/2018","The Honda Classic","CUT","-.943","63.89","50.00",".00","50.00","41' 5""","52' 11""","40' 0""","59' 5""","37' 3""","-","83' 0""","26' 9""","27' 6""","-","38' 8""","20' 8""","26' 8""","32' 5""","44' 0""","26' 9""","45' 9""","-","-","-","-","52' 11""","-","-","65' 2""","61' 11""","52' 1""","10' 10""","10' 10""","-","-","1","13"
"10/29/2017","WGC-HSBC Champions","T11","-","66.67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/13/2017","PGA Championship","CUT","-1.735","52.78","77.78","14.29","42.86","50' 0""","67' 3""","-","67' 3""","39' 5""","73' 10""","76' 0""","44' 10""","48' 3""","-","15' 3""","-","15' 3""","18' 3""","21' 7""","44' 7""","57' 1""","-","-","-","102' 7""","75' 3""","59' 4""","102' 7""","-","-","47' 10""","59' 4""","-","-","59' 4""","-","-"
