"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"11/25/2018","(*) ISPS Handa World Cup","T8","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","57.14","-","56.67","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T14","-","80.00","-","41.18","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T29",".556","80.00","11' 7""","76.47","100.00","50.00",".00","50.00","100.00","66.67"
"9/3/2018","Dell Technologies Champ","T12",".678","33.33","10' 2""","70.00","-","80.00","80.00","50.00","66.67","83.33"
"8/26/2018","THE NORTHERN TRUST","T20",".150","62.50","7' 5""","77.78","100.00","85.71",".00","100.00","72.73","100.00"
"8/12/2018","PGA Championship","T10","1.024","75.00","7' 3""","66.67","100.00","20.00","60.00","50.00","75.00","75.00"
"8/5/2018","WGC-Bridgestone Invit'l","T28",".029","66.67","4' 11""","71.88","75.00","72.22",".00","71.43","71.43","100.00"
"7/22/2018","The Open Championship","T51","-","75.00","-","63.64","-","-","-","-","-","-"
"6/17/2018","U.S. Open","T6","1.138","50.00","7' 11""","48.15",".00","60.00","12.50","25.00","88.89","100.00"
"5/13/2018","THE PLAYERS Championship","CUT","-.523",".00","18' 6""","53.85",".00","75.00",".00","100.00","42.86","100.00"
"5/6/2018","Wells Fargo Championship","T42","-.444","33.33","16' 4""","53.57","100.00","46.15","42.86","62.50","33.33","100.00"
"4/15/2018","RBC Heritage","CUT","-.714","25.00","8' 4""","45.45","-","50.00","-",".00","50.00","100.00"
"4/8/2018","Masters Tournament","T44","-","42.86","-","51.72","-","-","-","-","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T69","-.786","58.82","8' 3""","69.23","83.33","50.00","20.00","66.67","66.67","91.67"
"3/4/2018","WGC-Mexico Championship","T3",".550","75.00","4' 8""","72.22","66.67","70.00",".00","75.00","80.00","75.00"
"2/25/2018","The Honda Classic","CUT",".741","40.00","7' 3""","46.15","-","62.50",".00","60.00","50.00","100.00"
"10/29/2017","WGC-HSBC Champions","T11","-","60.00","-","62.50","-","-","-","-","-","-"
"8/13/2017","PGA Championship","CUT","1.215","50.00","7' 5""","35.29","-","14.29","33.33","25.00","50.00","33.33"
"8/6/2017","WGC-Bridgestone Invit'l","T36",".500","50.00","6' 1""","67.65","100.00","63.64","100.00","60.00","46.67","90.91"
"7/23/2017","The Open Championship","CUT","-","60.00","-","42.11","-","-","-","-","-","-"
"6/18/2017","U.S. Open","CUT","-.527",".00","3' 9""","45.45","-",".00",".00",".00","100.00","100.00"
"5/14/2017","THE PLAYERS Championship","T41","-.081","28.57","11' 5""","46.67",".00","71.43","25.00","75.00","50.00","50.00"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-"
"4/16/2017","RBC Heritage","T29","-.261","40.00","8' 9""","78.57","-","71.43","100.00","75.00","68.75","100.00"
"4/9/2017","Masters Tournament","CUT","-","28.57","-","42.11","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T4","-.665","60.00","17' 8""","67.86","77.78","50.00","60.00","66.67","57.14","100.00"
"3/5/2017","WGC-Mexico Championship","10","-.102","44.44","10' 0""","63.64","100.00","60.00","50.00","25.00","66.67","80.00"
"2/26/2017","The Honda Classic","T4","-.447","40.00","8' 4""","57.69","100.00","54.55","33.33","60.00","53.85","80.00"
"10/30/2016","WGC-HSBC Champions","T23","-","25.00","-","66.67","-","-","-","-","-","-"
"8/21/2016","Wyndham Championship","CUT","-.275","-","-","42.86","100.00",".00",".00","66.67","100.00","-"
"8/7/2016","Travelers Championship","T17","-.287","66.67","12' 8""","71.43","50.00","85.71","66.67","100.00","73.33","50.00"
"7/31/2016","PGA Championship","T10",".915","100.00","2' 2""","81.25","100.00","83.33",".00","100.00","90.00","100.00"
"7/17/2016","The Open Championship","T5","-","85.71","-","82.14","-","-","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","T54","-","100.00","-","62.96","-","-","-","-","-","-"
"8/16/2015","PGA Championship","T25",".343","50.00","19' 4""","72.41","88.89","87.50","42.86","100.00","84.62","100.00"
"7/19/2015","The Open Championship","CUT","-",".00","-","33.33","-","-","-","-","-","-"
"7/20/2014","The Open Championship","CUT","-","33.33","-","31.58","-","-","-","-","-","-"
"7/21/2013","The Open Championship","CUT","-","25.00","-","26.32","-","-","-","-","-","-"
"7/18/2010","The Open Championship","CUT","-","50.00","-","35.29","-","-","-","-","-","-"
