"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"11/25/2018","(*) ISPS Handa World Cup","T8","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","-","-","-","320","60.71","-","-","-","-","-","-"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T14","-","-","-","-","-","73.21","-","-","-","-","-","-"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T29",".299","-.107","296.4","289.9","333","67.86","25' 9""","17.86","10.71","74","115.00","98"
"9/3/2018","Dell Technologies Champ","T12","1.066","-.201","300.9","292.7","340","64.29","24' 11""","10.71","14.29","74","115.72","46"
"8/26/2018","THE NORTHERN TRUST","T20","1.928",".413","292.0","288.3","324","62.50","35' 5""","8.93","25.00","61","115.18","52"
"8/12/2018","PGA Championship","T10","2.404",".207","301.4","291.0","337","60.71","26' 11""","8.93","19.64","103","-","-"
"8/5/2018","WGC-Bridgestone Invit'l","T28","-.096",".265","309.0","306.5","385","44.64","23' 10""","23.21","25.00","103","116.38","28"
"7/22/2018","The Open Championship","T51","-","-","308.3","-","362","58.33","-","-","-","59","-","-"
"6/17/2018","U.S. Open","T6","1.767","-.098","307.0","296.4","365","71.43","-","10.71","7.14","55","-","-"
"5/13/2018","THE PLAYERS Championship","CUT","-1.040",".004","281.3","274.3","314","71.43","26' 11""",".00","14.29","1,998","115.50","1,998"
"5/6/2018","Wells Fargo Championship","T42","-.011","-.465","300.9","302.9","356","48.21","25' 10""","10.91","21.82","110","116.72","84"
"4/15/2018","RBC Heritage","CUT","-.623",".752","283.5","279.6","328","53.57","21' 9""","10.71","25.00","1,998","115.21","1,998"
"4/8/2018","Masters Tournament","T44","-","-","293.6","-","323","62.50","-","-","-","52","-","-"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T69","-2.401","-.069","292.6","283.4","329","75.00","14' 9""","5.36","10.71","50","114.79","91"
"3/4/2018","WGC-Mexico Championship","T3","2.273","1.200","298.6","304.4","386","71.43","20' 3""","10.71","16.07","53","-","-"
"2/25/2018","The Honda Classic","CUT","-.137",".067","303.5","275.3","338","60.71","19' 4""","14.29","17.86","1,998","116.66","1,998"
"10/29/2017","WGC-HSBC Champions","T11","-","-","-","-","320","55.36","-","-","-","-","-","-"
"8/13/2017","PGA Championship","CUT",".564","1.084","289.3","298.5","323","71.43","39' 9""","7.14","17.86","1,998","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T36","1.126",".980","335.1","305.3","386","51.79","19' 9""","21.43","23.21","32","116.35","43"
"7/23/2017","The Open Championship","CUT","-","-","295.8","-","353","39.29","-","-","-","1,998","-","-"
"6/18/2017","U.S. Open","CUT","-.052",".217","314.5","303.6","372","67.86","-","7.14","14.29","1,998","-","-"
"5/14/2017","THE PLAYERS Championship","T41",".063",".382","290.0","282.6","339","62.50","31' 4""","7.27","10.91","68","116.19","127"
"4/30/2017","Zurich Classic of New Orl","CUT","-","-","-","-","-","-","-","-","-","-","-","-"
"4/16/2017","RBC Heritage","T29",".423",".661","273.9","275.1","327","60.71","23' 2""","5.36","19.64","85","115.46","119"
"4/9/2017","Masters Tournament","CUT","-","-","275.5","-","295","60.71","-","-","-","1,998","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T4","1.448",".524","300.1","283.3","329","64.29","20' 2""","10.71","14.29","53","114.26","31"
"3/5/2017","WGC-Mexico Championship","10","1.172",".445","282.5","295.9","363","62.50","33' 0""","14.55","14.55","102","114.22","48"
"2/26/2017","The Honda Classic","T4",".841",".878","295.8","280.8","332","66.07","14' 7""","17.86","8.93","49","114.93","87"
"10/30/2016","WGC-HSBC Champions","T23","-","-","-","-","311","60.71","-","-","-","-","-","-"
"8/21/2016","Wyndham Championship","CUT",".983","-.155","313.0","289.6","346","50.00","15' 2""","29.63","14.81","1,998","114.72","1,998"
"8/7/2016","Travelers Championship","T17","1.004",".779","285.9","282.6","338","78.57","15' 3""","3.57","10.71","53","115.22","91"
"7/31/2016","PGA Championship","T10","2.021",".186","298.4","282.2","327","58.93","22' 0""","16.07","16.07","70","-","-"
"7/17/2016","The Open Championship","T5","-","-","283.4","-","318","69.64","-","-","-","56","-","-"
"11/8/2015","WGC-HSBC Champions","T54","-","-","-","-","302","50.00","-","-","-","-","-","-"
"8/16/2015","PGA Championship","T25",".721",".192","289.8","286.7","322","51.79","29' 2""","12.50","19.64","113","-","-"
"7/19/2015","The Open Championship","CUT","-","-","306.5","-","328","62.50","-","-","-","1,998","-","-"
"7/20/2014","The Open Championship","CUT","-","-","263.3","-","280","60.71","-","-","-","1,998","-","-"
"7/21/2013","The Open Championship","CUT","-","-","281.5","-","316","35.71","-","-","-","1,998","-","-"
"7/18/2010","The Open Championship","CUT","-","-","289.0","-","319","62.50","-","-","-","1,998","-","-"
