"Date","Tournament","Finish Pos.","SG: Putting","Total Putting","Putting Average","Overall Putting Average","One-Putt Percentage","3-Putt Avoidance","Putts Per Round","Putts per Round - Round 1","Putts per Round - Round 2","Putts per Round - Round 3","Putts per Round - Round 4","Putting from 3'","Putting from 4'","Putting from 5'","Putting from 6'","Putting from 7'","Putting from 8'","Putting from 9'","Putting from 10'","Putting from 4-8'","Putting - Inside 10'","Putting from - 10-15'","Putting from - 15-20'","Putting from - 20-25'","Putting from - > 25'","Longest Putts","Approach Putt Performance","Average Distance of Putts made","Birdie or Better Conversion Percentage"
"11/25/2018","(*) ISPS Handa World Cup","T8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10/28/2018","WGC-HSBC Champions","T22","-","-","1.643","1.486","48.61",".00","26.75","29.00","27.00","25.00","26.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","35.71"
"10/21/2018","THE CJ CUP @ NINE BRIDGES","T14","-","-","1.618","1.583","38.89",".00","28.50","28.00","30.00","29.00","27.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40.74"
"9/30/2018","(*) Ryder Cup","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/9/2018","BMW Championship","T29",".084","79.6","1.800","1.653","36.11","4.17","29.75","30.00","33.00","32.00","24.00","100.00","77.78","100.00","25.00","100.00","75.00",".00","-","73.33","90.00","50.00","33.33",".00","4.00","32' 5""","2' 3""","70' 11""","27.27"
"9/3/2018","Dell Technologies Champ","T12",".531","68.3","1.731","1.583","41.67","2.78","28.50","29.00","25.00","29.00","31.00","100.00","100.00","77.78","80.00","33.33","100.00","60.00","-","73.68","90.00","53.85","14.29",".00",".00","17' 9""","2' 10""","72' 8""","34.62"
"8/26/2018","THE NORTHERN TRUST","T20","-.535","97.3","1.778","1.639","37.50","1.39","29.50","29.00","28.00","34.00","27.00","100.00","100.00","50.00","100.00","71.43","33.33",".00","50.00","59.09","85.00","40.00",".00","12.50","5.26","38' 10""","1' 10""","69' 5""","24.07"
"8/12/2018","PGA Championship","T10","-.201","98.5","1.789","1.681","31.94","5.56","30.25","33.00","30.00","30.00","28.00","100.00","70.00","33.33","100.00","50.00","100.00","50.00","-","72.73","87.50","15.38","50.00","22.22","4.35","41' 5""","2' 1""","75' 4""","28.07"
"8/5/2018","WGC-Bridgestone Invit'l","T28",".501","57.4","1.725","1.528","47.22",".00","27.50","28.00","26.00","31.00","25.00","100.00","87.50","50.00","75.00","75.00","66.67",".00","25.00","69.23","87.67","33.33","80.00",".00","6.67","49' 2""","1' 8""","76' 1""","30.00"
"7/22/2018","The Open Championship","T51","-","-","1.960","1.750","29.17","4.17","31.50","34.00","29.00","34.00","29.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14.00"
"6/17/2018","U.S. Open","T6","1.127","46.8","1.867","1.653","31.94","2.78","29.75","32.00","30.00","27.00","30.00","100.00","92.31","66.67","75.00","66.67","100.00","33.33","100.00","75.00","91.43","40.00","18.18",".00","8.33","38' 7""","2' 7""","75' 0""","20.00"
"5/13/2018","THE PLAYERS Championship","CUT","-.316","-","1.826","1.639","30.56",".00","29.50","32.00","27.00","-","-","100.00","100.00","100.00","100.00",".00","60.00",".00","-","75.00","89.47",".00",".00",".00","10.00","38' 4""","2' 1""","68' 10""","21.74"
"5/6/2018","Wells Fargo Championship","T42",".679","94.1","1.750","1.597","43.06","5.56","28.75","24.00","29.00","31.00","31.00","100.00","100.00","80.00","83.33","50.00","50.00","16.67","50.00","70.59","84.42",".00","100.00","16.67","9.52","43' 1""","2' 8""","86' 4""","32.56"
"4/15/2018","RBC Heritage","CUT","-1.491","-","2.000","1.833","19.44","2.78","33.00","33.00","33.00","-","-","100.00","100.00",".00","50.00","100.00","-","-",".00","66.67","89.74","20.00",".00",".00",".00","13' 8""","2' 5""","49' 8""","16.00"
"4/8/2018","Masters Tournament","T44","-","-","1.860","1.667","30.56","2.78","30.00","32.00","30.00","33.00","25.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25.58"
"3/25/2018","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3/18/2018","Arnold Palmer Invt'l","T69","1.394","66.7","1.818","1.444","52.78","2.78","26.00","24.00","28.00","22.00","30.00","100.00","100.00","100.00","50.00","75.00","50.00","50.00","66.67","82.35","91.18","41.67","14.29",".00","14.29","29' 3""","2' 10""","81' 10""","33.33"
"3/4/2018","WGC-Mexico Championship","T3",".825","40.6","1.704","1.583","38.89",".00","28.50","31.00","30.00","25.00","28.00","100.00","100.00","66.67","75.00","100.00","40.00","33.33","50.00","62.50","87.50","44.44","50.00",".00","4.35","27' 3""","2' 5""","71' 5""","33.33"
