"Date","Tournament","Finish Pos.","SG: Approach-the-Green","Greens in Regulation Percentage","Going for the Green","Going for the Green - Hit Green Pct.","Going for the Green - Birdie or Better","Proximity to Hole","Rough Proximity","Left Rough Proximity","Right Rough Proximity","Fairway Proximity","Approaches from > 275 yards","Approaches from 250-275 yards","Approaches from 225-250 yards","Approaches from 200-225 yards","Approaches from 50-75 yards","Approaches from 75-100 yards","Approaches from 100-125 yards","Approaches from 50-125 yards","Approaches from 125-150 yards","Approaches from 150-175 yards","Approaches from 175-200 yards","Approaches from > 200 yards","Approaches from > 275 yards (Rgh)","Approaches from 250-275 yards (Rgh)","Approaches from 225-250 yards (Rgh)","Approaches from 200-225 yards (Rgh)","Approaches from > 100 yards (Rgh)","Approaches from inside 100 yards (Rgh)","Approaches from > 200 yards (Rgh)","Approaches from 175-200 yards (Rgh)","Approaches from 150-175 yards (Rgh)","Approaches from 125-150 yards (Rgh)","Approaches from 50-125 yards (Rgh)","Approaches from 100-125 yards (Rgh)","Approaches from 75-100 yards (Rgh)","Approaches from 50-75 yards (Rgh)","Total Hole Outs","Longest Hole Outs (in yards)"
"1/6/2019","Sentry T of C","T8","1.817","77.78","65.22","33.33","46.67","35' 8""","32' 10""","36' 7""","29' 1""","36' 1""","137' 11""","99' 2""","55' 8""","36' 0""","23' 11""","12' 7""","17' 3""","17' 7""","18' 2""","26' 5""","27' 7""","62' 1""","-","-","86' 7""","-","35' 11""","17' 4""","86' 7""","48' 3""","21' 0""","-","17' 0""","16' 7""","-","17' 4""","-","-"
"11/18/2018","The RSM Classic","3","1.186","81.94","83.33","20.00","100.00","32' 4""","37' 5""","16' 8""","44' 4""","30' 4""","93' 10""","-","55' 4""","30' 9""","-","18' 2""","10' 8""","12' 6""","19' 3""","30' 5""","29' 0""","52' 11""","59' 4""","-","-","-","44' 4""","16' 8""","59' 4""","-","46' 10""","26' 11""","16' 8""","-","16' 8""","-","1","127"
"11/4/2018","Shriners Hospitals","T15",".819","70.83","93.75","13.33","46.67","38' 3""","50' 10""","49' 0""","53' 4""","31' 8""","84' 0""","-","56' 4""","30' 4""","39' 4""","10' 10""","14' 1""","19' 7""","15' 0""","29' 9""","29' 11""","50' 8""","-","68' 0""","-","114' 1""","53' 7""","15' 6""","79' 6""","-","39' 2""","51' 2""","27' 10""","34' 0""","15' 6""","-","-","-"
"9/30/2018","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2018","TOUR Championship","T4",".201","65.28","75.00",".00","66.67","36' 3""","55' 2""","52' 7""","59' 7""","29' 5""","-","58' 2""","33' 1""","40' 2""","-","10' 5""","19' 9""","15' 1""","16' 1""","24' 3""","38' 8""","39' 9""","-","51' 2""","151' 3""","85' 0""","59' 1""","21' 7""","93' 1""","48' 0""","64' 2""","35' 8""","29' 1""","36' 7""","24' 4""","18' 9""","-","-"
"9/9/2018","BMW Championship","T6",".473","77.78","55.56","40.00","80.00","35' 3""","43' 9""","38' 6""","47' 3""","30' 5""","92' 3""","99' 3""","44' 0""","36' 11""","12' 11""","7' 2""","13' 10""","13' 1""","18' 0""","18' 10""","46' 3""","51' 2""","-","-","-","98' 3""","42' 6""","62' 2""","98' 3""","-","56' 9""","25' 2""","28' 6""","20' 1""","-","62' 2""","-","-"
"9/3/2018","Dell Technologies Champ","T49","-.797","65.28","81.25","23.08","38.46","39' 6""","52' 11""","64' 5""","33' 9""","33' 4""","89' 4""","53' 3""","33' 0""","41' 1""","-","-","17' 5""","17' 5""","18' 10""","30' 4""","37' 8""","46' 0""","-","-","-","-","58' 9""","12' 3""","-","57' 0""","61' 0""","-","-","-","-","-","2","24"
"8/26/2018","THE NORTHERN TRUST","T28","-.744","69.44","31.25","20.00","60.00","36' 0""","43' 2""","40' 2""","46' 9""","33' 4""","43' 9""","-","57' 1""","45' 6""","-","7' 6""","18' 11""","14' 10""","27' 0""","32' 10""","43' 8""","46' 1""","-","-","-","71' 2""","47' 10""","27' 8""","71' 2""","58' 1""","34' 2""","56' 9""","33' 5""","50' 9""","27' 8""","-","1","8"
"8/19/2018","Wyndham Championship","T2",".843","83.33","75.00","83.33","100.00","26' 3""","35' 6""","37' 5""","30' 2""","22' 10""","-","-","20' 10""","29' 7""","20' 10""","15' 0""","19' 0""","17' 7""","25' 8""","24' 0""","20' 11""","28' 7""","-","-","18' 2""","12' 3""","35' 6""","-","15' 3""","96' 4""","31' 0""","32' 6""","13' 5""","13' 5""","-","-","-","-"
"8/12/2018","PGA Championship","T19","1.319","76.39","40.00","25.00","50.00","35' 8""","71' 5""","91' 1""","67' 10""","28' 2""","117' 11""","-","28' 0""","30' 0""","7' 10""","13' 10""","3' 6""","9' 6""","12' 7""","28' 3""","34' 8""","44' 11""","-","-","-","94' 1""","71' 5""","-","94' 1""","60' 8""","70' 11""","-","48' 10""","48' 10""","-","-","2","15"
